"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2021-09-15",145.350006,145.770004,144.740005,145.119995,6237100,141.730957
"2021-09-16",144.839996,145.190002,142.820007,144.110001,6142100,140.744537
"2021-09-17",144.369995,146.279999,144.229996,144.339996,18737400,140.969162
"2021-09-20",144.220001,144.850006,141.970001,142.889999,10238700,139.553009
"2021-09-21",142.979996,144.529999,142.880005,143.110001,6651300,139.767883
"2021-09-22",143.820007,144.350006,142.860001,143.600006,6332500,140.24646
"2021-09-23",144.059998,144.690002,143.490005,144.190002,5171200,140.822678
"2021-09-24",143.800003,144.449997,143.089996,143.550003,5009400,140.197617
"2021-09-27",143.149994,143.169998,141.520004,141.660004,5749700,138.351746
"2021-09-28",141.050003,141.369995,139.559998,140.589996,7015300,137.306747
"2021-09-29",140.270004,142.679993,140.179993,142.020004,5460000,138.703369
"2021-09-30",142.639999,142.740005,139.529999,139.800003,6934900,136.535187
"2021-10-01",139.929993,140.229996,138.320007,139.580002,5587200,136.320328
"2021-10-04",139.389999,140.399994,137.600006,138.789993,5816000,135.548752
"2021-10-05",138.800003,140.520004,138.720001,139.330002,6902700,136.076157
"2021-10-06",138.990005,141.259995,138.619995,141.190002,5332900,137.892746
"2021-10-07",141.75,143.029999,141.75,142.320007,5334600,138.996353
"2021-10-08",142.289993,142.619995,141.039993,141.729996,6131800,138.42012
"2021-10-11",142.369995,142.770004,141.770004,142.320007,5995600,138.996353
"2021-10-12",142.600006,143.039993,141.699997,142.110001,6734800,138.791245
"2021-10-13",142.399994,142.759995,141.029999,142.440002,5689800,139.113541
"2021-10-14",142.830002,144.309998,142.809998,144.050003,6777800,140.685944
"2021-10-15",144.520004,144.869995,143.679993,144.419998,6923700,141.047287
"2021-10-18",143.550003,143.699997,142.100006,142.339996,9119000,139.015869
"2021-10-19",139.080002,140.820007,138.800003,140.660004,9555300,137.375092
"2021-10-20",140.149994,141.960007,139.850006,141.210007,7352700,137.912262
"2021-10-21",140.860001,141.160004,139.179993,139.330002,6545500,136.919724
"2021-10-22",139.389999,141.009995,139.320007,140.830002,5265000,138.393784
"2021-10-25",140.410004,140.919998,139.050003,140.850006,5382100,138.413437
"2021-10-26",141.619995,143.179993,141.240005,142.850006,6234900,140.378845
"2021-10-27",143.139999,143.679993,141.690002,141.830002,9643500,139.37648
"2021-10-28",141.889999,142.880005,141.710007,142.679993,4538500,140.211777
"2021-10-29",142.160004,143.479996,142.020004,142.990005,6239500,140.516418
"2021-11-01",143.360001,143.800003,142.490005,142.639999,5038900,140.172455
"2021-11-02",142.720001,144.580002,142.279999,144.059998,9954300,141.567917
"2021-11-03",144.130005,145.110001,143.520004,145.050003,7620100,142.540787
"2021-11-04",142.839996,145.389999,142.339996,145.320007,6402500,142.806122
"2021-11-05",145.440002,146.369995,144.800003,146.039993,6062700,143.513657
"2021-11-08",145.5,146.100006,144.020004,144.949997,5854400,142.442505
"2021-11-09",145.029999,145.830002,144.580002,145.389999,4873100,142.874908
"2021-11-10",145.740005,147.309998,145.589996,146.820007,7334900,144.280167
"2021-11-11",146.860001,146.970001,146.210007,146.399994,4096300,143.867416
"2021-11-12",146.740005,147.080002,145.979996,146.559998,5687400,144.024673
"2021-11-15",147.029999,147.75,146.470001,147.399994,5510200,144.850113
"2021-11-16",147.389999,148.589996,147.009995,147.190002,7603900,144.643768
"2021-11-17",146.970001,147.779999,146.419998,147.100006,4900200,144.555328
"2021-11-18",147.039993,148.080002,146.509995,147.119995,5509300,144.574966
"2021-11-19",147.949997,148.229996,146.789993,146.820007,6274300,144.280167
"2021-11-22",146.970001,148.940002,146.830002,147.800003,6625400,145.24321
"2021-11-23",147.830002,149.5,147.669998,149.440002,7912800,146.854828
"2021-11-24",148.770004,148.880005,147.679993,148.660004,5665200,146.088348
"2021-11-26",148.580002,149.720001,147.309998,147.470001,6299800,144.918915
"2021-11-29",147.789993,149.660004,146.789993,149.020004,7113300,146.442108
"2021-11-30",147.809998,148.539993,144.119995,144.580002,11696400,142.078918
"2021-12-01",144.850006,147.869995,144.850006,146.399994,8313500,143.867416
"2021-12-02",147.009995,148.460007,146.940002,147.259995,9468800,144.71254
"2021-12-03",148.020004,150,147.660004,149.880005,11200800,147.287216
"2021-12-06",150.190002,152.389999,150.190002,152.149994,11935100,149.517944
"2021-12-07",151.949997,152.580002,151.270004,151.75,7913400,149.124878
"2021-12-08",151.669998,152.660004,150.279999,152.429993,8329300,149.793106
"2021-12-09",152.309998,154.190002,151.600006,153.320007,8334300,150.667725
"2021-12-10",153.850006,155.800003,153.429993,155.460007,7172300,152.770706
"2021-12-13",155.300003,158.330002,154.910004,157.669998,8944000,154.942474
"2021-12-14",157.899994,158.630005,156.660004,158.25,8677500,155.512436
"2021-12-15",157.639999,159.639999,157.639999,158.860001,9152600,156.111893
"2021-12-16",158.729996,161.320007,158.419998,161.110001,10852900,158.322968
"2021-12-17",160.660004,161.720001,157.309998,157.460007,24349400,154.736099
"2021-12-20",156.600006,158.460007,156.570007,157.860001,9202600,155.129181
"2021-12-21",157.649994,158.149994,156.789993,157.759995,6946000,155.030914
"2021-12-22",157.770004,159.580002,157.270004,159.320007,6626300,156.563934
"2021-12-23",159.5,160.919998,159.440002,160.100006,5640900,157.330444
