"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2021-09-02",117.360001,117.949997,116.790001,117.900002,647300,114.995331
"2021-09-03",117.82,118.099998,116.959999,117.349998,502300,114.45887
"2021-09-07",117.510002,117.510002,115.370003,115.43,592800,112.586189
"2021-09-08",114.989998,116.480003,114.190002,114.610001,627100,111.786377
"2021-09-09",113.510002,115.849998,113.410004,114.580002,531700,112.443893
"2021-09-10",115.010002,115.010002,111.949997,112.550003,802700,110.451736
"2021-09-13",113.559998,115.18,112.800003,113.730003,1006200,111.609741
"2021-09-14",114.449997,114.449997,109.230003,110.129997,1147100,108.076843
"2021-09-15",111.080002,111.690002,110.050003,110.720001,954600,108.655853
"2021-09-16",111.760002,112.209999,108.940002,109.550003,670200,107.507668
"2021-09-17",107.830002,110.160004,107.260002,108.199997,1311800,106.182831
"2021-09-20",105.879997,106.82,104.25,105.870003,1000600,103.896271
"2021-09-21",106.269997,106.760002,104.349998,104.510002,709300,102.56163
"2021-09-22",105.800003,107.559998,105.480003,106.43,721800,104.445839
"2021-09-23",107.879997,110.199997,107.540001,109.379997,551900,107.340836
"2021-09-24",109.089996,110.660004,109.089996,109.330002,686400,107.291771
"2021-09-27",109.709999,113.07,109.709999,112.550003,668300,110.451736
"2021-09-28",112.589996,114.589996,110.730003,111.099998,714400,109.028763
"2021-09-29",111.43,111.43,110.169998,110.290001,607200,108.233871
"2021-09-30",110.690002,110.980003,107.75,107.809998,622000,105.800095
"2021-10-01",108.440002,110.050003,106.57,109.230003,1071900,107.193634
"2021-10-04",107.349998,110.910004,107.349998,108.050003,752500,106.035637
"2021-10-05",108.559998,111.599998,108.07,110.93,713600,108.861938
"2021-10-06",109.970001,111.339996,108.57,111.230003,536500,109.156349
"2021-10-07",112.75,113.739998,112.040001,112.949997,865200,110.844276
"2021-10-08",113.889999,116.559998,113.470001,115.449997,612300,113.297668
"2021-10-11",116.169998,117.120003,115.599998,115.779999,725800,113.621521
"2021-10-12",115.739998,117.300003,115.25,115.599998,925600,113.44487
