"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2021-08-03",142.639999,143.320007,137.169998,139.800003,4492500,139.069946
"2021-08-04",139.520004,141.339996,138.360001,139.910004,2897400,139.179352
"2021-08-05",144.830002,146.5,134.839996,136.869995,5516100,136.155212
"2021-08-06",136.470001,137.330002,135.410004,136.339996,2401300,135.627991
"2021-08-09",136.710007,137.839996,135.429993,136.160004,1722800,135.448944
"2021-08-10",136.110001,137.089996,135.160004,137.029999,2210400,136.314377
"2021-08-11",137.919998,138.449997,137.059998,138.300003,1841300,137.577789
"2021-08-12",138.110001,139.020004,136.929993,138.990005,1871500,138.264175
"2021-08-13",138.940002,139.399994,138.190002,138.679993,1572600,137.955765
"2021-08-16",137.960007,140.020004,137.399994,140,1789100,139.268875
"2021-08-17",139.169998,142.160004,138.639999,141.039993,2340800,140.303452
"2021-08-18",140.940002,141.899994,139.820007,139.990005,2091100,139.258942
"2021-08-19",139.380005,141.410004,139.080002,140.600006,1888400,139.865768
"2021-08-20",140.919998,141.779999,139.630005,140.169998,2329900,139.438004
"2021-08-23",140.149994,143.5,139.320007,142.820007,1895900,142.074173
"2021-08-24",143.160004,144.350006,142.160004,142.570007,1501900,141.825485
"2021-08-25",142.770004,142.770004,140.009995,141.860001,1638200,141.119171
"2021-08-26",141.979996,142.889999,141.179993,141.470001,1016300,140.731216
"2021-08-27",141.520004,143.320007,141.210007,142.940002,1144000,142.193542
"2021-08-30",142.199997,144.330002,141.009995,143.289993,2011300,142.541702
"2021-08-31",143.660004,147.130005,142.600006,145.210007,3467600,144.623276
"2021-09-01",145.339996,147,144.949997,146.429993,1570100,145.838333
"2021-09-02",146.869995,147.759995,144.990005,145.399994,2240600,144.8125
"2021-09-03",144.960007,146.949997,144.960007,146.600006,1192700,146.00766
"2021-09-07",147.089996,147.089996,145.119995,145.220001,1495700,144.633224
"2021-09-08",145.759995,147.539993,143.899994,144.100006,2200400,143.517761
"2021-09-09",143.270004,144.240005,140.809998,142.309998,2624700,141.734985
"2021-09-10",142.020004,146.929993,141.470001,145.130005,3664200,144.543594
"2021-09-13",145.410004,146.910004,143.910004,144.679993,2131400,144.095398
"2021-09-14",145.220001,145.940002,144.309998,145.369995,1318400,144.782623
"2021-09-15",142.149994,142.240005,135.839996,137.039993,6359000,136.486267
"2021-09-16",137.910004,139.699997,135.529999,135.960007,4637600,135.410645
"2021-09-17",135.169998,135.559998,133.199997,133.880005,4178700,133.33905
"2021-09-20",131.979996,132.529999,128.759995,130.089996,3533200,129.564377
"2021-09-21",130.009995,130.5,126.559998,126.760002,3689800,126.247818
"2021-09-22",126.190002,127.620003,124.879997,126.400002,4214400,125.889275
"2021-09-23",126.989998,129.119995,126.120003,127.889999,2571600,127.373253
"2021-09-24",127.040001,130.020004,126.860001,129.899994,2327300,129.375107
"2021-09-27",129.270004,132.559998,128.940002,131.979996,3326800,131.446716
"2021-09-28",131.860001,135,131.520004,133.770004,4349800,133.229492
"2021-09-29",133.850006,139.589996,133.809998,137.940002,5656600,137.382645
"2021-09-30",139.309998,144.130005,138.850006,142.25,5017700,141.675232
"2021-10-01",141.899994,144.110001,139.539993,143.589996,3196200,143.009811
"2021-10-04",143.360001,145.460007,140.020004,143.160004,3215700,142.581558
"2021-10-05",143.130005,144.729996,142.600006,144.089996,2682100,143.507797
"2021-10-06",143.580002,143.580002,132.860001,134.070007,8344300,133.52829
"2021-10-07",134.759995,138.119995,134.399994,137.589996,3627300,137.034058
"2021-10-08",137.479996,140.559998,137.410004,139.990005,2163000,139.424362
"2021-10-11",139.919998,140.610001,137.509995,139.470001,1908200,138.906464
"2021-10-12",139.529999,139.830002,136,136.669998,3091900,136.117783
"2021-10-13",136.960007,137.759995,132.949997,136.440002,3097400,135.888702
"2021-10-14",136.720001,137.660004,134.619995,135.710007,2434400,135.161652
"2021-10-15",135.850006,136.690002,133.270004,134.75,3298800,134.205536
"2021-10-18",134.649994,135.729996,134.199997,134.710007,1755900,134.16571
"2021-10-19",135.479996,136.770004,134.5,136.75,1614400,136.197464
"2021-10-20",137.460007,139.320007,137.210007,139.199997,1763200,138.637543
"2021-10-21",139.210007,140.839996,138.270004,140.630005,1853600,140.061768
"2021-10-22",141,144.160004,140.600006,141.070007,2495300,140.5
"2021-10-25",141.110001,143.789993,140.5,142.190002,2155600,141.615463
"2021-10-26",142.919998,144.110001,141.720001,142.399994,1543000,141.824615
"2021-10-27",142.679993,142.759995,140.309998,140.369995,1697000,139.802826
"2021-10-28",140.25,141.190002,139.100006,140.229996,1372600,139.663391
"2021-10-29",140.419998,140.839996,138.910004,140.25,1990500,139.683304
"2021-11-01",140.910004,143.410004,140.020004,141.770004,2068300,141.197159
"2021-11-02",141.559998,141.75,138.740005,140.169998,2514400,139.603622
"2021-11-03",137.699997,140.720001,136.419998,139.5,3562300,138.93634
"2021-11-04",143.380005,146.720001,142,142.479996,3496100,141.904297
"2021-11-05",144.190002,144.699997,138.610001,139.570007,2757800,139.006073
"2021-11-08",139.990005,140.320007,137.639999,138.160004,2538200,137.601776
"2021-11-09",139.350006,141,138.669998,139.789993,1796000,139.225159
"2021-11-10",139.669998,141.960007,138.5,139.279999,2058800,138.717224
"2021-11-11",140.149994,145.809998,139.75,144.449997,3109500,143.866333
"2021-11-12",143.860001,146.589996,143.539993,145.440002,1613600,144.852341
"2021-11-15",143.610001,144.389999,137.639999,141.279999,3850900,140.709152
"2021-11-16",141.169998,143.360001,138.570007,139.559998,2977500,138.996094
"2021-11-17",138.619995,140.699997,137.600006,138.139999,2245900,137.581818
"2021-11-18",137.279999,137.820007,135.110001,137.330002,4120500,136.775116
"2021-11-19",137.259995,137.419998,132.190002,132.389999,3972400,131.855072
"2021-11-22",131.699997,131.830002,125.309998,126.279999,5198500,125.76976
"2021-11-23",125.75,129.210007,125.589996,128.410004,3765400,127.891167
"2021-11-24",128.25,128.570007,124.809998,126.650002,2851100,126.13826
"2021-11-26",130.800003,130.889999,125.470001,125.970001,2264100,125.461006
"2021-11-29",125.900002,126.110001,123.07,124.879997,2279200,124.375412
"2021-11-30",125.879997,128.589996,123.279999,124.220001,5192800,123.718086
"2021-12-01",125.099998,125.959999,120.080002,120.230003,3654100,119.744209
"2021-12-02",120.650002,123.760002,120.650002,122.589996,3107200,122.094666
"2021-12-03",123.639999,125.599998,123.089996,125.269997,3371300,124.763832
"2021-12-06",127.440002,127.809998,124.879997,126.309998,2863800,125.799629
"2021-12-07",127.25,128,125.93,126.150002,2650200,125.809608
"2021-12-08",126.379997,127.330002,125.129997,126.370003,2553700,126.029015
"2021-12-09",126.489998,126.879997,124.690002,125,2485300,124.662704
"2021-12-10",126.150002,127.370003,124.660004,125.639999,2186600,125.300987
"2021-12-13",125.639999,128.300003,125.639999,126.769997,2292900,126.427925
"2021-12-14",125.980003,128.339996,125.980003,126.849998,2107800,126.507713
"2021-12-15",127.699997,129.240005,125.82,128.899994,2471000,128.55217
"2021-12-16",128.610001,129.779999,128.020004,129.389999,1694800,129.040863
"2021-12-17",129.339996,130.800003,127.279999,127.519997,3502800,127.175903
