"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2021-06-14",29.620001,29.950001,28.76,28.98,7983200,27.038342
"2021-06-15",29.07,29.74,29.01,29.6,7208900,27.616802
"2021-06-16",29.27,29.559999,28.530001,29.059999,9412500,27.112982
"2021-06-17",28.969999,29.33,27.15,27.59,14957200,25.741474
"2021-06-18",26.85,27.440001,26.67,26.75,16743600,24.957752
"2021-06-21",27.200001,28.629999,27.18,28.6,10531200,26.6838
"2021-06-22",28.4,28.700001,27.860001,28.540001,7999300,26.627823
"2021-06-23",28.870001,29.91,28.85,29.1,9484600,27.150303
"2021-06-24",29.110001,29.76,28.639999,29.74,9092900,27.747421
"2021-06-25",29.74,29.99,29.280001,29.76,10966800,27.766081
"2021-06-28",29.6,29.68,28.07,28.41,12320600,26.506533
"2021-06-29",28.57,28.879999,27.85,28.02,8817800,26.14266
"2021-06-30",28.43,29.280001,28.389999,29.190001,10819200,27.234272
"2021-07-01",30.299999,30.549999,29.4,29.959999,11461000,27.952682
"2021-07-02",29.860001,29.969999,29.190001,29.23,9161500,27.271591
"2021-07-06",29.299999,29.299999,27.66,27.84,15099800,25.974722
"2021-07-07",28.190001,28.610001,27.02,27.530001,13732000,25.68549
"2021-07-08",26.75,28.18,26.549999,27.76,10291000,25.900084
"2021-07-09",28.1,28.74,27.6,28.65,8812200,26.730452
"2021-07-12",28.09,28.9,27.860001,28.700001,8413400,26.777103
"2021-07-13",28.49,29.18,28.32,28.969999,9897400,27.029013
"2021-07-14",29.09,29.709999,26.969999,27.299999,16498200,25.4709
"2021-07-15",26.9,27.59,26.52,26.65,13428900,24.86445
"2021-07-16",27.030001,27.1,25.629999,25.780001,13531000,24.052742
"2021-07-19",24.59,25.23,24.049999,24.93,16836900,23.259693
"2021-07-20",24.950001,25.83,24.540001,25.33,13312300,23.632891
"2021-07-21",25.84,26.709999,25.709999,26.34,9063800,24.575222
"2021-07-22",26.43,26.58,25.889999,25.99,6993200,24.248671
"2021-07-23",26.049999,26.07,25.18,25.620001,7984500,23.903463
"2021-07-26",25.790001,26.76,25.68,26.65,8333000,24.86445
"2021-07-27",26.27,26.52,25.719999,25.940001,8499700,24.202021
"2021-07-28",26.280001,26.790001,25.799999,26.459999,6879300,24.687181
"2021-07-29",26.950001,27.040001,26.41,26.629999,6009800,24.845789
"2021-07-30",26.549999,26.549999,25.540001,25.84,9262000,24.108721
