"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2021-04-07",207.580002,207.860001,203.759995,205.029999,289300,199.12384
"2021-04-08",204.199997,206.949997,202.830002,206.639999,263600,200.687454
"2021-04-09",207.539993,208.429993,205.479996,206.869995,233400,200.910843
"2021-04-12",207.630005,210.529999,207.5,210.270004,224100,204.212906
"2021-04-13",208.029999,210.380005,205.610001,206.149994,366400,200.211563
"2021-04-14",205.75,209.729996,205.75,207.860001,428400,201.872314
"2021-04-15",207.679993,208.669998,206.320007,208.350006,345600,202.348206
"2021-04-16",209.809998,210,206.179993,208.059998,274100,202.066544
"2021-04-19",209.139999,210.740005,205.839996,210,359500,203.950668
"2021-04-20",209.619995,210,205.960007,207.570007,289100,201.590683
"2021-04-21",207.520004,209.5,207.25,208.570007,319400,202.561874
"2021-04-22",208.080002,209.839996,203.619995,203.889999,448900,198.016678
"2021-04-23",205.009995,207.179993,204.369995,206.130005,298400,200.192154
"2021-04-26",207.360001,208.089996,205.520004,206.970001,302100,201.007965
"2021-04-27",206.75,209.160004,206.460007,207.449997,376000,201.474121
"2021-04-28",206.75,210.559998,206.75,210.240005,249000,204.183762
"2021-04-29",210.929993,214.429993,210.929993,212.970001,288100,206.835114
"2021-04-30",212.039993,213.240005,210.759995,212.320007,227200,206.203842
"2021-05-03",213.210007,216.100006,211.399994,215.139999,243700,208.942612
"2021-05-04",214.570007,216.25,213.399994,214.389999,240800,208.214218
"2021-05-05",214.029999,214.279999,209.740005,212.869995,333900,206.737991
"2021-05-06",214.740005,222.990005,214.639999,218.309998,535400,212.021301
"2021-05-07",216.320007,217.820007,214.679993,216.990005,215400,210.739319
"2021-05-10",218.960007,223.789993,218.199997,219.369995,270600,213.050751
"2021-05-11",218.360001,218.360001,212.839996,214.699997,234500,208.515274
"2021-05-12",215.839996,217.279999,212.089996,212.139999,231800,206.029022
"2021-05-13",211.039993,216.279999,210.110001,215.289993,185100,209.088287
"2021-05-14",216.289993,216.699997,214.399994,216.210007,132000,209.981796
"2021-05-17",216.460007,218.130005,214.440002,216.839996,185100,210.593628
"2021-05-18",216.339996,217.919998,213.220001,213.369995,130800,207.223587
"2021-05-19",212.710007,213.369995,209.460007,213.179993,207100,207.039063
"2021-05-20",213.179993,213.75,211.729996,212.559998,209200,206.43692
"2021-05-21",213.419998,215.880005,212.649994,213.669998,159100,207.514954
"2021-05-24",214.559998,216.369995,213.119995,215.949997,289700,209.729279
"2021-05-25",215.919998,217.100006,211.160004,211.880005,288900,205.77652
"2021-05-26",211.600006,212.919998,208.460007,212.779999,523300,206.650604
"2021-05-27",214.350006,216.690002,212.789993,215.619995,559700,210.536743
"2021-05-28",216.369995,216.490005,214.550003,216.210007,240200,211.112854
"2021-06-01",218.889999,220.729996,216.419998,218.089996,253000,212.948517
"2021-06-02",218,219.070007,216.029999,218.919998,250300,213.758942
"2021-06-03",218.75,220.619995,214.300003,220.610001,306000,215.409134
"2021-06-04",219.869995,223.509995,219.860001,222.25,242500,217.010437
"2021-06-07",222.369995,222.740005,219.119995,221.279999,355100,216.063339
"2021-06-08",220.899994,223.399994,219.259995,222.660004,163900,217.410797
"2021-06-09",222.860001,224,220.669998,221.029999,280100,215.819214
"2021-06-10",223.410004,224.130005,220.5,220.75,144600,215.545807
"2021-06-11",221.490005,222.270004,219.869995,221,157800,215.789917
"2021-06-14",221,221.020004,218.25,219.800003,185800,214.61821
"2021-06-15",219.809998,220.899994,219.169998,220.089996,199000,214.901367
"2021-06-16",219.820007,220.779999,216.639999,216.789993,221300,211.679169
"2021-06-17",216.800003,217.320007,210.139999,211.639999,223600,206.650589
"2021-06-18",208.990005,210.199997,207.110001,207.179993,373300,202.295715
"2021-06-21",208.679993,213.880005,208.679993,213.050003,233100,208.027344
"2021-06-22",211.860001,212.460007,208.850006,211.600006,232100,206.611526
"2021-06-23",211.300003,211.770004,209.490005,209.490005,146800,204.55127
"2021-06-24",209.970001,211.869995,208.169998,211.070007,215700,206.094055
"2021-06-25",210.910004,213.779999,210.649994,213.279999,244300,208.251907
"2021-06-28",212.699997,212.699997,209.850006,211.160004,135400,206.181915
"2021-06-29",211.429993,212.520004,207.649994,207.830002,236300,202.930405
"2021-06-30",207.770004,211.479996,205.850006,210.75,204800,205.78157
"2021-07-01",212.080002,212.389999,210.470001,212.149994,186300,207.14856
"2021-07-02",212.820007,213.550003,210.25,211.970001,116100,206.972809
"2021-07-06",211.919998,212.020004,204.029999,205.860001,241200,201.006836
"2021-07-07",204.169998,207.539993,204.169998,206.889999,223500,202.012558
"2021-07-08",203.5,206.059998,202.429993,203.550003,208600,198.751312
"2021-07-09",207.070007,207.889999,204.960007,206.220001,297400,201.358383
"2021-07-12",204.449997,205.399994,202.679993,204.690002,196300,199.864441
"2021-07-13",205.130005,205.660004,202.229996,202.660004,195800,197.882294
"2021-07-14",202.330002,204.389999,199.940002,201.660004,205000,196.905853
"2021-07-15",199.830002,202.440002,199.679993,201.380005,159000,196.632477
"2021-07-16",202.449997,203.440002,200.350006,200.740005,133500,196.007568
"2021-07-19",197.899994,198.470001,193.729996,195.309998,254300,190.705551
"2021-07-20",196,203.509995,196,202.889999,311200,198.106888
"2021-07-21",204.539993,206.449997,202.449997,204.759995,344600,199.93277
"2021-07-22",204.210007,204.389999,201.539993,202.169998,107400,197.403839
"2021-07-23",203.770004,204.210007,200.830002,203.75,101000,198.946594
"2021-07-26",204.119995,205.690002,203.5,205.169998,157900,200.33313
"2021-07-27",204.779999,206.729996,203.169998,204.429993,115500,199.61055
"2021-07-28",205.809998,207.520004,202.899994,204.860001,122300,200.030411
"2021-07-29",207.029999,208.490005,204.899994,207.229996,144900,202.344559
"2021-07-30",206.220001,208.240005,204.589996,205.130005,218800,200.294052
"2021-08-02",205.779999,208.289993,203.220001,203.419998,135600,198.624374
"2021-08-03",203.130005,204.639999,199.589996,204.360001,227100,199.542206
"2021-08-04",202.289993,202.929993,198.509995,200.410004,208800,195.685318
"2021-08-05",202.509995,203.240005,200.5,203.199997,176500,198.409546
"2021-08-06",205.990005,207.679993,204.889999,205.580002,156200,200.733444
"2021-08-09",204.630005,206.070007,203.75,205.130005,236200,200.294052
"2021-08-10",204.610001,208.979996,204,206.940002,133100,202.061371
"2021-08-11",207.380005,209.080002,205.429993,208.929993,136600,204.004456
"2021-08-12",209.100006,209.619995,206.130005,207.490005,150600,202.598434
"2021-08-13",207.850006,208.589996,205.75,205.940002,97500,201.084961
"2021-08-16",205,206.889999,203,205.75,160900,200.899445
"2021-08-17",205.050003,206.740005,204.070007,205.669998,277600,200.82132
"2021-08-18",204.360001,205.020004,201.119995,201.169998,184800,196.427414
"2021-08-19",200.169998,203.110001,199.169998,200.160004,163400,195.441208
"2021-08-20",200.470001,203.779999,200.470001,202.729996,119400,197.950638
"2021-08-23",204.110001,206.889999,203.539993,205.979996,202000,201.124023
"2021-08-24",206.649994,208.119995,205.660004,206.039993,128900,201.182587
"2021-08-25",205.320007,207.550003,204.630005,206.220001,173300,201.358383
"2021-08-26",205.080002,205.300003,202.690002,204.419998,100500,200.710327
"2021-08-27",205.470001,207.889999,204.960007,206.990005,125300,203.233704
"2021-08-30",207.009995,208.759995,206.539993,207.009995,354500,203.253342
"2021-08-31",206.929993,207.929993,203.759995,204.169998,415500,200.464874
"2021-09-01",204.100006,204.220001,200.970001,202.990005,196200,199.306305
"2021-09-02",204.029999,205.740005,203.550003,205.130005,157200,201.407455
"2021-09-03",204.470001,204.470001,202.259995,203.169998,115100,199.483017
"2021-09-07",201.529999,201.740005,199.199997,199.240005,152800,195.624344
"2021-09-08",198.789993,200.410004,198.020004,199.490005,154000,195.869812
"2021-09-09",199.399994,201.130005,198.979996,199.330002,108400,195.712723
"2021-09-10",200.699997,200.699997,197.380005,198.179993,180100,194.583572
"2021-09-13",200,202.850006,198.050003,200.979996,238600,197.332764
"2021-09-14",201.559998,201.559998,196.520004,197.75,200400,194.161377
"2021-09-15",197.779999,200.929993,197.759995,199.199997,191000,195.585068
"2021-09-16",200.110001,200.899994,194.970001,195.080002,175400,191.539841
"2021-09-17",194.139999,196.139999,193.550003,194.990005,470100,191.451477
"2021-09-20",192.470001,194.229996,190.429993,193.630005,183800,190.11615
"2021-09-21",194.130005,194.229996,189,189.320007,198000,185.884384
"2021-09-22",190.600006,192.710007,190.600006,191.470001,167000,187.995346
"2021-09-23",191.820007,196.539993,191.820007,194.539993,226400,191.009628
"2021-09-24",194.649994,198.889999,194.649994,195.369995,266800,191.82457
"2021-09-27",196.940002,199.380005,196.210007,197.059998,211100,193.483902
"2021-09-28",197.710007,198.679993,195.759995,196.539993,293400,192.973343
"2021-09-29",197.759995,198.860001,196.479996,197.330002,134700,193.749008
"2021-09-30",197.660004,198.339996,192.770004,193.059998,335100,189.556488
"2021-10-01",194.059998,195.339996,190.479996,194.179993,199200,190.656158
"2021-10-04",194.779999,197.570007,194.509995,195.059998,210100,191.520203
"2021-10-05",195.770004,196.949997,193.779999,194.929993,256000,191.392548
"2021-10-06",193.710007,197.110001,191.960007,196.779999,227200,193.209
"2021-10-07",198,204.130005,197.919998,202.860001,338000,199.17865
"2021-10-08",202.869995,207.369995,202.869995,206.389999,289200,202.644577
"2021-10-11",207.470001,212.179993,206.080002,210.820007,342600,206.994217
"2021-10-12",210.779999,214.869995,209.380005,212.169998,336200,208.319702
"2021-10-13",210.619995,211.389999,205.020004,207.970001,335000,204.195908
"2021-10-14",209.309998,209.309998,205.440002,208.460007,318900,204.677017
"2021-10-15",209.089996,212.160004,208.360001,210.520004,302400,206.699646
"2021-10-18",209.669998,209.990005,206.259995,207.449997,266500,203.685364
"2021-10-19",207.740005,209.649994,206.039993,209.419998,169400,205.619614
"2021-10-20",209.259995,212.259995,209.199997,211.720001,166700,207.877884
"2021-10-21",211.509995,212.5,209.199997,211.130005,158200,207.298569
"2021-10-22",211.550003,214.259995,211.529999,212.830002,162500,208.967712
"2021-10-25",212.759995,213.160004,210.119995,212.479996,190000,208.624069
"2021-10-26",205.789993,206.169998,200.75,204.339996,406200,200.63179
"2021-10-27",205.220001,206.149994,202.380005,202.639999,235000,198.962646
"2021-10-28",202.740005,205.229996,201.610001,204.520004,251900,200.808517
"2021-10-29",204.210007,205.259995,201.690002,202.729996,241700,199.050995
"2021-11-01",202.990005,205.009995,201.399994,202.080002,178100,198.412811
"2021-11-02",202.770004,202.770004,198.389999,199.899994,242000,196.272369
