"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2021-11-01",312.899994,314.980011,308.200012,309.679993,1863400,308.894104
"2021-11-02",310.329987,314.829987,308.670013,313.25,2748500,312.455048
"2021-11-03",314.649994,314.649994,303.75,310.850006,2891000,310.061157
"2021-11-04",310.920013,311.519989,303.519989,305.98999,3328600,305.21347
"2021-11-05",294.970001,295.559998,282.51001,292.079987,6803400,291.338776
"2021-11-08",294.619995,301.950012,293.350006,301.350006,2920700,300.585266
"2021-11-09",302.160004,302.649994,297.359985,299.190002,1858000,298.430756
"2021-11-10",297.549988,302.660004,297.549988,302.029999,2230500,301.263489
"2021-11-11",303.720001,306.109985,302.179993,304.540009,2153700,303.767151
"2021-11-12",305.5,307.440002,301.950012,304.380005,2735000,303.607544
"2021-11-15",304.059998,308.299988,299.119995,299.679993,3125900,298.919495
"2021-11-16",301.170013,308.390015,299.630005,305.589996,2751800,304.814484
"2021-11-17",310,310.700012,306.51001,309.670013,2434200,308.884125
"2021-11-18",309.959991,313.480011,308.049988,312.649994,1991500,311.856567
"2021-11-19",315.089996,321.190002,313.559998,314.130005,2331200,313.332825
"2021-11-22",313.829987,317.01001,308.799988,313.730011,2211300,312.933838
"2021-11-23",310.170013,313.970001,307.920013,313.519989,1774900,312.724335
"2021-11-24",312.850006,315.929993,310.709991,315.480011,1557800,314.679413
"2021-11-26",320.700012,331.48999,319.950012,323.959991,3078300,323.137878
"2021-11-29",323.309998,329.450012,323.119995,326.519989,3088700,325.691345
"2021-11-30",328.429993,331.690002,319.910004,321.640015,3342300,320.823792
"2021-12-01",320.299988,325.809998,315.76001,319.720001,2344000,318.908661
"2021-12-02",318.119995,322.779999,315,316.059998,2881300,315.257874
"2021-12-03",319.309998,321.869995,310.359985,312.940002,3016500,312.145844
"2021-12-06",311.279999,314.350006,304.540009,306.899994,2432700,306.121155
"2021-12-07",311.959991,316.450012,311.829987,313.350006,2172500,312.55481
"2021-12-08",313.98999,319.630005,313.26001,318.26001,2224100,317.452332
"2021-12-09",320.420013,321.899994,316.809998,319.279999,1969500,318.469727
"2021-12-10",318.769989,323.079987,317.179993,317.48999,1865200,316.684296
"2021-12-13",318.440002,320.299988,315.98999,318.51001,2725700,317.701691
"2021-12-14",315.850006,317.059998,303.929993,307.700012,3234700,306.919159
"2021-12-15",310.630005,315.320007,307.880005,314.980011,2980600,314.180634
"2021-12-16",315.709991,323.130005,312.779999,318.48999,4022400,317.681763
"2021-12-17",316.600006,318.290009,310.73999,313.410004,7941400,312.614655
"2021-12-20",312.910004,315.73999,306.679993,314.290009,2918300,313.492401
"2021-12-21",316.119995,316.119995,308.440002,313.920013,2189000,313.123383
"2021-12-22",315.76001,320.690002,315.399994,319.679993,2190600,318.868744
"2021-12-23",318.410004,322.480011,317.640015,320.790009,1209800,319.975922
"2021-12-27",324.730011,327.890015,322.839996,327.410004,1066100,326.579102
