"","BALL.Open","BALL.High","BALL.Low","BALL.Close","BALL.Volume","BALL.Adjusted"
"2021-10-22",92.989998,93.559998,92.099998,92.209999,1741400,91.563911
"2021-10-25",91.970001,92.07,87.379997,87.480003,2940900,86.867058
"2021-10-26",87.900002,89.739998,86.82,89.139999,2611700,88.515419
"2021-10-27",89.400002,91.660004,89.400002,91.449997,2260500,90.809235
"2021-10-28",91.709999,93.07,91.300003,91.809998,1431100,91.16671
"2021-10-29",91.480003,92.360001,91.059998,91.480003,1312400,90.839035
"2021-11-01",91.459999,93.309998,91.080002,92.900002,1859200,92.249077
"2021-11-02",92.650002,93.540001,91.779999,93.230003,1684300,92.576767
"2021-11-03",92.970001,94.419998,92.970001,94.120003,1540500,93.460533
"2021-11-04",91.779999,93.150002,90,91.480003,2064000,90.839035
"2021-11-05",91.220001,92.400002,90.470001,90.489998,1659800,89.855965
"2021-11-08",91.230003,91.57,89.860001,91.019997,1426800,90.38224
"2021-11-09",91.110001,92.779999,90.989998,91.279999,1259700,90.640434
"2021-11-10",90.739998,91.860001,90.739998,91.25,1102600,90.610634
"2021-11-11",91.669998,91.760002,91.010002,91.660004,957400,91.017769
"2021-11-12",93,94.080002,92.690002,93.57,2680500,92.914383
"2021-11-15",93.620003,95.980003,93.610001,95.879997,1608500,95.208191
"2021-11-16",95.93,97.610001,95.57,96.879997,1353100,96.201187
"2021-11-17",96.900002,96.93,94.75,95.059998,1858300,94.393944
"2021-11-18",95.059998,95.650002,93.75,94.220001,1560600,93.55983
"2021-11-19",94.410004,96.879997,94.410004,95.699997,3351600,95.029457
"2021-11-22",95.699997,96.389999,94.839996,94.959999,1078900,94.29464
"2021-11-23",94.650002,95.260002,93.919998,94.110001,1138100,93.450592
"2021-11-24",94.230003,94.339996,93.300003,93.620003,1112200,92.964035
"2021-11-26",92.849998,96.440002,92.389999,94.699997,2054200,94.036469
"2021-11-29",95.529999,96.660004,94.660004,94.809998,1732200,94.145691
"2021-11-30",93.830002,95.080002,92.949997,93.449997,3194100,92.991379
"2021-12-01",93.769997,95.150002,90.870003,90.910004,1945700,90.463852
"2021-12-02",91.190002,93.849998,90.809998,93.580002,1561000,93.12075
"2021-12-03",93.199997,94.839996,92.870003,93.230003,3471700,92.772469
"2021-12-06",93.860001,94.029999,92.5,92.68,1932300,92.225166
"2021-12-07",93.32,93.790001,90.519997,93.449997,1407800,92.991379
"2021-12-08",93.5,94.209999,92.760002,93.940002,1490700,93.478981
"2021-12-09",93.75,94.059998,91.959999,92.620003,2143200,92.165459
"2021-12-10",92.919998,93.779999,92.269997,93.5,1389400,93.041138
"2021-12-13",93.459999,94.559998,93.139999,93.660004,1726600,93.200356
"2021-12-14",93.889999,94.059998,92.300003,92.32,1588200,91.866928
"2021-12-15",92.650002,93.160004,91.239998,91.860001,2257000,91.409187
"2021-12-16",92.199997,93.150002,91.32,92.339996,2325800,91.886833
"2021-12-17",92.449997,94.120003,91.800003,92.790001,4041200,92.334625
"2021-12-20",92.160004,92.510002,89.379997,90,1932700,89.558319
"2021-12-21",90.32,90.910004,89.379997,89.989998,2201600,89.548363
"2021-12-22",89.900002,90.43,89.540001,90.029999,1460500,89.588165
"2021-12-23",90.239998,90.580002,89.830002,90,1533900,89.558319
"2021-12-27",90.330002,91.940002,90.139999,91.919998,1244500,91.468887
"2021-12-28",92.599998,94.309998,92.18,94.300003,1330000,93.837219
"2021-12-29",94.510002,95.620003,94.459999,95.230003,1210700,94.76265
"2021-12-30",95.599998,96.209999,95.099998,95.449997,957300,94.981567
"2021-12-31",95.330002,96.360001,95.169998,96.269997,987400,95.797546
"2022-01-03",95.959999,96.040001,92.839996,93.260002,1558500,92.802322
"2022-01-04",92,92.690002,89.769997,90.010002,2462900,89.568268
"2022-01-05",90.150002,92.660004,89.129997,91.419998,1921400,90.971344
"2022-01-06",91.839996,92.559998,91.099998,91.559998,1169300,91.110657
"2022-01-07",90.900002,92.5,90.470001,90.510002,1026900,90.065811
"2022-01-10",90.540001,90.660004,88.339996,89.940002,1249100,89.498611
"2022-01-11",90.029999,90.599998,89.57,89.849998,1567500,89.40905
"2022-01-12",90.150002,91.080002,89.980003,90.940002,1140800,90.493706
"2022-01-13",91.040001,91.959999,90.629997,91.019997,1530000,90.573303
"2022-01-14",90.389999,90.709999,88.870003,90.589996,1471600,90.145416
"2022-01-18",89.660004,90.290001,88.220001,89.550003,1694500,89.110527
"2022-01-19",89.900002,92.25,89.790001,91.75,1486700,91.299728
"2022-01-20",91.690002,92.449997,90.300003,90.540001,1939000,90.095665
"2022-01-21",90.209999,90.620003,87.809998,88.330002,5360200,87.896515
"2022-01-24",86.900002,87.449997,84.889999,87.230003,2417200,86.801918
"2022-01-25",86.029999,87.089996,83.860001,86.400002,2165900,85.97599
"2022-01-26",86.709999,87.720001,85.730003,86.57,2554900,86.145149
"2022-01-27",90.849998,94.900002,90.209999,93.989998,3773900,93.528732
"2022-01-28",94.239998,95.599998,92.529999,93.5,3098300,93.041138
"2022-01-31",93.980003,97.43,93.550003,97.099998,2662500,96.623466
"2022-02-01",97.5,97.989998,95.419998,96.57,2559800,96.096077
"2022-02-02",96.489998,96.550003,94.120003,94.459999,1833100,93.996429
"2022-02-03",93.849998,94.470001,92.559998,93.120003,1474100,92.663002
"2022-02-04",92.790001,94.669998,92.540001,93.68,2195000,93.220253
"2022-02-07",94.129997,94.199997,92.18,92.410004,1340800,91.95649
"2022-02-08",92.830002,94.040001,92.290001,93.449997,1431900,92.991379
"2022-02-09",94.07,94.870003,93.470001,94.050003,2053900,93.588448
"2022-02-10",93.279999,94.68,92.150002,92.669998,1301200,92.21521
