"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2021-09-29",120.150002,123.279999,120.089996,122.160004,905900,119.515701
"2021-09-30",122.260002,122.489998,120.019997,120.029999,779600,117.431816
"2021-10-01",120.580002,121.010002,119.309998,119.690002,659100,117.099167
"2021-10-04",119.730003,121.470001,119.709999,120.970001,970200,118.351456
"2021-10-05",120.93,121.910004,120.410004,121.32,897300,118.693886
"2021-10-06",121.160004,123.300003,120.160004,123.18,920300,120.513618
"2021-10-07",123.080002,123.639999,121.459999,121.839996,573500,119.202621
"2021-10-08",121.610001,122.43,121.410004,121.629997,448900,118.997177
"2021-10-11",122.080002,122.720001,121.040001,121.559998,395600,118.928688
"2021-10-12",121.82,122.709999,121.449997,122,450000,119.359169
"2021-10-13",122.07,122.620003,120.32,121.089996,646100,118.468857
"2021-10-14",121.379997,122.029999,120.959999,122,700500,119.359169
"2021-10-15",122.129997,122.480003,121.510002,122.080002,532500,119.437439
"2021-10-18",121.559998,122.349998,120.830002,121.480003,470200,118.850426
"2021-10-19",121.260002,121.550003,119.849998,120.940002,364200,118.322113
"2021-10-20",121.209999,122.589996,120.93,121.760002,491100,119.124359
"2021-10-21",121.959999,122.18,121.089996,121.800003,399100,119.163498
"2021-10-22",122.18,123.260002,122.019997,122.970001,489500,120.308167
"2021-10-25",123.260002,123.610001,122.199997,123.139999,561100,120.47448
"2021-10-26",122.93,125.129997,122.629997,124.699997,681500,122.000717
"2021-10-27",125.699997,125.699997,122.540001,123,702900,120.337524
"2021-10-28",122.870003,124.68,122.540001,124.629997,642200,121.932236
"2021-10-29",124.68,125.699997,122.639999,122.860001,1415500,120.200554
"2021-11-01",122.699997,123.660004,122.300003,123.620003,633600,120.944099
"2021-11-02",123.440002,124.470001,122.610001,123.709999,645400,121.03215
"2021-11-03",123.389999,125.849998,123.32,125.370003,1334300,122.656219
"2021-11-04",125.040001,125.220001,124.07,124.809998,427100,122.108337
"2021-11-05",125.18,126.220001,124.989998,125.779999,417900,123.057343
"2021-11-08",125.730003,125.779999,123.889999,125.080002,585600,122.372498
"2021-11-09",126.959999,129.550003,126.599998,128.580002,840100,125.79673
"2021-11-10",127.959999,128.5,126.620003,127.610001,496000,125.816452
"2021-11-11",126.959999,127.089996,125.660004,126.080002,627300,124.307961
"2021-11-12",126.110001,127.949997,125.669998,127.099998,688600,125.313622
"2021-11-15",127.099998,129.100006,126.75,128.919998,621500,127.10804
"2021-11-16",129.139999,129.460007,127.470001,127.510002,536900,125.717857
"2021-11-17",127,128.220001,126.809998,127.800003,597500,126.003792
"2021-11-18",126.809998,127.019997,124.599998,125.849998,645500,124.081192
"2021-11-19",126.269997,126.93,124.129997,124.309998,811800,122.562828
"2021-11-22",124.139999,127.879997,124.089996,126.440002,821600,124.662903
"2021-11-23",131.259995,134.679993,130.720001,133.630005,2006600,131.751846
"2021-11-24",134,134,130.979996,132.300003,1068800,130.440536
"2021-11-26",132.240005,134.279999,130.610001,130.949997,579600,129.109512
"2021-11-29",131.220001,131.600006,129.169998,129.369995,743900,127.55172
"2021-11-30",128.410004,129.160004,126.080002,126.470001,1724500,124.692482
"2021-12-01",127.440002,128.520004,126.449997,126.550003,858700,124.771355
"2021-12-02",127.489998,129.100006,127.110001,127.849998,1008200,126.053078
"2021-12-03",128.960007,129.770004,128.479996,128.759995,1494700,126.950287
"2021-12-06",129.940002,132.190002,129.5,130.979996,875900,129.139084
"2021-12-07",130.449997,131.699997,129.509995,130.220001,563100,128.389771
"2021-12-08",130.169998,131.330002,128.080002,129.880005,664200,128.05455
"2021-12-09",129.740005,131.309998,129.539993,130.570007,589100,128.734863
"2021-12-10",131.059998,133.139999,131.029999,132.880005,616900,131.01239
"2021-12-13",132.809998,135.100006,131.839996,134.619995,574300,132.727921
"2021-12-14",135.059998,136.070007,133.979996,135.179993,884400,133.28006
"2021-12-15",135.350006,136.119995,134.070007,134.729996,750600,132.83638
"2021-12-16",134.899994,139.259995,134.639999,138.910004,837000,136.957642
"2021-12-17",138.580002,139.869995,136.160004,136.410004,1345000,134.492767
"2021-12-20",134.729996,135.589996,134.050003,135.039993,882800,133.142029
"2021-12-21",133.899994,134,130.809998,131.889999,757200,130.036301
"2021-12-22",132,133.220001,131.380005,133.139999,677000,131.268723
"2021-12-23",133.429993,133.860001,132.960007,132.990005,355500,131.120834
"2021-12-27",132.800003,133.919998,132.720001,133.850006,380800,131.96875
"2021-12-28",133.440002,135.270004,133.210007,135.199997,558700,133.299774
"2021-12-29",135.25,135.600006,134.619995,135.100006,415100,133.201187
"2021-12-30",135.639999,135.800003,134.940002,135.339996,326700,133.437805
"2021-12-31",135.460007,136.070007,134.589996,135.820007,445200,133.911072
"2022-01-03",135.369995,136.940002,133.630005,136.800003,735200,134.877289
"2022-01-04",136.800003,139.679993,136.539993,138.570007,774400,136.622421
"2022-01-05",138.820007,142.070007,138.820007,141.009995,909200,139.028122
"2022-01-06",140.949997,142.720001,140.669998,141.360001,753800,139.373199
