"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2021-12-13",158.229996,161.800003,157.309998,161.080002,2550000,159.112656
"2021-12-14",160.559998,160.860001,157.149994,158.729996,3268800,156.791351
"2021-12-15",159.539993,163.179993,159.100006,162.559998,2979300,160.57457
"2021-12-16",162.330002,163.990005,161.860001,163.25,3772300,161.256149
"2021-12-17",162.860001,165.080002,160.800003,161.179993,6983700,159.211426
"2021-12-20",160.089996,162.380005,159.210007,161.389999,2230800,159.418869
"2021-12-21",162.240005,163.690002,160.089996,160.789993,2185800,158.826187
"2021-12-22",161.300003,162.520004,160.509995,162.259995,2136800,160.278244
"2021-12-23",162.520004,162.949997,160.279999,161.75,3047800,159.774475
"2021-12-27",162.610001,165.960007,162.610001,165.889999,1591000,163.863907
"2021-12-28",165.960007,165.960007,164.020004,165.789993,1749300,163.765121
