"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-04-26",135.279999,136.039993,134.440002,134.690002,768000,133.623505
"2021-04-27",134.919998,135.350006,133.639999,135.100006,543000,134.030273
"2021-04-28",134.970001,136.050003,134.460007,135.070007,737100,134.000504
"2021-04-29",136.080002,137.839996,135.199997,137.089996,948000,136.004501
"2021-04-30",135.860001,136.279999,134.559998,134.929993,881900,133.861603
"2021-05-03",136.100006,136.100006,133.860001,134.309998,1104200,133.246506
"2021-05-04",133.820007,136.889999,133.130005,136.029999,1462200,134.952896
"2021-05-05",136.940002,137.399994,134.949997,136.880005,1381200,135.796173
"2021-05-06",136.210007,137.289993,134.690002,135.839996,1509200,134.764389
"2021-05-07",135.389999,138.059998,134.789993,137.330002,1545400,136.242584
"2021-05-10",137.800003,139.070007,136.919998,137.089996,886000,136.004501
"2021-05-11",135.669998,136.419998,134.149994,136.139999,1333700,135.062012
"2021-05-12",135.779999,135.860001,130.470001,130.839996,1660800,129.804001
"2021-05-13",131.529999,133.990005,131.160004,133.419998,856400,132.363541
"2021-05-14",134.229996,134.869995,133.75,134.339996,716900,133.276276
"2021-05-17",133.729996,134.419998,132.169998,133.940002,713200,132.879456
"2021-05-18",133.839996,134.309998,132.020004,132.080002,786700,131.034164
"2021-05-19",130.399994,131.660004,129.669998,131.529999,911900,130.48851
"2021-05-20",132.399994,132.570007,131.320007,132.380005,715500,131.331802
"2021-05-21",133.020004,133.860001,131.979996,132.850006,1615000,131.79808
"2021-05-24",133.589996,134.210007,132.619995,133.690002,1077600,132.631409
"2021-05-25",133.880005,134.529999,132.970001,133.119995,787000,132.065918
"2021-05-26",133.130005,133.630005,132.070007,133.490005,561900,132.433014
"2021-05-27",134.610001,134.960007,134.169998,134.380005,853600,133.315948
"2021-05-28",135.119995,135.570007,134.020004,135.100006,875400,134.030273
"2021-06-01",136.330002,136.949997,135.179993,135.770004,728100,134.694946
"2021-06-02",135.600006,136.860001,135.059998,135.869995,1205900,134.794159
"2021-06-03",135.210007,137.570007,134.679993,136.830002,1094400,135.746567
"2021-06-04",137.339996,137.940002,136.899994,137.699997,999700,136.609665
"2021-06-07",138.059998,138.100006,135.809998,136.679993,724300,135.597733
"2021-06-08",136.990005,137.399994,135.740005,136.710007,584500,135.627518
"2021-06-09",136.429993,136.449997,135.410004,135.710007,567700,134.635406
"2021-06-10",136.270004,137,135.5,136.350006,718100,135.27037
"2021-06-11",137,137.410004,135.570007,135.860001,673100,134.982224
"2021-06-14",135.460007,136.259995,134.839996,136.179993,553600,135.30014
"2021-06-15",136.210007,137.539993,135.570007,137.160004,548200,136.273819
"2021-06-16",137.160004,137.619995,135.339996,135.399994,720900,134.525177
"2021-06-17",135.820007,136.119995,132.970001,133.990005,870300,133.124329
"2021-06-18",132.110001,133,130.570007,130.649994,1545100,129.805893
"2021-06-21",132.070007,133.910004,131.559998,133.720001,779200,132.856049
"2021-06-22",133.860001,134.240005,133.110001,133.619995,662800,132.756683
"2021-06-23",133.970001,134.190002,132.860001,133.279999,594800,132.418884
"2021-06-24",134.039993,134.259995,132.839996,133.630005,758500,132.766632
"2021-06-25",133.720001,134.509995,133.610001,133.649994,1042300,132.786514
"2021-06-28",133.809998,133.910004,132.210007,133.229996,1307900,132.369217
"2021-06-29",133.770004,134.539993,132.850006,132.979996,648600,132.120834
"2021-06-30",132.779999,133.699997,132.610001,133.5,709300,132.637466
"2021-07-01",134.380005,134.690002,133.479996,133.940002,607800,133.074646
"2021-07-02",133.960007,135.169998,133.529999,134.940002,775800,134.068176
"2021-07-06",134.539993,134.720001,131.570007,133,1240000,132.140701
"2021-07-07",132.869995,135.570007,132.600006,135.279999,980600,134.40596
"2021-07-08",133.100006,134.289993,131.669998,133.029999,900900,132.170517
"2021-07-09",134.770004,135.960007,134.449997,135.470001,912300,134.594742
"2021-07-12",134.580002,136.690002,134.119995,136.300003,1111300,135.419388
"2021-07-13",135.830002,136.270004,134.720001,135.009995,722500,134.137726
"2021-07-14",135.460007,135.710007,134.039993,134.820007,1089900,133.948959
"2021-07-15",134,136.100006,134,135.729996,876600,134.853058
"2021-07-16",136.039993,137.199997,135.399994,136.229996,2951000,135.349838
"2021-07-19",134.479996,134.479996,131.630005,133.059998,1268800,132.200333
"2021-07-20",133.630005,137.300003,133.190002,136.729996,1064800,135.846603
"2021-07-21",137.5,137.889999,136.600006,137.020004,764000,136.134735
"2021-07-22",137.25,137.589996,135.929993,137.169998,758600,136.283752
"2021-07-23",137.990005,138.130005,136.690002,137.830002,682700,136.939514
"2021-07-26",137.570007,138.380005,136.75,137.25,727700,136.363235
