"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2021-09-30",167.880005,167.880005,161.850006,161.970001,2712000,159.89209
"2021-10-01",162.610001,167.839996,161.869995,166.539993,2696400,164.403473
"2021-10-04",166.539993,170.279999,165.690002,166.110001,2759000,163.978989
"2021-10-05",168.080002,170.690002,166.389999,168.720001,2089100,166.555496
"2021-10-06",166.919998,169.029999,164.470001,167.869995,2032000,165.7164
"2021-10-07",169.729996,171.429993,167.710007,167.880005,2011100,165.726273
"2021-10-08",168.440002,171.279999,167.410004,168.800003,1713200,166.634476
"2021-10-11",169.5,171.779999,166.050003,166.179993,1929400,164.04808
"2021-10-12",166.229996,168.330002,165.160004,167.649994,1697500,165.499207
"2021-10-13",167.570007,167.740005,159.550003,162.100006,3849900,160.020432
"2021-10-14",165.149994,166.289993,162.740005,166.009995,2281500,163.880264
"2021-10-15",168,170.25,167.259995,168.380005,2762800,166.219864
"2021-10-18",167.300003,170.660004,167.029999,169.160004,1760600,166.989838
"2021-10-19",170.199997,170.440002,167.789993,169.789993,1955000,167.611771
"2021-10-20",168.919998,173.470001,168.259995,173.25,2614000,171.027374
"2021-10-21",172.479996,174.649994,165.070007,165.690002,3420600,163.564362
"2021-10-22",167,169.429993,165.630005,167.839996,2943300,165.686783
"2021-10-25",168.210007,169.839996,166.220001,168.679993,2368800,166.515991
"2021-10-26",169.300003,170,164.559998,164.850006,3204000,162.735153
"2021-10-27",160.139999,161.490005,151.779999,152.5,7343000,150.543579
"2021-10-28",152.809998,153.929993,150.479996,152.5,4440300,150.543579
"2021-10-29",152.839996,154.070007,150.220001,151.029999,3863700,149.092438
"2021-11-01",152.270004,154.830002,152.210007,153.009995,3181700,151.047028
"2021-11-02",153.220001,154.009995,150.869995,151.910004,3788000,149.961151
"2021-11-03",151,155.350006,150.660004,153.899994,3334100,151.925629
"2021-11-04",153,155.490005,152.300003,153.460007,2462500,151.491257
"2021-11-05",155.589996,157.589996,154.25,154.869995,2389600,152.883179
"2021-11-08",156.479996,157.759995,154.789993,155.520004,2279200,153.524857
"2021-11-09",154.559998,156.110001,153.199997,155.419998,2154400,153.426117
"2021-11-10",155.479996,158.470001,155.479996,156.279999,2274600,154.275085
"2021-11-11",156.279999,158.660004,155.910004,157.149994,1822700,155.133926
