"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2021-07-21",155.070007,156.470001,153.759995,153.960007,294300,151.498856
"2021-07-22",153.350006,153.389999,151.759995,152.410004,309200,149.973648
"2021-07-23",154.199997,156.149994,153.990005,155.020004,276400,152.541916
"2021-07-26",154.929993,156.240005,154.509995,155.779999,258900,153.289764
"2021-07-27",154.710007,157.179993,153.949997,156.720001,222500,154.214737
"2021-07-28",157.399994,157.880005,154.419998,156.619995,235300,154.116348
"2021-07-29",158.039993,158.279999,156.649994,157.949997,287600,155.425064
"2021-07-30",157.610001,159.330002,157.100006,157.809998,273500,155.287292
"2021-08-02",158.309998,159.509995,156.960007,157.259995,323700,154.746094
"2021-08-03",157.929993,159.5,155.820007,158.039993,408900,155.513626
"2021-08-04",156.880005,158.550003,153.240005,155.619995,454500,153.132309
"2021-08-05",156.369995,158.830002,156.369995,158.789993,261200,156.251648
"2021-08-06",159.649994,161.289993,159.100006,160.029999,349800,157.471817
"2021-08-09",159.669998,161.029999,158.600006,159.690002,512600,157.137268
"2021-08-10",160.199997,163.320007,160.089996,162.279999,300200,159.685837
"2021-08-11",162.759995,164.570007,162.199997,164.009995,441700,161.388184
"2021-08-12",165,166.630005,164.600006,165.940002,431200,163.287338
"2021-08-13",166.449997,166.449997,164.789993,165,368200,162.362381
"2021-08-16",164.919998,166.729996,163.929993,166.639999,298100,163.976151
"2021-08-17",166.179993,168.080002,165.270004,167.479996,212100,164.802734
"2021-08-18",166.440002,167.669998,164.940002,165.029999,309100,162.391891
"2021-08-19",163.740005,166.289993,163.240005,163.539993,320100,160.925705
"2021-08-20",163.240005,166.259995,162.679993,165.130005,251400,162.490311
"2021-08-23",166.229996,167.210007,165.130005,166.690002,360500,164.02536
"2021-08-24",166.809998,167.619995,166.389999,166.740005,288400,164.07457
"2021-08-25",167.300003,169.869995,167.229996,168.809998,306900,166.111481
"2021-08-26",168.860001,169.009995,166.850006,167.220001,441900,164.546906
"2021-08-27",166.639999,169.649994,166.529999,169.360001,285900,167.313049
"2021-08-30",169.649994,169.779999,168.309998,168.610001,277300,166.572098
"2021-08-31",168.279999,170.720001,168.279999,170.110001,646200,168.053986
"2021-09-01",170.699997,171.029999,169.020004,169.570007,357300,167.520523
"2021-09-02",169.979996,171.039993,169.789993,170.570007,335500,168.508423
"2021-09-03",170.25,170.919998,169.289993,170.369995,269800,168.310852
"2021-09-07",170.059998,170.160004,168.429993,168.509995,212900,166.473312
"2021-09-08",167.949997,171.410004,167.949997,171.130005,276900,169.061646
"2021-09-09",171.380005,172.220001,169.800003,169.839996,249800,167.787247
"2021-09-10",170.559998,170.559998,167.860001,167.929993,285900,165.900314
"2021-09-13",168.809998,168.809998,166.75,167.580002,330600,165.554565
"2021-09-14",167.899994,168.059998,164.979996,165.809998,347000,163.805954
"2021-09-15",165.25,166.190002,163.759995,163.910004,369500,161.928925
"2021-09-16",164.220001,164.220001,161.5,162.919998,443200,160.950882
"2021-09-17",162.479996,164.039993,160.699997,161.440002,918700,159.48877
"2021-09-20",158.710007,159.479996,156.289993,158.820007,509000,156.900452
"2021-09-21",159.410004,160.089996,157.699997,158.860001,310300,156.939957
"2021-09-22",160.289993,161.559998,159.729996,160.089996,340900,158.155075
"2021-09-23",160.979996,162.289993,159.520004,159.919998,254700,157.987137
"2021-09-24",160.199997,161.679993,159.690002,161.160004,220700,159.212158
"2021-09-27",162.25,163.690002,161.690002,161.729996,284600,159.775269
"2021-09-28",162.070007,162.809998,159.199997,159.399994,262900,157.473419
"2021-09-29",159.860001,161.779999,159.740005,160.610001,210800,158.668808
"2021-09-30",160.949997,161.779999,157.710007,157.75,286300,155.843369
"2021-10-01",158.559998,160.320007,156.949997,159,239900,157.078262
"2021-10-04",158.649994,160.559998,156.970001,157.300003,255200,155.398819
"2021-10-05",158.5,160.779999,156.729996,159.949997,291500,158.016785
"2021-10-06",158.869995,161.259995,157.360001,161.100006,261300,159.152878
"2021-10-07",161.979996,164.520004,161.979996,162.690002,219400,160.723648
"2021-10-08",162.520004,163.660004,161.850006,162.210007,214600,160.249466
"2021-10-11",162.550003,163.789993,161.169998,161.25,152900,159.301071
"2021-10-12",160.880005,162.509995,160.570007,161.330002,239600,159.380112
"2021-10-13",161.259995,161.389999,158.130005,160.179993,246600,158.243988
"2021-10-14",161.949997,163.75,161.029999,163.279999,372800,161.306534
"2021-10-15",164.440002,165.380005,162.380005,162.479996,361600,160.51619
"2021-10-18",161.830002,162.75,161.830002,162.449997,222600,160.486557
"2021-10-19",163.300003,164.330002,163.139999,163.410004,223800,161.434952
"2021-10-20",163.619995,165.720001,163.410004,164.889999,251800,162.897064
"2021-10-21",164.610001,166.460007,164.160004,165.029999,297900,163.03537
"2021-10-22",165.520004,166.679993,164.539993,165.589996,266500,163.588608
"2021-10-25",165.679993,166.070007,163.809998,164.580002,372400,162.59082
"2021-10-26",164.729996,164.940002,162.089996,162.259995,306000,160.298843
"2021-10-27",162.850006,164.570007,160.970001,161,320400,159.054092
"2021-10-28",161.630005,163.619995,161.630005,163.539993,232800,161.56337
"2021-10-29",163.869995,164.179993,161.210007,161.309998,334600,159.360336
"2021-11-01",161.910004,162.470001,160.779999,161.449997,296300,159.498642
"2021-11-02",161.639999,162.309998,160.490005,161.699997,295800,159.745621
