"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2021-08-10",66.349998,67.190002,65.830002,66.900002,3721100,64.781738
"2021-08-11",66.489998,66.860001,65.25,66.839996,4869400,64.723633
"2021-08-12",67.019997,67.309998,66.050003,67.25,1903300,65.120659
"2021-08-13",67,67.459999,66.129997,66.25,1944000,64.152321
"2021-08-16",65.099998,65.489998,63.880001,64.540001,2993300,62.496464
"2021-08-17",63.799999,64.620003,62.91,63.509998,3256700,61.499081
"2021-08-18",63.209999,64.660004,62.18,62.240002,3082600,60.269295
"2021-08-19",61,61.400002,59.330002,60.240002,5267900,58.332619
"2021-08-20",59.93,60.43,58.849998,60.200001,4871000,58.293884
"2021-08-23",61.830002,63.18,61.810001,63.110001,4826300,61.111748
"2021-08-24",63.810001,65.519997,63.599998,65.230003,3833700,63.164619
"2021-08-25",65.18,66.849998,64.919998,66.339996,3064500,64.239471
"2021-08-26",65.769997,66.580002,65.32,65.459999,2726000,63.387333
"2021-08-27",66,68.010002,66,67.110001,3200300,64.985092
"2021-08-30",67.889999,67.989998,65.980003,66.019997,2653300,63.929607
"2021-08-31",65.82,67.059998,65.230003,66.309998,6113200,64.210426
"2021-09-01",66.099998,66.660004,63.23,63.950001,5186900,61.925148
"2021-09-02",64.699997,65.989998,63.91,65.199997,3503400,63.135567
"2021-09-03",65.129997,65.910004,64.080002,64.699997,2091900,62.651394
"2021-09-07",64.809998,66.419998,64.75,65.519997,3021900,63.445435
"2021-09-08",65.989998,66.32,63.669998,63.700001,3396800,61.683064
"2021-09-09",63.150002,65.139999,62.799999,63.540001,2827900,61.52813
"2021-09-10",64.230003,64.370003,62.700001,63.41,3212100,61.402245
"2021-09-13",64.300003,66.720001,64.099998,66.18,4432800,64.084541
"2021-09-14",66.989998,67.169998,64.470001,64.699997,2956300,62.651394
"2021-09-15",65.529999,66.699997,65.120003,66.510002,4032000,64.404091
"2021-09-16",66.519997,66.660004,65.349998,65.459999,2307900,63.387333
"2021-09-17",65.290001,66.5,65.040001,65.599998,4780400,63.522903
"2021-09-20",63.549999,64.18,61.860001,62.970001,3801900,60.976177
"2021-09-21",63.830002,64.139999,62.27,63.32,3019400,61.315094
"2021-09-22",64.209999,66.650002,64.209999,65.32,4729300,63.25177
"2021-09-23",65.449997,67.339996,65.18,67.169998,3373800,65.04319
"2021-09-24",66.459999,67.980003,66.370003,67.629997,2297900,65.488625
"2021-09-27",69.110001,71.769997,68.870003,70.779999,5049600,68.538887
"2021-09-28",71.949997,72.93,70.989998,71.169998,4656700,68.916534
"2021-09-29",71.080002,71.099998,69.660004,70.309998,2821000,68.083763
"2021-09-30",70.330002,71.440002,69.400002,70.57,4083300,68.335541
"2021-10-01",70.889999,74,70.790001,73.620003,5098800,71.288971
"2021-10-04",74.230003,75.739998,73.68,75.019997,4074500,72.64463
"2021-10-05",76.139999,76.879997,72.919998,74.300003,4785300,71.947441
"2021-10-06",72.769997,75.830002,72.330002,75.370003,4529400,72.983551
"2021-10-07",75.730003,77.07,75.550003,75.900002,3904400,73.49678
"2021-10-08",76.540001,78.82,76.489998,78.599998,3476800,76.111282
"2021-10-11",80,80.190002,77.769997,77.800003,4028900,75.336617
"2021-10-12",77.790001,79.68,77.68,78.919998,2567900,76.42115
"2021-10-13",78.169998,78.68,76.919998,78.139999,3072800,75.665848
"2021-10-14",79.529999,79.980003,78.910004,79.169998,2532900,76.663231
"2021-10-15",80,80.330002,78.599998,78.660004,2568300,76.169388
"2021-10-18",79.120003,79.760002,77.559998,78.129997,3525200,75.656158
"2021-10-19",78.879997,80.300003,78.43,80.150002,3560500,77.612206
"2021-10-20",79.519997,81.32,79.330002,81.040001,3897400,78.47403
"2021-10-21",81.150002,83.150002,80.300003,82,4558500,79.403625
"2021-10-22",82,82.449997,79.440002,80.989998,3923700,78.425606
"2021-10-25",82,83.120003,81.510002,82.690002,2730600,80.071785
"2021-10-26",82.699997,82.870003,81.610001,81.879997,2363100,79.28743
"2021-10-27",80.75,81.25,78.25,78.669998,3180200,76.17907
"2021-10-28",78.410004,79.720001,77.660004,78.459999,3366000,75.975716
"2021-10-29",78.559998,78.620003,76.660004,77.330002,4784000,74.881493
"2021-11-01",77.989998,78.919998,77.449997,78.019997,3375300,75.549644
"2021-11-02",77.610001,78.050003,75.639999,75.860001,3913100,73.458038
"2021-11-03",74.889999,77.120003,74.400002,75.879997,4436200,73.477409
"2021-11-04",76.900002,77.400002,75.07,76.349998,3475100,73.932526
"2021-11-05",77.75,78.080002,76.18,77.919998,3492600,75.45282
"2021-11-08",78.910004,79.089996,77.269997,77.779999,2701900,75.317245
"2021-11-09",77.589996,78.440002,77,78.25,3519900,75.772362
"2021-11-10",77.550003,78.790001,76.629997,76.860001,3523600,74.426376
"2021-11-11",76.849998,78.050003,76.400002,77.220001,2710300,74.774979
