"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2021-10-13",196.970001,198.949997,195.789993,197.460007,1223800,196.203995
"2021-10-14",198.820007,201.770004,198.820007,200.389999,1314700,199.115372
"2021-10-15",201.130005,202.800003,200.119995,202.220001,1235800,200.933716
"2021-10-18",201.979996,202.929993,200.759995,202.729996,848800,201.440475
"2021-10-19",203.800003,206.169998,203.720001,204.440002,813700,203.139603
"2021-10-20",205.850006,206.610001,204.839996,206.309998,794700,204.997711
"2021-10-21",207.080002,208.779999,205.309998,208.619995,957000,207.292999
"2021-10-22",208.029999,209.080002,206.839996,208.509995,1104400,207.183716
"2021-10-25",208.809998,211.770004,207.100006,211.520004,1224700,210.174561
"2021-10-26",211,211.740005,208,210.520004,1219300,209.180923
"2021-10-27",210.259995,211.070007,209,209.580002,1625200,208.246918
"2021-10-28",209.839996,213.419998,209.580002,212.669998,1073700,211.569611
"2021-10-29",213.160004,216.919998,212.740005,216.199997,2127500,215.081345
"2021-11-01",215.820007,217.639999,212.960007,213.600006,1323900,212.494827
"2021-11-02",214.759995,215.389999,211.309998,212.199997,2760900,211.102051
"2021-11-03",211.910004,213,208.779999,211.130005,2225300,210.037598
"2021-11-04",214,217.899994,213,217.770004,1947300,216.643234
"2021-11-05",218,218.490005,214.720001,216.729996,1728000,215.608612
"2021-11-08",218.119995,218.389999,215.759995,217.800003,1011300,216.673096
"2021-11-09",217.690002,220.360001,217.360001,220.220001,1622700,219.080551
"2021-11-10",219.460007,220.809998,216.029999,216.580002,1332000,215.459396
"2021-11-11",216.979996,217.320007,215.380005,215.690002,1340200,214.574005
"2021-11-12",216.710007,217.610001,215.419998,216.850006,1187100,215.727997
"2021-11-15",217.149994,217.309998,215.649994,216.059998,918900,214.942078
"2021-11-16",216.050003,221.550003,216.050003,220.179993,1256800,219.040756
"2021-11-17",221,222.610001,217.429993,221.869995,1347400,220.722015
"2021-11-18",224.320007,226.330002,223.520004,225.539993,1706300,224.373016
"2021-11-19",226.5,228.330002,224.199997,226.429993,1734800,225.258408
"2021-11-22",226.699997,228.889999,224.339996,224.339996,1655500,223.179245
"2021-11-23",223.089996,225.309998,220.899994,223.660004,1098700,222.502747
"2021-11-24",223.639999,224.960007,221.070007,223.169998,1177900,222.015305
"2021-11-26",220.679993,225.960007,218.5,219.320007,976500,218.185226
"2021-11-29",221.449997,225.559998,220.690002,223.550003,1391600,222.393341
"2021-11-30",222.800003,226.350006,220.520004,222.039993,3828400,220.891144
"2021-12-01",222.350006,224.779999,219.25,219.660004,2042700,218.523468
"2021-12-02",220,223.949997,219.5,223.190002,1705600,222.035187
