"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2021-07-06",136.580002,136.759995,134.389999,135.720001,566600,131.772614
"2021-07-07",135.089996,138.220001,135.089996,137.619995,508200,133.617325
"2021-07-08",135.910004,137.229996,135.020004,136.130005,661400,132.1707
"2021-07-09",138.220001,138.729996,137.440002,138.630005,422300,134.597977
"2021-07-12",137.279999,139.240005,136.199997,138.910004,648000,134.869843
"2021-07-13",139.080002,139.619995,137.229996,137.490005,480500,133.491119
"2021-07-14",137.490005,138.660004,137.009995,137.160004,429500,133.170746
"2021-07-15",136.820007,138.039993,136.240005,136.720001,708500,132.743515
"2021-07-16",137.289993,137.490005,134.600006,134.919998,490800,130.995865
"2021-07-19",132.979996,134.039993,130.649994,132.190002,509300,128.345291
"2021-07-20",132.520004,134.940002,132.020004,132.580002,620400,128.723953
"2021-07-21",133.529999,134.449997,132.410004,132.820007,388500,128.95697
"2021-07-22",132.789993,132.789993,130.710007,131.520004,441300,127.694778
"2021-07-23",131.860001,134.100006,131.259995,133.630005,491000,129.743408
"2021-07-26",133.5,134.919998,132.779999,134.570007,439600,130.656067
"2021-07-27",134.570007,140.5,131.770004,138.089996,803600,134.073685
"2021-07-28",138.139999,139.259995,136.610001,138.940002,480200,134.898956
"2021-07-29",139.259995,141.699997,138.940002,140.220001,1129600,136.141739
"2021-07-30",140.690002,142.279999,140.300003,141.5,816700,137.384491
"2021-08-02",141.649994,142.869995,138.800003,139.270004,636900,135.219376
"2021-08-03",139.559998,140.240005,137.889999,140.210007,539300,136.132034
"2021-08-04",139.369995,140.259995,138,138.729996,577900,134.695068
"2021-08-05",139.559998,140,137.740005,138.539993,524900,134.51059
"2021-08-06",139.479996,140.860001,139.080002,140.570007,386800,136.481567
"2021-08-09",140.660004,143.309998,140.169998,142.639999,472500,138.491333
"2021-08-10",142.220001,145.039993,142.220001,144.059998,382900,139.870041
"2021-08-11",144.690002,146.050003,144.070007,145.610001,496300,141.374954
"2021-08-12",145.5,146.350006,144.449997,145.460007,432000,141.22934
"2021-08-13",145.570007,146.940002,145.350006,146.419998,349800,142.161392
"2021-08-16",145.800003,146.440002,144.139999,146.089996,577700,141.841019
"2021-08-17",145.619995,146.089996,144.509995,145.669998,422300,141.433212
"2021-08-18",145.149994,146.970001,145,145.050003,527800,140.831253
"2021-08-19",144.050003,146.070007,143.690002,145.089996,443800,140.870087
"2021-08-20",145.259995,148.690002,145.259995,148.300003,777200,143.98671
"2021-08-23",149.059998,149.059998,146.490005,146.979996,555700,142.705109
"2021-08-24",147,148.199997,146.929993,147.850006,329300,143.549805
"2021-08-25",147.699997,150.520004,147.070007,149.919998,389000,145.559601
"2021-08-26",150.020004,150.169998,148.830002,149.399994,550800,145.054733
"2021-08-27",149.960007,151.770004,149.960007,151.389999,323900,146.986847
"2021-08-30",151.839996,152.630005,151.130005,151.149994,596900,146.75383
"2021-08-31",151.270004,153.410004,151.029999,151.699997,751600,147.287857
"2021-09-01",151.990005,154.350006,150.600006,153.940002,823100,149.462692
"2021-09-02",154.809998,155.779999,152.649994,153.309998,1320700,148.851013
"2021-09-03",152.75,153.360001,151.880005,152.449997,758400,148.016022
"2021-09-07",152.520004,152.669998,151.240005,151.600006,636300,147.19075
"2021-09-08",151.089996,152.309998,150.220001,151.679993,636400,147.268402
"2021-09-09",151.350006,152.309998,151.289993,151.710007,780600,147.297546
"2021-09-10",152.309998,153.789993,151.679993,151.820007,436000,147.404358
"2021-09-13",152.860001,152.860001,150.720001,151.679993,545100,147.268402
"2021-09-14",151.160004,151.160004,147.880005,148.279999,575900,144.922745
"2021-09-15",148.139999,148.449997,145.729996,146.039993,756400,142.733475
"2021-09-16",146,146.149994,143.300003,143.710007,1127700,140.456238
"2021-09-17",142.919998,143.130005,140.449997,141.020004,1338000,137.827133
"2021-09-20",139.229996,140.130005,138.100006,139.720001,618200,136.556564
"2021-09-21",140.220001,140.339996,137.949997,138.020004,490500,134.89505
"2021-09-22",139.050003,141.809998,139.029999,140.740005,498500,137.553467
"2021-09-23",141.860001,143.320007,141.350006,142.690002,450200,139.45932
"2021-09-24",142.410004,143.550003,141.830002,141.869995,272400,138.657867
"2021-09-27",141.619995,144.350006,141.619995,143.630005,365600,140.378052
"2021-09-28",143.929993,144.179993,141.779999,142.029999,379900,138.814255
"2021-09-29",142.050003,142.830002,141.139999,141.380005,413300,138.178986
"2021-09-30",141.899994,141.960007,137.369995,137.440002,685700,134.328171
"2021-10-01",137.5,140.050003,136.110001,139.149994,475200,135.999466
"2021-10-04",139,140.520004,138.5,139.399994,501300,136.243805
"2021-10-05",139.410004,142.619995,138.210007,141.720001,533300,138.511276
"2021-10-06",140.699997,141.839996,138.580002,141.210007,539600,138.012833
"2021-10-07",142.520004,143.869995,142.089996,142.669998,638200,139.439758
"2021-10-08",142.669998,143.75,138.619995,139.130005,759600,135.979935
"2021-10-11",139.259995,141.059998,138,138.089996,744000,134.96347
"2021-10-12",138.529999,140.649994,137.800003,139.529999,514400,136.370865
"2021-10-13",139.529999,140.550003,134.509995,137.240005,822700,134.132721
"2021-10-14",137.990005,139.850006,136.630005,139.110001,627500,135.960373
"2021-10-15",139.839996,140.169998,133.339996,133.710007,1066900,130.682648
"2021-10-18",133.339996,136.300003,132.660004,134.119995,492700,131.083344
"2021-10-19",134.119995,134.169998,132.100006,132.860001,709400,129.851883
"2021-10-20",132.860001,136.880005,132.860001,135.539993,499300,132.471207
"2021-10-21",135.270004,135.779999,133.75,134.75,909700,131.699081
"2021-10-22",135.259995,136.759995,133.970001,133.990005,798900,130.956299
"2021-10-25",134.009995,136.270004,133.110001,133.919998,1647000,130.887878
"2021-10-26",136.259995,139.009995,133.820007,136.029999,1250500,132.950104
"2021-10-27",136.070007,136.210007,132.929993,135.399994,873800,132.334366
"2021-10-28",136.210007,138.940002,135,138.800003,824600,135.657394
"2021-10-29",138.210007,139.419998,137.050003,137.369995,521500,134.259766
"2021-11-01",136.449997,136.910004,135.289993,135.449997,401900,132.38324
"2021-11-02",135.440002,135.770004,132.929993,133.710007,536900,130.682648
"2021-11-03",133.419998,135.880005,133.300003,135.380005,559200,132.31485
"2021-11-04",135.009995,136.820007,133.880005,134.399994,441800,131.35701
"2021-11-05",135.190002,136.949997,134.880005,135.380005,314500,132.31485
"2021-11-08",135.889999,136.509995,134.130005,134.369995,539800,131.327682
"2021-11-09",134.020004,135.199997,132.919998,134.190002,549200,131.151779
"2021-11-10",134.070007,135.880005,133.259995,135.449997,724300,132.38324
"2021-11-11",135.529999,136.070007,134.839996,135.100006,323700,132.041168
"2021-11-12",135.529999,136.020004,134.419998,135.089996,258100,132.031403
"2021-11-15",135.490005,135.800003,134.639999,134.820007,496600,131.767517
"2021-11-16",135.039993,135.919998,134.5,134.559998,403000,131.513397
"2021-11-17",134.399994,135.149994,132.5,134.589996,596200,131.542709
"2021-11-18",134.419998,135.149994,132.300003,132.610001,781400,129.607544
"2021-11-19",132.389999,133.990005,132.009995,133.089996,942800,130.076675
"2021-11-22",133.539993,135.850006,132.910004,134.339996,997600,131.29837
"2021-11-23",134.860001,136.119995,134.460007,134.699997,422000,131.650223
"2021-11-24",134.009995,134.179993,131.570007,132.119995,730900,129.128616
"2021-11-26",130.520004,134.630005,130.100006,133.570007,694600,130.545822
"2021-11-29",134.619995,135,133.169998,133.699997,670600,130.672867
"2021-11-30",132.369995,133.059998,130.130005,130.589996,1150400,127.633278
"2021-12-01",131.199997,133.029999,129.449997,129.509995,730600,126.577728
"2021-12-02",130.020004,132.559998,130.020004,131.919998,681100,128.933167
"2021-12-03",131.919998,133.690002,131.419998,133.210007,1053400,130.193954
"2021-12-06",134.669998,136.820007,134.399994,136.190002,920900,133.106476
"2021-12-07",136.649994,137.880005,135.240005,135.360001,1176700,132.295273
"2021-12-08",135.679993,136.589996,132.139999,132.229996,608900,129.23613
"2021-12-09",131.380005,132.179993,129.080002,129.220001,1088200,126.294304
"2021-12-10",130.029999,130.029999,127.989998,128.169998,713200,125.268066
"2021-12-13",128.779999,131.089996,128.169998,130.520004,640300,127.564873
"2021-12-14",130.910004,131.649994,130.320007,130.630005,738100,127.672394
"2021-12-15",131.179993,131.869995,129.600006,131.770004,517200,128.786575
"2021-12-16",132.630005,135.100006,132.309998,134.5,1001900,131.454742
"2021-12-17",133.619995,133.75,129.570007,130.029999,1976400,128.037918
"2021-12-20",128.169998,129.350006,124.779999,129.059998,1208300,127.082779
"2021-12-21",129.559998,131.850006,129.559998,130.729996,1484300,128.727188
"2021-12-22",130.729996,131.850006,129.699997,130.990005,854600,128.983215
"2021-12-23",131.539993,132.809998,131.110001,131.300003,453200,129.288452
"2021-12-27",131.119995,133.039993,130.809998,133,293400,130.962402
"2021-12-28",133,133.940002,132.639999,133.479996,544500,131.435059
"2021-12-29",133.630005,134.949997,133.619995,134.610001,419300,132.54776
"2021-12-30",135.350006,135.740005,134.020004,134.669998,433500,132.606827
"2021-12-31",134.429993,136.559998,134.389999,136.149994,369700,134.064148
"2022-01-03",136.460007,136.660004,133.929993,134.610001,425800,132.54776
"2022-01-04",134.740005,139.820007,134.740005,138.029999,754400,135.915359
"2022-01-05",138.729996,140.350006,137.539993,138.979996,864800,136.850784
"2022-01-06",139.960007,140.210007,136.550003,136.970001,709900,134.871597
"2022-01-07",137.259995,139.110001,137.089996,137.850006,547000,135.738113
"2022-01-10",138.369995,138.720001,134.509995,135.970001,537700,133.886917
"2022-01-11",136.600006,136.600006,134.610001,135.910004,503800,133.827835
"2022-01-12",136.130005,136.330002,133,134,612700,131.947098
"2022-01-13",134.429993,137.669998,134.009995,137.149994,590600,135.048828
"2022-01-14",135.910004,137.639999,134.820007,137.309998,730900,135.206375
"2022-01-18",136.759995,136.990005,133.050003,134.350006,738200,132.291748
"2022-01-19",135.550003,137.350006,134.729996,137.119995,491200,135.019287
"2022-01-20",136.919998,137.850006,135.149994,135.220001,443500,133.148407
"2022-01-21",135.5,137.080002,133.770004,134.520004,662900,132.459137
"2022-01-24",132.490005,136.970001,131.789993,136.570007,922200,134.477722
"2022-01-25",134.440002,137.520004,133.520004,135.029999,953800,132.961319
"2022-01-26",134.589996,136.509995,131.940002,133.399994,915900,131.356277
"2022-01-27",142.309998,149.740005,142.089996,143.490005,2031200,141.291718
"2022-01-28",143.970001,146.809998,143.25,145.550003,1442800,143.320145
"2022-01-31",147.270004,150.960007,146.369995,150.630005,2080300,148.322327
"2022-02-01",150.580002,150.710007,147.270004,149.460007,761900,147.170258
"2022-02-02",149.199997,149.470001,146.839996,147.259995,658400,145.003952
"2022-02-03",146.919998,149.190002,146.050003,148.179993,713500,145.909851
"2022-02-04",147.429993,149.050003,146.020004,146.669998,610800,144.422989
"2022-02-07",146.660004,149.649994,145.820007,148.389999,875000,146.116638
"2022-02-08",149.919998,151.100006,147.960007,150.5,806900,148.194321
"2022-02-09",150.839996,152.25,150.839996,151.059998,473400,148.745728
"2022-02-10",150.190002,151.789993,148.360001,148.710007,675900,146.431732
"2022-02-11",148.449997,149.649994,147.199997,147.789993,749500,145.525833
"2022-02-14",148.100006,148.100006,145.589996,147.020004,1023500,144.767639
"2022-02-15",148.300003,149.589996,147.279999,148.070007,693900,145.801544
"2022-02-16",147.5,148.880005,147.229996,148.490005,409400,146.215103
"2022-02-17",149.759995,149.759995,148.009995,148.529999,740500,146.254486
"2022-02-18",148.080002,149.669998,147.559998,148.470001,465700,146.195404
"2022-02-22",149.050003,149.960007,147.929993,149.059998,450700,146.776367
"2022-02-23",149.389999,149.580002,145.210007,145.259995,612800,143.034592
"2022-02-24",143.350006,146.520004,141.100006,145.990005,1003300,143.753403
"2022-02-25",146.800003,150.740005,146.800003,149.619995,799100,147.327789
"2022-02-28",147.509995,148.660004,144.929993,147.190002,708900,144.935013
"2022-03-01",146.960007,147.270004,142.729996,143.119995,724700,140.927368
"2022-03-02",143.990005,147.520004,143.660004,147.279999,745100,145.023636
"2022-03-03",148.179993,149.759995,147.410004,148.649994,491800,146.372635
"2022-03-04",146.300003,149.880005,145.639999,149.610001,550400,147.317947
