"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2021-11-12",149.160004,150.619995,148.509995,150,1073500,147.896194
"2021-11-15",149.830002,150.570007,146.389999,146.600006,1232400,144.543884
"2021-11-16",147.059998,149.149994,146.289993,148,1093100,145.92424
"2021-11-17",148.309998,149.809998,147.5,147.830002,735500,145.756638
"2021-11-18",147.800003,148.389999,146.190002,147.820007,905100,145.74678
"2021-11-19",148.970001,150.089996,147.990005,148.440002,1916000,146.358078
"2021-11-22",148.139999,151.800003,147.440002,150.740005,1074400,148.625824
"2021-11-23",150.210007,151.740005,148.649994,151.039993,539300,148.9216
"2021-11-24",150.940002,152.369995,149.339996,149.520004,720400,147.422928
"2021-11-26",151.729996,156.559998,151.529999,154.949997,1209600,152.776749
"2021-11-29",155,158.330002,153.119995,156.699997,1188600,154.502228
"2021-11-30",154.910004,155.5,148.360001,148.679993,3358700,146.594711
"2021-12-01",149,154.660004,148.710007,151.240005,1458600,149.118805
"2021-12-02",150.919998,155.830002,150.919998,154.320007,1641400,152.155609
"2021-12-03",154.800003,158.320007,154.679993,157.059998,1415300,154.857178
"2021-12-06",157.779999,158.539993,156.809998,157.639999,1222500,155.429031
"2021-12-07",158.179993,160.479996,157.869995,160.139999,774500,157.893982
"2021-12-08",160.380005,160.970001,156.529999,160.149994,880700,157.903839
"2021-12-09",160.059998,160.759995,157.669998,157.720001,893700,155.507919
"2021-12-10",157.669998,161.059998,157.179993,160.059998,968300,157.815094
"2021-12-13",160.470001,164.440002,160,163.259995,1223500,160.970215
"2021-12-14",163.100006,165.369995,163.100006,164.429993,1163400,162.12381
"2021-12-15",165.229996,168.850006,164.789993,168.410004,1591200,166.048004
"2021-12-16",168.509995,173.169998,168.300003,171.889999,1255500,169.479187
"2021-12-17",172.059998,173.889999,170.75,171.199997,2074000,168.798859
"2021-12-20",171,172.229996,168.429993,171.490005,1159500,169.084793
"2021-12-21",171.789993,171.990005,166.470001,167.100006,1369300,164.756363
"2021-12-22",167.320007,168.759995,166.770004,167.770004,1260500,165.416962
"2021-12-23",168.220001,168.5,166.179993,167.050003,758500,164.707062
"2021-12-27",168.460007,169.539993,167.830002,169.350006,406900,166.974792
"2021-12-28",170.020004,170.100006,168.809998,169.339996,528400,166.964935
"2021-12-29",170.050003,170.179993,168.649994,170.110001,627200,167.724136
"2021-12-30",170.860001,172.570007,170.199997,171.339996,560600,168.93689
"2021-12-31",171.300003,174.160004,170.380005,173.009995,796800,170.58345
