"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2021-10-20",129.770004,132.559998,129.770004,131.630005,1694800,128.220215
"2021-10-21",132.149994,132.449997,131.110001,131.279999,978600,127.879288
"2021-10-22",131.220001,133.059998,131.220001,133.039993,2155000,129.593689
"2021-10-25",128.179993,130.570007,125.269997,130.110001,5884900,126.739594
"2021-10-26",129.070007,133.990005,128.699997,133.270004,2892700,129.817749
"2021-10-27",133.610001,133.880005,128.979996,129.259995,2704400,125.911606
"2021-10-28",129.259995,130.630005,128.899994,130.059998,1965400,126.690895
"2021-10-29",129.889999,130.449997,129.059998,129.490005,1751300,126.135658
"2021-11-01",129.600006,130.740005,129.520004,130.279999,1249100,126.905197
"2021-11-02",130.710007,132.139999,129.910004,131.570007,1204000,128.161774
"2021-11-03",131.449997,132.25,130.779999,132.110001,1093500,128.68779
"2021-11-04",131.449997,132.169998,130.820007,131.25,1147400,127.850067
"2021-11-05",132.330002,132.699997,131.570007,132.229996,1069400,128.804672
"2021-11-08",132.199997,132.850006,130.960007,132.539993,1056700,129.106628
"2021-11-09",132.649994,133.5,132.029999,132.460007,1102500,129.028717
"2021-11-10",133.229996,135.169998,132.660004,134.710007,1654500,131.220444
"2021-11-11",134.429993,134.619995,133.339996,134.020004,1345600,130.548325
"2021-11-12",134.649994,134.940002,133.830002,133.910004,1232300,130.441162
"2021-11-15",133.889999,134.800003,133.619995,134.779999,1281200,131.28862
"2021-11-16",134.919998,136.149994,133.770004,133.839996,1042800,130.372971
"2021-11-17",133.699997,134.740005,132.75,134.410004,1429900,130.928207
"2021-11-18",134.100006,134.190002,132.419998,133.050003,1014200,129.603455
"2021-11-19",134.259995,135.509995,133.800003,134.440002,1739100,130.957443
"2021-11-22",134.5,136.770004,134.080002,135.440002,1235600,131.931534
"2021-11-23",135.440002,136.589996,135.039993,135.789993,1452100,132.272446
"2021-11-24",135.550003,136,134.270004,135.229996,1017100,131.726959
"2021-11-26",135.649994,137.449997,134.970001,135.270004,1184800,131.765945
"2021-11-29",135.419998,136.460007,135.009995,135.039993,1025000,131.54187
"2021-11-30",134.460007,134.710007,130.179993,130.309998,2652700,126.934418
"2021-12-01",131.050003,133.820007,130.75,131.759995,1850800,128.346848
"2021-12-02",132.139999,133.850006,132.139999,132.789993,1493700,129.350159
"2021-12-03",133.759995,135.690002,133.309998,135.389999,1749700,131.882813
"2021-12-06",136.039993,138.399994,135.949997,136.419998,1732100,132.886139
"2021-12-07",136.020004,137.75,135.970001,136.880005,2339800,133.334244
"2021-12-08",136.970001,137.759995,135.5,136.889999,1464400,133.343964
"2021-12-09",135.369995,136.600006,135.149994,135.610001,935000,133.206451
"2021-12-10",136.5,136.649994,135.839996,136.070007,1213800,133.658295
"2021-12-13",136.009995,139.720001,135.639999,139.279999,2144200,136.811401
"2021-12-14",139.470001,139.610001,137.350006,138.089996,2681100,135.642487
"2021-12-15",138.229996,139.369995,137.759995,138.300003,2440900,135.84877
"2021-12-16",138.479996,141.880005,138.139999,141.820007,2471700,139.306381
"2021-12-17",141.279999,142.550003,139.179993,139.369995,3237600,136.899796
"2021-12-20",138.660004,141.580002,138.399994,141.300003,2209400,138.795609
"2021-12-21",141.169998,141.300003,138.460007,139.289993,1496700,136.821228
"2021-12-22",139.759995,140.139999,138.360001,139.220001,980600,136.752472
"2021-12-23",139.220001,139.639999,138.339996,138.889999,1115600,136.428314
