"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2022-01-19",106.050003,106.339996,102.089996,102.360001,2063200,100.607033
"2022-01-20",103.839996,103.989998,100.239998,100.43,2158100,98.710083
"2022-01-21",99.220001,99.559998,95.25,95.519997,2735400,93.884163
"2022-01-24",93.690002,97.389999,91.93,97.160004,3036700,95.496086
"2022-01-25",95.150002,96.389999,91.889999,94.779999,2324900,93.156837
"2022-01-26",97.839996,98.949997,94.5,96.309998,3665600,94.660637
"2022-01-27",107.290001,117.029999,102.519997,103.68,11944400,101.904419
"2022-01-28",102.610001,107.199997,100.660004,107.019997,3850900,105.187218
"2022-01-31",106.5,109.589996,106.220001,107.150002,3820500,105.315002
"2022-02-01",107.150002,108.739998,105.510002,107.959999,1931800,106.11113
"2022-02-02",108.07,110.620003,107.440002,110.389999,2075100,108.499512
"2022-02-03",108.610001,109.949997,108.099998,108.169998,1565500,106.317528
"2022-02-04",107.809998,109.900002,106.800003,108.720001,1297400,106.858116
"2022-02-07",109.639999,110.040001,108.5,109.440002,1374100,107.565781
"2022-02-08",109.620003,111,108.690002,110.739998,1284300,108.843521
