"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2021-08-03",204.789993,207.809998,201.550003,206.979996,1046900,205.552216
"2021-08-04",209.100006,212.039993,206.070007,206.839996,1153700,205.413177
"2021-08-05",209.860001,226.220001,208.309998,218.619995,2505200,217.111908
"2021-08-06",221,227.389999,215.020004,226.710007,1651300,225.146103
"2021-08-09",224.710007,232.529999,220.080002,231.380005,1425200,229.78389
"2021-08-10",232.300003,242.009995,232.300003,239.029999,1977900,237.381119
"2021-08-11",240,242.070007,227.740005,235.990005,1916300,234.362106
"2021-08-12",235.610001,237.559998,230.419998,236.539993,1089600,234.908295
"2021-08-13",237.960007,239.960007,233.149994,235.220001,849200,233.597412
"2021-08-16",232.449997,232.449997,221.350006,225.899994,2147800,224.341675
"2021-08-17",221.380005,223.75,210.759995,216.449997,2133000,214.956879
"2021-08-18",217.309998,221.679993,215.149994,217.729996,946100,216.228043
"2021-08-19",211.100006,217.070007,210.520004,213.350006,1361800,211.878281
"2021-08-20",213.820007,220.509995,213.729996,219.679993,1116800,218.164581
"2021-08-23",225.130005,230.240005,222.570007,227.940002,1550100,226.367615
"2021-08-24",228.130005,229.300003,222.050003,229.199997,1208600,227.618912
"2021-08-25",229.550003,240.539993,227.5,234.169998,1834600,232.554642
"2021-08-26",232.899994,236.399994,230.449997,230.699997,908400,229.108597
"2021-08-27",232.690002,237.850006,232.690002,236.649994,985000,235.017548
"2021-08-30",240.710007,244.429993,236.880005,236.979996,1119600,235.345261
"2021-08-31",237.009995,237.100006,230.580002,236.740005,833100,235.106918
"2021-09-01",236.740005,241.300003,233.660004,239.199997,924000,237.549942
"2021-09-02",240,248.710007,240,244.029999,1092800,242.346634
"2021-09-03",243.460007,245.539993,239.660004,241.860001,860500,240.191605
"2021-09-07",241,241.869995,238.139999,238.779999,1042300,237.132843
"2021-09-08",243.75,243.75,235.339996,239.279999,1203200,237.629395
"2021-09-09",238,247.929993,237.729996,243.410004,1172100,241.730911
"2021-09-10",249.839996,253.100006,240.970001,241.169998,1536200,239.506363
"2021-09-13",242.929993,243.25,222.449997,229.130005,2522900,227.549423
"2021-09-14",232.199997,235,228.740005,230.470001,1322400,228.880173
"2021-09-15",230.559998,236.600006,230.410004,233.979996,1469300,232.365952
"2021-09-16",232.300003,232.559998,225.350006,231.25,1323100,230.038223
"2021-09-17",228.440002,230,223.75,226.850006,2097300,225.66127
"2021-09-20",216.649994,218,210.240005,215.479996,2246600,214.350845
"2021-09-21",218.639999,220.350006,213.529999,216.490005,1008900,215.35556
"2021-09-22",219.699997,226.639999,217.020004,223.279999,904500,222.109985
"2021-09-23",226.889999,232.240005,226.889999,229.149994,1055100,227.949219
"2021-09-24",227.889999,229.669998,224.720001,226.399994,704200,225.213623
"2021-09-27",225.990005,226.679993,220.029999,222.25,843700,221.085373
"2021-09-28",219.009995,219.940002,215.059998,216.449997,984200,215.315781
"2021-09-29",218.809998,220.919998,216.399994,218.970001,740400,217.822571
"2021-09-30",223.639999,228.850006,218.839996,218.970001,1019700,217.822571
"2021-10-01",219.470001,221.630005,210.490005,218.889999,1116200,217.742981
"2021-10-04",219,220.050003,212.610001,215.210007,1015800,214.082275
"2021-10-05",217.020004,223.820007,215.149994,222.389999,1049600,221.22464
"2021-10-06",220,222.770004,214.559998,222.369995,1005800,221.204758
"2021-10-07",226,226.940002,221.899994,222.300003,641000,221.135117
"2021-10-08",221.979996,222.759995,213.559998,215.059998,1260600,213.933044
"2021-10-11",215.100006,219.179993,213.899994,214.160004,743100,213.037766
"2021-10-12",217.960007,218.949997,214.869995,216.869995,707300,215.733566
"2021-10-13",218.5,226.220001,217.899994,223.660004,1016400,222.487991
"2021-10-14",225.050003,232.380005,225.039993,231.330002,1127900,230.117798
"2021-10-15",233.589996,234.539993,228.619995,228.770004,908300,227.571198
"2021-10-18",227.839996,237.869995,227.539993,236.910004,1223100,235.668564
"2021-10-19",243.770004,244.360001,233.070007,235.949997,1069900,234.713577
"2021-10-20",238.389999,238.990005,232.630005,235.169998,911700,233.937668
"2021-10-21",233.919998,235.800003,230.399994,234.160004,656500,232.932968
"2021-10-22",235.479996,237.690002,230.929993,231.509995,761800,230.296844
"2021-10-25",234.899994,243,232.139999,239.440002,1600500,238.185303
"2021-10-26",239.440002,242.149994,234,236.160004,1121200,234.922485
"2021-10-27",236.699997,238.639999,230.630005,231.75,1140400,230.535599
"2021-10-28",233.259995,246.210007,232.75,246.210007,1569900,244.91983
"2021-10-29",239.75,251.800003,236.089996,250.470001,4261200,249.157486
"2021-11-01",256,259.179993,249.589996,255.869995,1638100,254.529205
"2021-11-02",256,260.98999,251.550003,260.019989,1631500,258.65741
"2021-11-03",258.48999,263.5,255.490005,261.950012,1172500,260.577332
"2021-11-04",273.769989,276,264.049988,272.660004,1841800,271.231232
"2021-11-05",273.790009,274.98999,267.480011,272.51001,990800,271.082031
"2021-11-08",275.799988,279.950012,272.619995,278.519989,1234600,277.060486
"2021-11-09",280,282.869995,271.070007,274.570007,1051000,273.131226
"2021-11-10",269.890015,274.079987,263.570007,265.75,1331100,264.357422
"2021-11-11",266.570007,273.380005,263.959991,272.309998,785700,270.883026
"2021-11-12",272.48999,276.619995,270.100006,276.399994,767700,274.951599
"2021-11-15",275.829987,276.529999,265.320007,271.290009,946100,269.868408
"2021-11-16",269.559998,273.48999,267.029999,272.470001,674400,271.042236
"2021-11-17",273.200012,275.899994,270.25,273.390015,603300,271.957397
"2021-11-18",277,278.23999,269.589996,274.660004,823400,273.220734
"2021-11-19",274.049988,282.549988,272.880005,281.429993,1028800,279.955261
"2021-11-22",287.26001,291.480011,281.100006,283.799988,2346100,282.312836
"2021-11-23",282,286.48999,271.040009,275.160004,1329500,273.718109
"2021-11-24",272.279999,275,267.109985,274.480011,974400,273.041718
"2021-11-26",265,269.679993,262.839996,266.850006,884300,265.45166
"2021-11-29",271.290009,277.470001,268.200012,275.890015,1004800,274.444305
"2021-11-30",275,277.589996,264.299988,266.48999,1377500,265.093536
"2021-12-01",270.01001,276,259.799988,259.850006,1247400,258.488342
"2021-12-02",261,264.899994,255.350006,261.390015,1204300,260.020294
"2021-12-03",262.26001,267.809998,247.119995,251.470001,1623500,250.152252
"2021-12-06",251.949997,252.690002,239.110001,248.539993,1036000,247.23761
"2021-12-07",253.259995,263.190002,253.259995,259.529999,888200,258.169983
"2021-12-08",261,265.859985,258.690002,264.640015,832600,263.253265
"2021-12-09",261.440002,266.48999,257.299988,257.470001,682200,256.120789
"2021-12-10",260.51001,263.559998,257.220001,262.869995,667500,261.492493
"2021-12-13",263,263.079987,247.949997,248.800003,1101600,247.496246
"2021-12-14",245.940002,247.649994,239.710007,243.830002,1207700,242.552292
"2021-12-15",229.320007,240.479996,226.940002,239.789993,1854800,238.533447
"2021-12-16",242.690002,243,228.399994,230.919998,1470100,230.084152
"2021-12-17",227.070007,232.520004,222.259995,229.869995,2350400,229.037949
"2021-12-20",220.110001,223.169998,215.679993,218.130005,1703200,217.340454
