"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2021-09-27",274.779999,276.779999,272.186005,273.390015,4614900,273.390015
"2021-09-28",269.894989,271.440002,261.679993,262.190002,8352400,262.190002
"2021-09-29",263.51001,264.459991,256.890015,259,6829100,259
"2021-09-30",259.649994,263.470001,258.730011,260.209991,5321700,260.209991
"2021-10-01",261.454987,265.820007,260.109985,264.649994,4560400,264.649994
"2021-10-04",261.838013,262.570007,251.589996,255.009995,7267200,255.009995
"2021-10-05",255.220001,262.769989,253.589996,260.149994,6326600,260.149994
"2021-10-06",256.290009,264.390015,256.029999,264.059998,4615300,264.059998
"2021-10-07",265.950012,268.692993,263.070007,263.540009,5276400,263.540009
"2021-10-08",264.954987,265.470001,259.799988,260.059998,4095900,260.059998
"2021-10-11",257.929993,260.660004,254.690002,255.050003,5031700,255.050003
"2021-10-12",256,257.970001,253.779999,255.850006,4289300,255.850006
"2021-10-13",258.730011,261.23999,254.244995,256.359985,6024100,256.359985
"2021-10-14",261.5,267.410004,260.200012,266.450012,7850600,266.450012
"2021-10-15",268.700989,269.721008,265.440002,268.350006,5007900,268.350006
"2021-10-18",266.390015,270.440002,264.709991,270.329987,4367100,270.329987
"2021-10-19",271.01001,273.269989,269.834991,271.700012,3985900,271.700012
"2021-10-20",273,273.51001,253.100006,258.359985,31271700,258.359985
"2021-10-21",258.609985,258.959991,242.979996,243.210007,42508900,243.210007
"2021-10-22",243.729996,246.660004,239.75,240.399994,24170900,240.399994
"2021-10-25",254.955002,255.520004,245.820007,246.880005,23046700,246.880005
"2021-10-26",249.449997,249.880005,241.009995,243,14404300,243
"2021-10-27",243.850006,244.690002,233.919998,234.940002,19043900,234.940002
"2021-10-28",237,237.940002,232.779999,236.830002,14288300,236.830002
"2021-10-29",235.429993,238.899994,231.710007,232.589996,13010800,232.589996
"2021-11-01",232.699997,233.550003,230.190002,231.279999,14054900,231.279999
"2021-11-02",232.539993,232.761002,227.800003,229.460007,12676700,229.460007
"2021-11-03",228.330002,230.899994,225.309998,230.380005,14178000,230.380005
"2021-11-04",231.610001,231.919998,225,228.220001,14158900,228.220001
"2021-11-05",230,230.419998,224.600006,225.779999,16665600,225.779999
"2021-11-08",227.960007,230.970001,226.25,229.419998,23213900,229.419998
"2021-11-09",212.399994,212.399994,200.679993,205.419998,63995100,205.419998
"2021-11-10",204.100006,208.199997,202.779999,204.639999,23585900,204.639999
"2021-11-11",207.919998,208.309998,201.559998,202.029999,17712100,202.029999
"2021-11-12",203.25,210.020004,201.483994,208.300003,20954600,208.300003
"2021-11-15",212.220001,214.209,210.710007,212.539993,17433100,212.539993
"2021-11-16",214.889999,215.970001,211.770004,215.669998,16697500,215.669998
"2021-11-17",211.145004,213.970001,203.350006,206.270004,23095600,206.270004
"2021-11-18",206.990005,207.5,199.199997,200.5,19980100,200.5
"2021-11-19",202.190002,202.5,193.070007,193.610001,24607500,193.610001
"2021-11-22",193.619995,193.899994,184.274994,189.479996,29956600,189.479996
"2021-11-23",189.154999,190.789993,185.199997,188.050003,20004500,188.050003
"2021-11-24",187,189.639999,184.740005,188.710007,13359100,188.710007
"2021-11-26",188.380005,193,186.830002,187.789993,11080400,187.789993
"2021-11-29",188.919998,189.899994,182.429993,187.240005,16308200,187.240005
"2021-11-30",186.470001,188.824997,180.5,184.889999,21144300,184.889999
"2021-12-01",187.770004,190.350006,179.149994,179.320007,19491300,179.320007
"2021-12-02",180.104996,188.800003,179.729996,187.149994,20422700,187.149994
"2021-12-03",187.729996,187.800003,179.289993,183.929993,20737500,183.929993
"2021-12-06",183.410004,186.070007,179.199997,184.860001,13303400,184.860001
"2021-12-07",188.669998,192.828003,188.429993,191.020004,17772700,191.020004
"2021-12-08",191.949997,197.690002,190.089996,197.350006,14433200,197.350006
"2021-12-09",196.059998,196.419998,191.440002,191.75,11550700,191.75
"2021-12-10",192.940002,194.149994,186.800003,188.509995,11908100,188.509995
"2021-12-13",187.5,190.199997,185.300003,186.380005,11812200,186.380005
"2021-12-14",183.740005,189.143005,182.779999,186.800003,11414200,186.800003
"2021-12-15",185.119995,191.100006,183.669998,190.660004,11278500,190.660004
"2021-12-16",194.166,195.240005,188.251007,188.75,12326100,188.75
"2021-12-17",187.005005,187.839996,181.990005,186.199997,18899800,186.199997
"2021-12-20",182.529999,184.406006,181.669998,182.679993,10906800,182.679993
"2021-12-21",183.179993,189.289993,183.080002,189.139999,12515500,189.139999
"2021-12-22",189.160004,191.770004,188.039001,191.679993,9541600,191.679993
"2021-12-23",192.470001,192.955994,190.25,192.009995,7762000,192.009995
"2021-12-27",192.389999,193.919998,191.080002,192.009995,8351800,192.009995
"2021-12-28",192.190002,194,189.110001,190.100006,7969400,190.100006
