"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2021-11-02",278.450012,278.600006,274.290009,274.51001,1266800,273.083191
"2021-11-03",274.820007,277.859985,270.73999,277.769989,610200,276.326233
"2021-11-04",279.079987,284.649994,278.269989,284.579987,408400,283.10083
"2021-11-05",285.890015,286.589996,280.829987,284.559998,596600,283.080933
"2021-11-08",286.75,287.619995,283.450012,286.899994,369500,285.408783
"2021-11-09",287.160004,291.690002,286.079987,288.339996,490900,286.841339
"2021-11-10",286.429993,287.149994,275.01001,277.290009,898600,275.848755
"2021-11-11",278.470001,279.600006,273.880005,275.630005,955300,274.197388
"2021-11-12",277.820007,280.609985,275.880005,280.089996,463000,278.634186
"2021-11-15",280.149994,282.630005,277.559998,282.369995,926800,280.902344
"2021-11-16",282.160004,292.019989,282,291.290009,593400,289.776001
"2021-11-17",291.51001,291.51001,285.929993,290.619995,656900,289.109436
"2021-11-18",291,292.109985,288.649994,289.190002,724100,287.68689
"2021-11-19",290.350006,290.350006,285.959991,288.859985,666400,287.358582
"2021-11-22",287,287.660004,280.980011,281.170013,1055100,279.708588
"2021-11-23",280.399994,283.619995,278.019989,282.950012,608500,281.8703
"2021-11-24",281.01001,283.869995,281.01001,283.459991,334000,282.378357
"2021-11-26",279.140015,281.559998,277.26001,277.73999,359100,276.680145
"2021-11-29",280.26001,286.149994,277.790009,284.059998,588200,282.976074
"2021-11-30",282.929993,285.269989,278.329987,278.649994,1152900,277.5867
"2021-12-01",281.98999,287.839996,277.549988,277.559998,801900,276.500854
"2021-12-02",277.470001,291.48999,277.040009,291,917700,289.889587
"2021-12-03",292.309998,292.309998,278.98999,282.5,938900,281.422028
"2021-12-06",284.679993,284.899994,280.579987,282.149994,616200,281.073364
"2021-12-07",285.75,292.209991,284.079987,291.859985,1096400,290.746277
"2021-12-08",291.480011,295.049988,291.269989,294.929993,607400,293.804565
"2021-12-09",294.459991,295.640015,291,291.829987,554100,290.7164
"2021-12-10",293.369995,296.630005,292,295.119995,483400,293.993866
"2021-12-13",295.179993,300.109985,295.179993,297.049988,771700,295.916473
"2021-12-14",293.950012,295.109985,282.899994,288.220001,632900,287.120209
"2021-12-15",288.269989,291.600006,285.970001,291.51001,673500,290.397644
"2021-12-16",292.929993,295.709991,288.450012,290.23999,682200,289.132477
"2021-12-17",289.390015,289.390015,275.73999,276.640015,2286800,275.584381
