"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2021-08-24",119.720001,119.720001,118.419998,119.68,3831500,114.970329
"2021-08-25",119.860001,121.400002,118.870003,120.400002,5241100,115.661995
"2021-08-26",120.860001,121.25,120.150002,120.400002,5035400,115.661995
"2021-08-27",120.339996,120.639999,119.419998,119.580002,4279900,114.87426
"2021-08-30",119.839996,120.900002,119.540001,120.57,3260900,115.825302
"2021-08-31",120.830002,121.169998,120.029999,120.779999,6021800,116.027046
"2021-09-01",121,121.529999,106.099998,112.269997,50943200,107.851921
"2021-09-02",113.550003,113.739998,110.82,112.019997,14719200,107.611763
"2021-09-03",111.18,112.07,111.019997,111.620003,5364800,107.227509
"2021-09-07",110.449997,111.57,108.32,109.029999,12694200,104.739433
"2021-09-08",108.059998,110.900002,107.720001,110.360001,10823200,106.01709
"2021-09-09",109.440002,109.739998,107.199997,107.269997,10337100,103.048691
"2021-09-10",107.480003,108.32,106.360001,106.68,7620100,102.481911
"2021-09-13",107.389999,108.769997,106.809998,107.480003,7398900,103.250435
"2021-09-14",107.989998,108.07,106.25,106.480003,6102700,102.289787
"2021-09-15",106.589996,108.800003,106.029999,107.769997,7444300,103.529007
"2021-09-16",108.239998,108.75,106.529999,108.080002,5821800,103.82682
"2021-09-17",107.5,108.25,107.099998,107.730003,14157200,103.490585
"2021-09-20",106.099998,107.489998,105.559998,106.400002,7103400,102.212921
"2021-09-21",106.25,107.410004,106.199997,107.150002,6400400,102.933411
"2021-09-22",107.010002,107.580002,105.93,106.410004,6319100,102.222534
"2021-09-23",106.989998,108.269997,106.650002,107.360001,5847800,103.135147
"2021-09-24",106.870003,108.050003,106.440002,107.07,5836100,102.85656
"2021-09-27",107.129997,108.639999,107.019997,107.720001,4969600,103.480988
"2021-09-28",107.620003,108.620003,107.040001,107.339996,6445600,103.115936
"2021-09-29",107.849998,109.580002,107.480003,108.839996,6270100,104.556908
"2021-09-30",109.199997,110.419998,107.779999,107.870003,7886400,103.625084
"2021-10-01",108.25,109.690002,106.870003,109.089996,8611500,104.797073
"2021-10-04",108.839996,110.199997,107.690002,108.730003,9779200,104.451241
"2021-10-05",109.389999,110.580002,109.099998,109.510002,7146900,105.200546
"2021-10-06",109.300003,109.669998,108.150002,109.32,5710300,105.018013
"2021-10-07",109.779999,111.790001,109.559998,110.870003,7842600,106.507019
"2021-10-08",111.050003,111.75,110.639999,111.18,5019800,106.804825
"2021-10-11",111.139999,111.400002,110.279999,110.339996,4613800,105.997864
"2021-10-12",110.120003,110.260002,108.160004,108.57,6305800,104.297531
"2021-10-13",108.589996,109.040001,108,108.529999,5471100,104.259102
"2021-10-14",107.959999,108.989998,107.800003,108.910004,7289500,105.89257
"2021-10-15",109.150002,109.959999,109.080002,109.330002,4634500,106.300926
"2021-10-18",108.989998,108.989998,107.089996,107.43,7949400,104.453568
"2021-10-19",107.75,108.07,106.860001,107.449997,4614900,104.473
"2021-10-20",107.5,109.110001,107.5,108.410004,5626800,105.406418
"2021-10-21",108.410004,108.949997,107.150002,108.760002,4811800,105.746719
"2021-10-22",108.669998,109.220001,108.309998,109.139999,4614400,106.116188
"2021-10-25",109.080002,109.139999,107.75,108.5,5697400,105.493919
"2021-10-26",108.809998,109.580002,108.199997,109.489998,5047400,106.45649
"2021-10-27",109.580002,109.720001,108.169998,108.400002,4875300,105.39669
"2021-10-28",108.389999,109.900002,108.199997,109.669998,5193300,106.631508
"2021-10-29",112.089996,114.919998,111.419998,114.669998,16545000,111.492966
"2021-11-01",115.25,115.720001,113.57,114.809998,7096800,111.629089
"2021-11-02",115.25,117.690002,115.160004,116.529999,10357800,113.301445
"2021-11-03",116.529999,117.610001,116.239998,117.57,6186900,114.31263
"2021-11-04",117.57,117.720001,116.330002,117.059998,4912200,113.816757
"2021-11-05",116.730003,117.32,115.5,117.18,4635800,113.933434
"2021-11-08",117.199997,117.449997,115.779999,116.059998,7015000,112.84446
"2021-11-09",116.239998,116.589996,115.410004,115.610001,3146800,112.406929
"2021-11-10",115.400002,117.099998,115.389999,116.75,4981100,113.51535
"2021-11-11",116.940002,117.489998,116.290001,116.629997,3120900,113.398666
"2021-11-12",117.400002,117.400002,116.43,116.970001,2740300,113.729256
"2021-11-15",116.949997,117.800003,116.220001,116.839996,3941000,113.602852
"2021-11-16",116.610001,117.470001,116.339996,116.419998,3476400,113.194489
"2021-11-17",116.599998,117.620003,116.25,117.349998,4361500,114.098717
"2021-11-18",117.410004,118.370003,116.639999,117.07,3160300,113.826485
"2021-11-19",117.629997,117.800003,115.860001,116.239998,5885800,113.01947
"2021-11-22",115.949997,117.339996,115.010002,115.650002,3975800,112.445824
"2021-11-23",116.559998,119.330002,116.150002,118.879997,8948300,115.586334
"2021-11-24",118.68,119.239998,118.080002,118.660004,5792800,115.372437
"2021-11-26",117.610001,118.110001,115.830002,116.510002,5016700,113.281998
"2021-11-29",116.830002,117.919998,116.580002,116.889999,4372500,113.651474
"2021-11-30",116.68,116.790001,115.099998,115.279999,8172100,112.086082
"2021-12-01",115.779999,118.980003,115.610001,115.910004,6287500,112.698624
"2021-12-02",116.25,117.599998,115.599998,116.870003,4919800,113.632027
"2021-12-03",117.739998,119,117,118.849998,6428100,115.557167
