"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2021-04-08",60.990002,61.27,60.740002,60.950001,3236700,58.639324
"2021-04-09",61,61.200001,59.639999,60.130001,3895700,57.85041
"2021-04-12",60.259998,61.049999,60.25,60.970001,3445700,58.658566
"2021-04-13",60.919998,61.459999,60.68,60.68,3403000,58.379555
"2021-04-14",60.73,60.82,60.029999,60.610001,3329900,58.312214
"2021-04-15",60.77,61.209999,60.490002,60.549999,4159100,58.254486
"2021-04-16",60.830002,61.330002,60.529999,61.299999,9941800,58.976051
"2021-04-19",61.16,61.540001,60.619999,61.299999,4160100,58.976051
"2021-04-20",61.25,62.860001,61.130001,62.299999,5510900,59.938141
"2021-04-21",62.580002,63.169998,62.360001,62.759998,5046200,60.380699
"2021-04-22",62.650002,62.75,62,62.029999,3676400,59.678375
"2021-04-23",61.860001,62.110001,61.119999,61.259998,3117000,58.937569
"2021-04-26",61.349998,61.419998,60.439999,60.540001,4074200,58.244869
"2021-04-27",60.419998,60.75,60.139999,60.540001,3804100,58.244869
"2021-04-28",60.900002,61.34,60.529999,60.799999,2747700,58.495007
"2021-04-29",60.869999,61.66,60.799999,61.43,3489000,59.101124
"2021-04-30",61.52,61.619999,60.619999,60.860001,4829000,58.552734
"2021-05-03",60.860001,62.029999,60.860001,61.599998,3128400,59.264683
"2021-05-04",61.82,62.259998,61.330002,61.799999,3528500,59.457096
"2021-05-05",61.66,61.91,60.990002,61.830002,2877100,59.485966
"2021-05-06",62.5,64.239998,62.389999,63.639999,7476900,61.227341
"2021-05-07",63.349998,63.68,62.400002,63.049999,3574900,60.65971
"2021-05-10",63.18,64.139999,63.16,63.830002,2431600,61.410145
"2021-05-11",64.059998,64.300003,62.82,63.110001,3651800,60.71743
"2021-05-12",63.189999,63.639999,62.75,62.959999,3365600,60.573124
"2021-05-13",62.689999,64.650002,62.439999,63.98,5330900,61.554447
"2021-05-14",64.129997,64.650002,63.369999,63.400002,3233300,60.996441
"2021-05-17",63.099998,63.610001,62.540001,62.790001,4006400,60.409569
"2021-05-18",62.700001,63.169998,62.330002,62.93,3116100,60.544262
"2021-05-19",62.740002,63.040001,62.169998,62.599998,2743100,60.226768
"2021-05-20",62.700001,63.380001,62.389999,62.900002,3202100,60.515396
"2021-05-21",63.060001,63.880001,62.950001,63.130001,2701000,60.736675
"2021-05-24",63.279999,63.639999,63.040001,63.049999,1816300,60.65971
"2021-05-25",63.049999,63.200001,62.32,62.849998,2596100,60.467297
"2021-05-26",62.84,63.099998,62.639999,62.830002,2876800,60.448051
"2021-05-27",62.84,63.41,62.200001,62.279999,3535400,59.9189
"2021-05-28",62.450001,63.259998,62.419998,62.860001,2934400,60.476913
"2021-06-01",63.16,63.400002,62.470001,62.66,3239600,60.284496
"2021-06-02",62.799999,63.869999,62.57,63.490002,5019700,61.083031
"2021-06-03",63.439999,63.93,63.119999,63.799999,4176900,61.381275
"2021-06-04",63.799999,64.400002,63.709999,64.029999,4104500,61.602554
"2021-06-07",64.129997,64.18,63.330002,63.720001,3493200,61.304314
"2021-06-08",63.810001,63.880001,63.02,63.189999,2263100,60.794403
"2021-06-09",61.779999,63.060001,61.610001,62.119999,6910800,59.764969
"2021-06-10",62.139999,63,61.970001,62.57,2880700,60.19791
"2021-06-11",62.68,62.810001,62.060001,62.52,2602300,60.149807
"2021-06-14",62.400002,62.700001,61.950001,62.650002,2020300,60.274872
"2021-06-15",62.75,62.849998,62.07,62.139999,5381400,59.78421
"2021-06-16",62.369999,62.389999,61.110001,61.150002,3842600,58.831745
"2021-06-17",61.040001,61.349998,60.41,61.099998,3149200,58.783638
"2021-06-18",60.759998,60.959999,59.759998,59.759998,5416900,57.494434
"2021-06-21",60.150002,60.439999,59.779999,60.139999,2926400,57.860035
"2021-06-22",60.209999,60.48,60.009998,60.209999,3433000,57.92738
"2021-06-23",60.07,60.130001,59.200001,59.209999,3058900,56.965286
"2021-06-24",59.07,59.32,58.830002,59.150002,3121400,56.907562
"2021-06-25",59.029999,59.669998,58.959999,59.630001,3047400,57.369366
"2021-06-28",59.75,60.700001,59.720001,60.549999,4843300,58.254486
"2021-06-29",60.59,60.889999,59.77,60.029999,3715400,57.754204
"2021-06-30",59.950001,61.669998,59.91,60.93,7163600,58.620079
"2021-07-01",60.950001,61,60.110001,60.220001,3446700,57.936996
"2021-07-02",60.52,60.650002,60.110001,60.220001,3086200,57.936996
"2021-07-06",60.119999,60.389999,59.610001,59.84,4172500,57.571404
"2021-07-07",59.799999,60.759998,59.700001,60.389999,3793600,58.100552
"2021-07-08",59.849998,60.689999,59.459999,59.66,2755200,57.887093
"2021-07-09",59.639999,60.09,59.5,59.700001,3037300,57.9259
"2021-07-12",59.66,59.73,58.970001,59.27,2775700,57.508682
"2021-07-13",59.200001,59.75,58.98,59.130001,3538500,57.372841
"2021-07-14",58.849998,59.419998,58.540001,59.27,3681700,57.508682
"2021-07-15",59.279999,59.849998,58.959999,59.779999,2448700,58.003521
"2021-07-16",59.869999,60.139999,59.759998,60.049999,3324200,58.265503
"2021-07-19",60.009998,60.830002,59.529999,60.73,4381400,58.925293
"2021-07-20",60.990002,61.580002,59.880001,59.919998,4422300,58.139362
"2021-07-21",59.860001,59.959999,58.919998,58.990002,4272600,57.237003
"2021-07-22",58.779999,59.040001,58.43,58.799999,1934000,57.052647
"2021-07-23",58.830002,59.610001,58.560001,59.400002,2466400,57.634819
"2021-07-26",59.34,59.639999,59.209999,59.32,2171700,57.557198
"2021-07-27",59.360001,60.040001,59.130001,59.549999,2337600,57.780361
"2021-07-28",59.23,59.490002,58.66,58.82,2844500,57.072052
"2021-07-29",59.009998,59.310001,58.720001,58.91,2308000,57.159374
"2021-07-30",59.099998,59.349998,58.77,58.860001,3325600,57.110867
"2021-08-02",58.84,59.43,58.709999,59.369999,3720500,57.605705
"2021-08-03",59.369999,59.959999,59.130001,59.389999,2623900,57.625114
"2021-08-04",59.299999,59.299999,57.59,57.630001,4681100,55.917412
"2021-08-05",57.57,57.93,57.450001,57.580002,2899500,55.8689
"2021-08-06",57.599998,58.450001,57.599998,57.869999,3114100,56.15028
"2021-08-09",58.049999,58.41,57.93,58.349998,1958600,56.61602
"2021-08-10",58.23,58.560001,58.040001,58.490002,2677300,56.751858
"2021-08-11",58.66,59.360001,58.580002,59.049999,2435700,57.295219
"2021-08-12",58.970001,59.34,58.880001,58.950001,2047500,57.198193
"2021-08-13",59.200001,59.939999,59.040001,59.84,2206200,58.061741
"2021-08-16",59.919998,60.330002,59.810001,60.130001,2468400,58.343124
"2021-08-17",60.189999,61.009998,60.009998,60.860001,2880200,59.05143
"2021-08-18",60.68,60.73,59.23,59.279999,3578300,57.518383
"2021-08-19",59.299999,60.25,59.290001,60.130001,2620400,58.343124
"2021-08-20",60.330002,60.84,59.900002,60.299999,3151700,58.508072
"2021-08-23",60.169998,60.200001,59.549999,59.599998,2275900,57.828869
"2021-08-24",59.509998,59.509998,58.310001,58.419998,3016800,56.683941
"2021-08-25",58.23,58.389999,57.990002,58.16,2539200,56.431664
"2021-08-26",58.009998,58.029999,57.040001,57.299999,4820200,55.597221
"2021-08-27",57.209999,57.82,56.950001,57.73,2878100,56.014442
"2021-08-30",57.580002,58,57.43,57.580002,2605300,55.8689
"2021-08-31",57.639999,57.830002,57.32,57.810001,6098400,56.092068
"2021-09-01",57.919998,58.009998,57.310001,57.700001,2444700,55.985336
"2021-09-02",57.709999,58.380001,57.709999,57.919998,2579400,56.198795
"2021-09-03",57.959999,58.110001,57.540001,57.77,2270900,56.053253
"2021-09-07",57.580002,57.740002,56.669998,56.790001,3925200,55.102379
"2021-09-08",58,59.740002,57.93,59.380001,9179900,57.615414
"2021-09-09",59.009998,59.490002,58.439999,58.450001,5723500,56.713051
"2021-09-10",58.290001,58.799999,57.830002,58.43,3640700,56.693642
"2021-09-13",58.150002,58.799999,57.82,58.630001,6841400,56.887699
"2021-09-14",58.799999,59.23,58.599998,58.77,7179200,57.023537
"2021-09-15",58.720001,59.240002,58.610001,58.720001,2506100,56.975021
"2021-09-16",58.75,59.259998,58.25,58.720001,2533200,56.975021
"2021-09-17",58.509998,59.189999,58.299999,58.919998,6750500,57.169079
"2021-09-20",58.720001,59.209999,58.48,58.75,3643200,57.004131
"2021-09-21",58.139999,58.48,57.470001,58.009998,7307700,56.286121
"2021-09-22",59.790001,60.709999,58.700001,59.919998,5660300,58.139362
"2021-09-23",60.18,60.639999,59.650002,60.279999,5039800,58.488667
"2021-09-24",60.32,60.73,60.220001,60.540001,3154500,58.74094
"2021-09-27",60.57,60.919998,59.529999,59.650002,4018900,57.877388
"2021-09-28",59.810001,59.959999,58.849998,59.330002,3270100,57.566898
"2021-09-29",59.139999,61.25,59.139999,60.77,4632100,58.964104
"2021-09-30",60.869999,61.16,59.82,59.82,4064500,58.042332
"2021-10-01",60.810001,60.880001,59.900002,60.619999,4769200,58.818562
"2021-10-04",60.59,61.580002,60.5,61.450001,4943700,59.623898
"2021-10-05",61.43,61.77,61.080002,61.540001,4137000,59.711224
"2021-10-06",61.509998,62.189999,61.09,62.130001,3099900,60.283688
"2021-10-07",61.700001,61.77,61.139999,61.32,3872200,59.990192
"2021-10-08",61.360001,62.009998,61.080002,61.459999,2559900,60.127155
"2021-10-11",61.490002,62.099998,61.330002,61.689999,2879800,60.352169
"2021-10-12",61.84,62.77,61.639999,62.139999,4557300,60.792412
"2021-10-13",62.009998,62.349998,61.16,61.860001,3198600,60.518486
"2021-10-14",62.02,62.48,61.880001,62.360001,2608500,61.007641
"2021-10-15",62.48,62.619999,61.900002,62.16,6426100,60.811981
"2021-10-18",62.080002,62.23,61.5,61.52,3164200,60.18586
"2021-10-19",61.48,61.799999,61.259998,61.689999,1945300,60.352169
"2021-10-20",61.779999,62.900002,61.779999,62.709999,2645900,61.350048
"2021-10-21",62.84,62.900002,62.16,62.490002,2267700,61.134823
"2021-10-22",62.5,63.07,62.450001,62.68,2028900,61.320702
"2021-10-25",62.52,62.560001,61.700001,61.889999,3888400,60.547829
"2021-10-26",61.970001,62.32,61.889999,62.09,2600000,60.743496
