"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2021-03-29",77,78.849998,76,77.879997,21931700,74.573738
"2021-03-30",78.669998,80.040001,78.5,79.089996,12063000,75.732368
"2021-03-31",78.669998,79,77.650002,77.660004,12085500,74.363083
"2021-04-01",77.879997,78.279999,77.5,78.220001,13195600,74.899315
"2021-04-05",79.199997,79.309998,77.830002,78,10458800,74.688644
"2021-04-06",77.800003,79.110001,77.510002,79.089996,9445000,75.732368
"2021-04-07",79.040001,79.720001,78.449997,79.040001,8329300,75.684502
"2021-04-08",78.5,80.489998,78.160004,80.199997,9352700,76.795242
"2021-04-09",80.480003,80.730003,79.370003,80.720001,10693500,77.293182
"2021-04-12",80.949997,81.07,79.519997,80.18,8939700,76.7761
"2021-04-13",79.900002,80.029999,78.959999,79.529999,7085200,76.153694
"2021-04-14",79.610001,82.050003,79.300003,80.790001,10585500,77.360207
"2021-04-15",81.349998,81.410004,79.849998,80.82,9930800,77.388931
"2021-04-16",81,81.68,77.760002,78.589996,29086400,75.253593
"2021-04-19",78.300003,80.370003,78.110001,80.029999,15151000,76.632477
"2021-04-20",79.309998,79.629997,76.599998,77.290001,13052800,74.008781
"2021-04-21",76.730003,79.339996,76.25,79.25,11075900,75.885574
"2021-04-22",78.919998,79.5,78.150002,78.290001,9871700,74.966331
"2021-04-23",78.290001,81.300003,78.290001,80.949997,12002000,77.513412
"2021-04-26",81.809998,82.419998,81.379997,81.519997,8033500,78.059219
"2021-04-27",81.410004,82.050003,81.199997,81.959999,7057400,78.48053
"2021-04-28",82.400002,82.949997,82.07,82.730003,7228200,79.217857
"2021-04-29",83.199997,83.790001,82.129997,83.639999,9974800,80.429482
"2021-04-30",82.889999,83.279999,82.230003,82.550003,9298600,79.38131
"2021-05-03",83.110001,83.489998,82.300003,82.459999,6759000,79.294777
"2021-05-04",82.089996,82.830002,80.75,82.639999,8802700,79.467865
"2021-05-05",82.910004,84.839996,82.239998,84.510002,9424400,81.266083
"2021-05-06",84.93,86.910004,84.400002,86.830002,11887900,83.497025
"2021-05-07",85.480003,88.040001,85.339996,87.699997,9947600,84.333633
"2021-05-10",88.07,88.879997,86.43,86.470001,9344500,83.150856
"2021-05-11",85.059998,85.940002,83.839996,84.919998,10397800,81.660339
"2021-05-12",85.400002,86.190002,83.360001,83.68,12602200,80.467934
"2021-05-13",83.690002,85.650002,83.410004,84.860001,8639700,81.602646
"2021-05-14",85.610001,87.580002,85.610001,87.349998,7755900,83.997063
"2021-05-17",86.790001,88.120003,86.300003,88.089996,7157900,84.708656
"2021-05-18",88.230003,88.57,86.870003,86.970001,6631700,83.631645
"2021-05-19",85.309998,86.099998,84.32,86.050003,10165600,82.746979
"2021-05-20",86.18,87.029999,85.32,86.470001,7722100,83.150856
"2021-05-21",86.940002,88.779999,86.730003,88.339996,9326800,84.949066
"2021-05-24",88.709999,90.199997,88.32,89.690002,7788800,86.247246
"2021-05-25",90.279999,91.349998,88.739998,88.860001,10599600,85.449097
"2021-05-26",88.660004,89.849998,87.949997,89.349998,8665200,85.920296
