"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2021-09-17",62.130001,62.599998,60.900002,61.23,1620100,60.630455
"2021-09-20",60.459999,60.459999,58.849998,59.650002,1156000,59.065929
"2021-09-21",60.060001,60.240002,59.27,59.279999,704800,58.699547
"2021-09-22",60.07,60.240002,58.919998,59.740002,988800,59.155045
"2021-09-23",59.830002,60.5,59.380001,59.599998,848100,59.125278
"2021-09-24",59.389999,60.209999,59.18,60.009998,738600,59.532013
"2021-09-27",60.27,61.18,59.889999,60.73,1034600,60.246281
"2021-09-28",60.5,60.919998,58.689999,59.139999,895300,58.668945
"2021-09-29",59.119999,59.360001,58.360001,58.43,817900,57.964603
"2021-09-30",58.59,59.59,57.970001,58.049999,1428400,57.587627
"2021-10-01",58.450001,59.560001,57.830002,59.07,1147200,58.599503
"2021-10-04",58.810001,59.779999,57.48,57.630001,1104700,57.170979
"2021-10-05",57.869999,58.549999,57.43,57.580002,1381800,57.121376
"2021-10-06",57.07,57.529999,55.919998,57.459999,1042100,57.002331
"2021-10-07",58.029999,58.860001,57.880001,58,894600,57.538029
"2021-10-08",58.029999,58.610001,57.970001,58.029999,529500,57.567787
"2021-10-11",58.07,58.169998,57.16,57.169998,491700,56.714638
"2021-10-12",57.150002,57.540001,56.82,56.91,607100,56.456711
"2021-10-13",56.919998,57.389999,55.669998,56.23,851500,55.782127
"2021-10-14",56.689999,57.110001,56.189999,56.950001,913700,56.496391
"2021-10-15",57.459999,58.049999,57.189999,57.849998,1395000,57.389221
"2021-10-18",57.23,57.23,56.099998,56.32,1224000,55.871407
"2021-10-19",56.560001,57.560001,56.400002,57.549999,956300,57.09161
"2021-10-20",57.82,58.509998,57.5,58.169998,852100,57.706673
"2021-10-21",58.240002,58.310001,57.52,58.279999,717400,57.815796
"2021-10-22",58.41,58.549999,57.5,58.299999,670500,57.83564
"2021-10-25",58.299999,58.299999,57.009998,57.27,851600,56.813843
"2021-10-26",57.209999,57.459999,56.59,56.889999,951800,56.436867
"2021-10-27",56.84,56.84,55.720001,56.470001,1571400,56.020218
"2021-10-28",56.93,58.009998,56.68,57.27,1459800,56.813843
"2021-10-29",57.18,57.740002,56.759998,57.209999,1135300,56.754318
"2021-11-01",57.27,58.310001,57.25,58.119999,1112000,57.65707
"2021-11-02",58.759998,59.459999,57.959999,58.849998,1588900,58.381256
"2021-11-03",58.630001,59.259998,58.490002,59.220001,1407100,58.74831
"2021-11-04",58.310001,58.540001,54.689999,54.939999,3401000,54.502399
"2021-11-05",55.029999,56.610001,54.810001,55.810001,2829000,55.365471
"2021-11-08",55.869999,56.650002,55.43,55.98,1732000,55.534119
"2021-11-09",55.610001,56.18,55.330002,55.77,3715100,55.32579
"2021-11-10",55.889999,56.369999,55.650002,55.73,2235000,55.286106
"2021-11-11",55.849998,56.290001,54.310001,54.470001,2083400,54.036144
"2021-11-12",54.630001,55.290001,54.529999,54.93,2486900,54.492481
"2021-11-15",55.23,55.290001,54.66,54.959999,1542500,54.52224
"2021-11-16",55.169998,55.290001,54.43,54.700001,2271300,54.264313
"2021-11-17",54.490002,54.490002,53.869999,54.189999,2755700,53.758369
"2021-11-18",54.189999,54.360001,53.330002,53.57,2393800,53.143311
"2021-11-19",53.59,53.75,52.439999,52.689999,1196100,52.270321
"2021-11-22",52.639999,52.869999,51.970001,52.360001,1956900,51.942951
"2021-11-23",52.209999,52.360001,51.66,52.009998,1024600,51.595734
"2021-11-24",51.709999,52.279999,50.959999,51.259998,1163400,50.851711
"2021-11-26",50.509998,50.610001,49.209999,49.790001,1011600,49.393417
"2021-11-29",50.139999,50.27,48.560001,48.689999,3021800,48.302181
"2021-11-30",48.549999,49.330002,48.130001,48.740002,5485000,48.351788
"2021-12-01",49.259998,49.990002,48.27,48.310001,3642800,47.925209
"2021-12-02",48.580002,50.169998,48.330002,49.43,3351100,49.036285
"2021-12-03",50.59,51.369999,50.09,50.720001,3524000,50.316017
"2021-12-06",51.119999,52.470001,50.880001,51.52,1919300,51.109642
"2021-12-07",51.25,53.25,51.25,52.639999,2597300,52.220722
"2021-12-08",52.759998,53.439999,52.669998,53.189999,1387200,52.766338
"2021-12-09",52.810001,53.310001,52.43,53.060001,1459400,52.637379
"2021-12-10",53.060001,53.799999,52.43,53.290001,1880500,52.865543
"2021-12-13",52.98,53.669998,52.540001,53.43,1410200,53.004425
"2021-12-14",53.349998,54.279999,52.669998,53.139999,1900900,52.716736
"2021-12-15",53.09,54.029999,52.669998,54.009998,2438200,53.579803
"2021-12-16",54.240002,55,53.990002,54.16,2254600,53.728615
"2021-12-17",54.169998,54.5,53.200001,53.41,3339000,52.984589
"2021-12-20",52.849998,52.880001,51.860001,52.59,1893500,52.17112
"2021-12-21",53,54.02,52.75,52.970001,1770600,52.548092
"2021-12-22",52.970001,54.490002,52.970001,54.389999,1805200,53.956779
"2021-12-23",54.48,55.540001,54.330002,55.43,1314700,54.988499
"2021-12-27",55.540001,56.080002,55.299999,55.950001,1268500,55.504356
"2021-12-28",55.950001,56.48,55.82,56.029999,772100,55.583714
"2021-12-29",56.060001,56.880001,55.810001,56.650002,1112400,56.198784
"2021-12-30",56.560001,56.869999,56.130001,56.200001,1119100,55.860832
"2021-12-31",56.119999,56.5,55.759998,55.790001,578900,55.453308
"2022-01-03",55.73,56.91,55.290001,56.889999,1344400,56.546665
"2022-01-04",56.889999,57.68,56.75,57.18,1438200,56.834919
"2022-01-05",57.439999,57.939999,56.220001,56.259998,1264600,55.920467
"2022-01-06",56.419998,56.84,55.57,56.220001,1986600,55.880711
"2022-01-07",56.41,56.950001,56.040001,56.400002,1239100,56.059624
"2022-01-10",56.360001,56.759998,54.560001,55.450001,1500100,55.115356
