"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2021-07-30",47.799999,48.785,46.805,47.02,9100400,45.970078
"2021-08-02",47.450001,48.529999,46.709999,46.849998,4446800,45.803867
"2021-08-03",47.049999,47.209999,45.139999,47.119999,5024000,46.067841
"2021-08-04",46.619999,47.821999,46.369999,47.169998,3244900,46.116718
"2021-08-05",47.490002,48.395,47.490002,48.290001,4000400,47.21172
"2021-08-06",48.990002,49.895,48.904999,49.400002,4995300,48.296932
"2021-08-09",49.080002,49.395,48.380001,48.970001,4202200,47.876537
"2021-08-10",49,50.200001,48.84,50.130001,4313500,49.010632
"2021-08-11",50.27,51.27,49.639999,51.209999,3477500,50.066513
"2021-08-12",51.169998,51.790001,50.759998,51.619999,2837200,50.467354
"2021-08-13",51.779999,51.98,51.459999,51.810001,2542700,50.653118
"2021-08-16",51.189999,51.549999,50.73,51.459999,3663600,50.310932
"2021-08-17",50.93,51.220001,50.02,50.689999,3838600,49.558121
"2021-08-18",50.419998,51.049999,49.91,49.950001,4637800,48.834648
"2021-08-19",49.169998,49.779999,48.380001,49.009998,4825200,47.915638
"2021-08-20",49.009998,49.48,48.580002,49.200001,3765700,48.101395
"2021-08-23",49.630001,50.119999,49.52,49.709999,3486100,48.600006
"2021-08-24",49.990002,50.57,49.900002,50.209999,2758800,49.088844
"2021-08-25",50.330002,51.709999,50.240002,51.419998,3533700,50.271824
"2021-08-26",51.700001,51.700001,50.630001,50.77,3235900,49.636341
"2021-08-27",50.82,52.105,50.82,51.950001,3358400,50.789993
"2021-08-30",52.139999,52.139999,49.34,49.349998,7194900,48.248047
"2021-08-31",49.200001,50.095001,49.009998,49.75,6789800,48.639118
"2021-09-01",49.290001,49.455002,48.530998,48.59,6032900,47.505016
"2021-09-02",48.669998,48.974998,48.035,48.310001,4135000,47.23127
"2021-09-03",48.16,48.23,47.07,47.380001,5088300,46.322037
"2021-09-07",47.27,47.939999,46.634998,46.68,5115100,45.637665
"2021-09-08",46.490002,46.490002,45.23,45.68,5659800,44.659996
"2021-09-09",45.68,47.970001,45.509998,46.580002,10186500,45.539902
"2021-09-10",47.18,48.009998,46.709999,47.32,7052500,46.263378
"2021-09-13",47.790001,48.709999,47.57,48.689999,5573800,47.602779
"2021-09-14",48.759998,49.330002,47.395,47.68,4769100,46.615334
"2021-09-15",47.830002,48.654999,47.619999,48.240002,5012200,47.162834
"2021-09-16",48.57,49.59,48.310001,48.689999,5229600,47.602779
"2021-09-17",48.669998,49.459999,48.150002,48.439999,9820500,47.358364
"2021-09-20",46.82,47.5,46.310001,47.279999,5058700,46.224266
"2021-09-21",47.700001,48,47.169998,47.529999,4423400,46.468685
"2021-09-22",48.310001,48.869999,48.161999,48.349998,4153400,47.270374
"2021-09-23",49.049999,50.380001,48.900002,49.84,4130500,48.727104
"2021-09-24",49.549999,50.68,49.529999,50.23,3901100,49.108398
"2021-09-27",50.610001,51.959999,50.580002,51.720001,3896500,50.565128
"2021-09-28",51.549999,52.200001,50.549999,50.669998,4357800,49.538567
"2021-09-29",51.040001,51.110001,50.32,50.540001,2499600,49.411476
"2021-09-30",50.810001,50.849998,48.779999,48.880001,6099500,47.788544
"2021-10-01",49,50.200001,48.73,49.91,4798600,48.79554
"2021-10-04",49.939999,50.82,49.544998,49.619999,4884400,48.512016
"2021-10-05",50.169998,50.474998,49.549999,50.16,3889300,49.039959
"2021-10-06",49.779999,50.459999,48.740002,49.849998,4070700,48.736881
"2021-10-07",50.5,50.77,49.549999,49.619999,5279500,48.512016
"2021-10-08",49.720001,50.450001,49.275002,49.950001,3232500,48.834648
