"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2021-10-11",264.799988,267.970001,264.070007,264.440002,1356100,261.042755
"2021-10-12",263.670013,264.589996,260.720001,261.070007,1091700,257.716064
"2021-10-13",261.100006,264,258.890015,262.25,929000,258.88089
"2021-10-14",264.529999,270.160004,263.470001,269.829987,1328700,266.363495
"2021-10-15",271.589996,277.170013,270.679993,275.579987,1135600,272.039642
"2021-10-18",274.190002,276.470001,273.130005,275.75,742500,272.207428
"2021-10-19",277.809998,277.809998,274.290009,274.980011,938600,271.447388
"2021-10-20",275,280.01001,274.230011,279.26001,844900,275.672394
"2021-10-21",281.98999,286.690002,281.959991,282.799988,1352300,279.16687
"2021-10-22",282.799988,288.850006,282.450012,286.540009,1110400,282.858856
"2021-10-25",286.859985,290.519989,285.940002,287.329987,1250000,283.638672
"2021-10-26",288.679993,290.01001,286.359985,286.73999,1244300,283.056244
"2021-10-27",290.170013,293.609985,287.049988,287.059998,1520400,283.372131
"2021-10-28",290.130005,293.579987,290.049988,293.170013,1366000,289.403656
"2021-10-29",291.399994,296.059998,290.869995,293.049988,984000,289.285217
"2021-11-01",293.369995,294.309998,286.040009,288.690002,893900,284.981232
"2021-11-02",287.859985,288.98999,285.320007,286.019989,1468400,282.34552
"2021-11-03",285.670013,287.950012,282.959991,287.619995,666400,283.924957
"2021-11-04",287.230011,287.519989,283.579987,284.549988,698100,281.962952
"2021-11-05",286.950012,288.690002,283.73999,283.899994,1269500,281.318848
"2021-11-08",285.660004,285.660004,282.73999,284.640015,583900,282.052185
"2021-11-09",284.290009,285.630005,282.070007,284.600006,1040800,282.012512
"2021-11-10",284.600006,285.73999,281,281.709991,694900,279.148773
"2021-11-11",280.040009,280.040009,274.5,275.910004,1375800,273.40152
"2021-11-12",276,278,274.630005,275.589996,1298300,273.084412
"2021-11-15",277.5,277.929993,274.540009,275.399994,936500,272.896149
"2021-11-16",275,278.23999,273.890015,273.970001,893900,271.479156
"2021-11-17",273.970001,276.929993,272.609985,274.600006,1114700,272.103424
"2021-11-18",275.140015,277.820007,273.769989,275.820007,818900,273.312347
"2021-11-19",276.079987,276.079987,272.589996,273.720001,957800,271.231415
"2021-11-22",274.339996,279.630005,273.980011,277.059998,803700,274.541046
"2021-11-23",276.670013,279.859985,274.679993,279.730011,1534500,277.186798
"2021-11-24",277.709991,279.970001,277.029999,277.779999,810400,275.254517
"2021-11-26",271.25,271.839996,266.850006,269.649994,973500,267.198425
"2021-11-29",272.429993,272.899994,268.579987,268.73999,1129600,266.296692
"2021-11-30",266.290009,269.230011,264.600006,265.269989,1720300,262.858215
"2021-12-01",268.899994,277.76001,267.700012,269.059998,2017900,266.6138
