"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2021-12-22",59.049999,60.080002,58.720001,59.790001,2919200,59.790001
"2021-12-23",60,61.84,59.93,61.200001,3659000,61.200001
"2021-12-27",61.560001,62.540001,61.450001,62.09,1856200,62.09
"2021-12-28",62.209999,62.939999,61.869999,62.84,2289500,62.84
"2021-12-29",64.389999,67.239998,64.300003,66.129997,8998700,66.129997
"2021-12-30",65.360001,66.610001,65.190002,65.370003,2252100,65.370003
"2021-12-31",65.330002,66.099998,65.169998,65.209999,1857500,65.209999
"2022-01-03",65.75,66.370003,65.040001,65.93,2947100,65.93
"2022-01-04",66.199997,67.900002,65.919998,67.620003,3753000,67.620003
"2022-01-05",67.610001,69.360001,67.059998,67.059998,5915900,67.059998
"2022-01-06",67.309998,68.480003,64.519997,64.739998,7513300,64.739998
"2022-01-07",64.660004,66.230003,64.519997,65.830002,3841400,65.830002
"2022-01-10",65.360001,65.959999,63.689999,65.540001,3078900,65.540001
"2022-01-11",65.5,66.120003,64.239998,66.019997,3635800,66.019997
"2022-01-12",66.550003,67.449997,65.610001,66.540001,2154700,66.540001
"2022-01-13",66.949997,67.760002,66.150002,66.510002,2624200,66.510002
"2022-01-14",66.110001,67.43,65.959999,66.639999,2161000,66.639999
"2022-01-18",65.849998,65.889999,63.830002,64.120003,3079600,64.120003
"2022-01-19",64.809998,66.099998,61.869999,61.939999,3766900,61.939999
"2022-01-20",62.470001,62.59,59.77,59.919998,3824000,59.919998
"2022-01-21",59.34,59.779999,57.52,57.810001,5086500,57.810001
"2022-01-24",57.349998,57.470001,53.880001,57.02,4864900,57.02
"2022-01-25",55.560001,56.07,53.98,55.09,5215000,55.09
"2022-01-26",56.529999,56.540001,54.150002,54.580002,4579300,54.580002
"2022-01-27",56.580002,57.48,53.43,53.84,10209300,53.84
"2022-01-28",49.09,52.040001,48.619999,49.900002,19932900,49.900002
"2022-01-31",49.509998,52.099998,49.369999,51.740002,6532400,51.740002
"2022-02-01",51.380001,52.779999,50.549999,52.57,4508600,52.57
"2022-02-02",52.57,53.599998,52,53.439999,4210100,53.439999
"2022-02-03",52.560001,53.59,52.240002,52.290001,5104500,52.290001
"2022-02-04",51.990002,52.5,50.860001,51.810001,3369100,51.810001
"2022-02-07",51.959999,52.349998,51.34,51.849998,3161700,51.849998
"2022-02-08",51.630001,52.650002,51.59,52.369999,2763100,52.369999
"2022-02-09",52.91,54.529999,52.82,54.48,3151200,54.48
"2022-02-10",53.540001,56.93,53.439999,54.09,6240100,54.09
"2022-02-11",53.950001,55.529999,53.48,53.73,4462100,53.73
"2022-02-14",53.77,54.509998,52.52,52.860001,3543300,52.860001
