"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"2021-10-15",86.989998,87.459999,86.419998,86.889999,1746400,84.44342
"2021-10-18",85.849998,86.800003,85.449997,85.779999,1965700,83.364685
"2021-10-19",86.449997,86.529999,85.550003,86.5,1247800,84.064407
"2021-10-20",86,87.040001,85.75,86.93,1560400,84.482315
"2021-10-21",86.470001,86.830002,85.760002,86.739998,1590600,84.297646
"2021-10-22",87,87.720001,86.75,87,897800,84.550331
"2021-10-25",87.379997,87.379997,86.470001,87.230003,1960700,84.773857
"2021-10-26",84.809998,88.599998,84.599998,86.879997,3746900,84.433708
"2021-10-27",86.849998,86.849998,83.830002,85.769997,2389700,83.354958
"2021-10-28",88.32,89.610001,86.580002,89.400002,2092100,86.882759
"2021-10-29",89.190002,90.389999,89.129997,89.620003,1709700,87.096558
"2021-11-01",89.720001,91.959999,89.699997,91.089996,1530100,88.525162
"2021-11-02",90.860001,91.879997,90.230003,91.660004,1802100,89.079124
"2021-11-03",91.209999,91.389999,90.160004,90.510002,1250500,87.961502
"2021-11-04",90.419998,90.959999,89.199997,89.580002,1640300,87.057686
"2021-11-05",90.300003,90.970001,89.800003,90,1573500,87.465851
"2021-11-08",91.239998,91.550003,88.010002,88.93,1803800,86.425987
"2021-11-09",88.800003,89.540001,87.989998,88.019997,1803300,85.541611
"2021-11-10",87.68,89.660004,87.519997,89.459999,2371800,86.941063
"2021-11-11",89.32,90.43,89.010002,89.940002,967600,87.407562
"2021-11-12",90.129997,90.379997,89.25,89.839996,911100,87.310364
"2021-11-15",89.650002,89.989998,88.980003,89.25,1075000,87.066483
"2021-11-16",89.43,90.370003,89.269997,89.440002,1614900,87.251831
"2021-11-17",89.07,89.330002,88.18,88.989998,1045200,86.812836
"2021-11-18",88.82,88.830002,86.800003,86.980003,1425900,84.85202
"2021-11-19",86.860001,86.940002,85.440002,86.370003,1578200,84.256943
"2021-11-22",86.32,90.139999,85.900002,88.809998,3428000,86.637238
"2021-11-23",88.519997,90.139999,88.370003,89.940002,1650000,87.739609
"2021-11-24",89.879997,90.129997,88.360001,88.720001,1126900,86.549446
"2021-11-26",86.919998,87.209999,85.910004,86.540001,1020600,84.422775
"2021-11-29",86.980003,87.019997,85.449997,86.120003,1515700,84.013054
"2021-11-30",85.599998,86,82.839996,83.419998,2524400,81.379112
"2021-12-01",84.919998,85.529999,82.349998,82.449997,2076000,80.432838
"2021-12-02",83.230003,84.389999,82.989998,83.959999,1945900,81.905907
"2021-12-03",84.970001,86.389999,84.900002,85.669998,2280500,83.574066
"2021-12-06",86.300003,88.32,86.080002,87.610001,1876000,85.466606
"2021-12-07",88.059998,88.730003,87.330002,87.610001,1850700,85.466606
"2021-12-08",87.629997,89.160004,87.629997,88.910004,1714000,86.734795
"2021-12-09",88.080002,89.360001,88.080002,88.610001,1240600,86.442146
"2021-12-10",89.5,90.129997,88.849998,89.139999,1559400,86.959175
"2021-12-13",89.040001,89.269997,87.620003,88.349998,1949200,86.188499
"2021-12-14",88.300003,90.120003,87.949997,88.169998,1482100,86.012894
"2021-12-15",88.190002,88.889999,86.800003,88.089996,2358900,85.93486
"2021-12-16",87.489998,87.769997,85.639999,85.910004,2624100,85.260002
"2021-12-17",85.25,85.440002,82.559998,83.5,5195900,82.86824
"2021-12-20",82.260002,83.449997,81.050003,82.120003,2621600,81.49868
"2021-12-21",82.93,84.089996,82.559998,83.379997,2096300,82.749146
"2021-12-22",84.239998,84.910004,83.690002,84.260002,1389700,83.62249
"2021-12-23",84.43,85.699997,84.279999,84.949997,1267500,84.307266
"2021-12-27",85.339996,85.889999,84.639999,85.800003,798100,85.150833
"2021-12-28",85.669998,87,85.540001,86.900002,803000,86.242516
"2021-12-29",86.93,87.82,86.599998,87.629997,781900,86.966988
"2021-12-30",87.779999,88.010002,87.379997,87.419998,638500,86.758583
