"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2021-10-13",56.779999,56.779999,55.470001,56.16,633600,55.985149
"2021-10-14",56.720001,57.119999,56.360001,57.09,380800,56.912254
"2021-10-15",57.73,57.939999,57.349998,57.619999,488400,57.440605
"2021-10-18",57.23,57.490002,56.880001,57.07,349900,56.892315
"2021-10-19",57.549999,57.57,57.209999,57.470001,414700,57.291073
"2021-10-20",57.299999,58.110001,57.220001,58.080002,405800,57.899174
"2021-10-21",57.73,58.099998,57.09,57.5,432500,57.32098
"2021-10-22",57.759998,57.950001,57.23,57.560001,395600,57.380791
"2021-10-25",57.669998,57.77,57.110001,57.66,500100,57.480476
"2021-10-26",57.740002,57.779999,57.290001,57.310001,319300,57.131573
"2021-10-27",57,57.220001,55.560001,55.59,548000,55.416924
"2021-10-28",55.759998,56.419998,55.720001,56.41,435700,56.234371
"2021-10-29",56.439999,56.720001,55.860001,56.07,573000,55.895428
"2021-11-01",56.419998,57.560001,55.970001,57.099998,878000,56.922222
"2021-11-02",57.169998,57.720001,56.75,57.389999,915600,57.211319
"2021-11-03",57.169998,58.029999,57.169998,57.389999,777600,57.211319
"2021-11-04",57.23,57.23,56.23,56.66,743200,56.483593
"2021-11-05",57.490002,57.84,56.880001,57.220001,707100,57.041851
"2021-11-08",57.73,59.189999,57.700001,58.02,1019600,57.839363
"2021-11-09",57.599998,58.130001,57.360001,57.66,584300,57.480476
"2021-11-10",57.779999,58.07,56.799999,57.220001,876000,57.041851
"2021-11-11",57.130001,57.73,56.98,57.560001,630600,57.380791
"2021-11-12",57.540001,57.540001,56.529999,57.040001,557000,56.862411
"2021-11-15",57.279999,57.279999,56.110001,56.23,596100,56.054932
"2021-11-16",56.439999,56.889999,56.18,56.48,941000,56.30415
"2021-11-17",56.619999,57.400002,56.43,57.169998,762600,56.992004
"2021-11-18",57.119999,57.619999,56.27,56.689999,730400,56.513496
"2021-11-19",56.169998,56.259998,54.82,55.630001,957300,55.456799
"2021-11-22",55.610001,57.259998,55.610001,56.700001,920500,56.523468
"2021-11-23",57.060001,57.75,56.93,57.400002,722400,57.284939
"2021-11-24",57.259998,57.389999,56.700001,56.849998,889500,56.736038
"2021-11-26",54.860001,55.630001,54.25,55.07,888700,54.95961
"2021-11-29",55.580002,55.68,54.619999,55.110001,1077300,54.999527
"2021-11-30",54.43,55.02,53.25,53.459999,2767500,53.352837
"2021-12-01",54.43,55.220001,53.389999,53.43,1305700,53.322895
"2021-12-02",53.919998,55.599998,53.59,55.07,959500,54.95961
"2021-12-03",55.099998,55.57,54.57,54.869999,988200,54.760006
"2021-12-06",55.939999,56.810001,55.880001,56.220001,833100,56.107304
"2021-12-07",56.5,57.119999,56.380001,56.849998,880800,56.736038
"2021-12-08",56.900002,57.25,56.630001,56.790001,666400,56.676163
"2021-12-09",56.400002,57.150002,56.220001,56.639999,791400,56.526459
"2021-12-10",57.060001,57.18,56.700001,57.099998,620300,56.985538
"2021-12-13",56.849998,57.139999,56,56.77,656000,56.6562
"2021-12-14",56.84,57.560001,56.619999,56.709999,917300,56.596317
"2021-12-15",56.970001,57.389999,56.779999,57.080002,816000,56.96558
"2021-12-16",57.599998,58.299999,57.470001,57.91,660400,57.793915
"2021-12-17",57.740002,57.740002,56.700001,56.779999,2051400,56.66618
"2021-12-20",56.049999,56.150002,55.119999,55.580002,952700,55.468586
"2021-12-21",56.259998,57.25,56.16,56.759998,583800,56.646217
"2021-12-22",56.540001,56.860001,56.240002,56.759998,496100,56.646217
"2021-12-23",57.02,57.509998,56.75,57.02,460800,56.905697
"2021-12-27",56.98,57.759998,56.810001,57.720001,339700,57.604298
"2021-12-28",57.59,58.470001,57.59,58.189999,360200,58.073353
"2021-12-29",58.310001,58.490002,58.07,58.169998,333500,58.053391
"2021-12-30",58.259998,58.389999,57.709999,57.779999,407100,57.664177
"2021-12-31",57.650002,58.169998,57.43,57.759998,604200,57.644215
"2022-01-03",58.099998,58.560001,57.98,58.099998,410100,57.983532
"2022-01-04",58.68,59.75,58.68,59.389999,606500,59.27095
"2022-01-05",59.709999,59.900002,58.639999,58.779999,669500,58.66217
"2022-01-06",59.639999,59.790001,59.099998,59.360001,568700,59.241009
"2022-01-07",59.43,60.889999,59.110001,60.779999,865700,60.658161
"2022-01-10",60.900002,61.16,60.080002,60.73,561700,60.608261
"2022-01-11",60.939999,61.18,60.049999,61.130001,629100,61.007462
"2022-01-12",61.049999,61.389999,60.830002,61.18,466000,61.057362
