"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2021-11-22",386.779999,391.5,384.279999,384.570007,594300,382.768585
"2021-11-23",383.660004,387.170013,378.410004,386.609985,374000,384.799011
"2021-11-24",384.75,393.230011,384.350006,392.51001,407200,390.671387
"2021-11-26",386.880005,391.470001,382.51001,384.089996,544700,382.290802
"2021-11-29",389.899994,399.709991,387.630005,397.269989,1197300,395.409088
"2021-11-30",394.410004,398.890015,389.170013,390.640015,1333000,388.81012
"2021-12-01",394.619995,395.959991,380,380.269989,877200,378.488708
"2021-12-02",380.76001,390.869995,380.359985,389.149994,872200,387.327087
"2021-12-03",392.980011,395.079987,379.589996,384.779999,846200,382.97757
"2021-12-06",387.049988,388.529999,380.01001,385.410004,662200,383.604645
"2021-12-07",393.48999,400.619995,393.48999,398.399994,641800,396.533783
"2021-12-08",398.630005,400.26001,395.76001,398.059998,570800,396.195374
"2021-12-09",398.299988,400.390015,393.299988,393.399994,553500,391.55719
"2021-12-10",395.540009,398,393.390015,397.75,346400,395.88681
"2021-12-13",398.040009,400.179993,396.459991,398.799988,718700,396.931885
"2021-12-14",396.51001,399.029999,387.769989,391.940002,595100,390.104034
"2021-12-15",393.309998,398.109985,389.359985,397.730011,457300,395.866943
"2021-12-16",399.779999,400.730011,391.910004,395.920013,770300,394.06543
"2021-12-17",394.179993,398.799988,390.25,393.640015,1016300,391.796082
"2021-12-20",388.529999,389.380005,382.600006,386.940002,488300,385.127472
"2021-12-21",390.410004,392.519989,387.170013,391.279999,428700,389.447144
"2021-12-22",391.410004,395.279999,390.779999,394.970001,394300,393.119873
"2021-12-23",396.880005,399.829987,396.070007,397.26001,304500,395.399109
"2021-12-27",398.970001,399.660004,395.929993,399.470001,501300,397.598785
"2021-12-28",401.5,403.730011,398.200012,399.420013,320700,397.549042
"2021-12-29",399.399994,401.48999,397.390015,398.059998,355300,396.195374
"2021-12-30",398.869995,399.359985,390.450012,391.059998,463300,389.228149
"2021-12-31",390.700012,391.869995,388.540009,390.579987,496900,388.750397
"2022-01-03",391.73999,392.529999,380.559998,383.589996,639300,381.793152
"2022-01-04",385.440002,388.01001,382.089996,386.269989,528600,384.460602
"2022-01-05",386.670013,388.230011,377,377.049988,559500,375.283783
"2022-01-06",375.320007,376.769989,368.269989,374.619995,853600,372.865173
"2022-01-07",374.339996,375.079987,370.630005,372.399994,504500,370.655548
