"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2021-09-29",89.730003,91.989998,89.730003,91.139999,2531300,89.472466
"2021-09-30",91.510002,92.019997,90.349998,90.389999,2472900,88.736183
"2021-10-01",90.699997,91.639999,89.68,90.940002,2685800,89.276123
"2021-10-04",90.900002,91.5,89.919998,90.309998,2831100,88.657639
"2021-10-05",90.949997,91.660004,90.480003,91.260002,2973300,89.590271
"2021-10-06",91.010002,92.400002,90.68,92.269997,2269700,90.681152
"2021-10-07",92.660004,93.330002,91.07,91.139999,3075200,89.570602
"2021-10-08",91.25,91.739998,90.32,90.93,2023600,89.364227
"2021-10-11",91.07,92.43,91.07,91.199997,1842000,89.629578
"2021-10-12",91.209999,91.449997,89.970001,90.519997,2356700,88.961281
"2021-10-13",90.43,90.93,89.5,90.82,1887800,89.256126
"2021-10-14",90.25,91.18,89.349998,90.010002,3635000,88.460068
"2021-10-15",90.529999,92.269997,89.879997,91.25,3179700,89.678719
"2021-10-18",90.989998,91.050003,89.940002,90.339996,2419400,88.784386
"2021-10-19",90.879997,92.730003,90.599998,92.620003,2674000,91.025131
"2021-10-20",92.93,94.540001,92.82,94.5,2562100,92.872749
"2021-10-21",94.709999,94.790001,93.300003,94.629997,3149800,93.000519
"2021-10-22",94.889999,96.489998,94.68,95.620003,2542800,93.973473
"2021-10-25",95.629997,96.650002,95.209999,96.349998,2235500,94.690887
"2021-10-26",96.410004,96.900002,96.139999,96.25,1989700,94.592621
"2021-10-27",96.519997,96.519997,94.199997,94.300003,1739300,92.676201
"2021-10-28",94.550003,95.82,94.419998,95.690002,1315000,94.042267
"2021-10-29",95.889999,95.989998,94.669998,94.879997,2128200,93.246201
"2021-11-01",94.839996,95.089996,93.080002,94.699997,1945400,93.069313
"2021-11-02",94.919998,94.940002,94.209999,94.620003,2053900,92.990692
"2021-11-03",94.480003,95.5,93.809998,95.150002,2139700,93.511559
"2021-11-04",94.720001,95.970001,94.129997,94.57,3018400,92.941544
"2021-11-05",94.860001,96.68,94.589996,95.839996,2170200,94.189674
"2021-11-08",95.940002,96.610001,95.540001,96.410004,2074400,94.74987
"2021-11-09",96.010002,96.360001,94.730003,95.449997,2807900,93.806389
"2021-11-10",95.5,96.25,95.239998,95.709999,1694000,94.06192
"2021-11-11",95.110001,96.110001,94.889999,95.860001,1566900,94.209335
"2021-11-12",96.019997,96.440002,95.300003,96.169998,1778900,94.514
"2021-11-15",96.449997,96.489998,93.709999,93.980003,2304200,92.36171
"2021-11-16",94.099998,95.080002,93.830002,93.879997,2256200,92.263428
"2021-11-17",93.620003,94.139999,90.699997,90.730003,4601700,89.167679
"2021-11-18",90.510002,91.779999,89.860001,90.720001,2663500,89.157845
