"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-06-21",215.220001,221.399994,214.669998,220.529999,629700,215.011749
"2021-06-22",220.229996,221.100006,217.729996,219.779999,515700,214.280518
"2021-06-23",220.119995,221.160004,217.860001,219.220001,476700,213.734528
"2021-06-24",220.419998,222.5,219.029999,221.279999,381100,215.742996
"2021-06-25",222.259995,223.529999,221.300003,221.820007,458200,216.269485
"2021-06-28",222.259995,222.350006,217.139999,219.070007,604700,213.588303
"2021-06-29",219.429993,221.360001,219.089996,219.240005,305000,213.754059
"2021-06-30",219.610001,224.130005,219.309998,223.429993,542700,217.839188
"2021-07-01",225,225.509995,222.240005,223.419998,407800,217.829437
"2021-07-02",224.479996,224.550003,222.080002,223.910004,360100,218.307205
"2021-07-06",223.089996,224.270004,219.320007,222.479996,401700,216.912964
"2021-07-07",221.389999,226.770004,221.389999,226.110001,372400,220.452133
"2021-07-08",223.360001,225.720001,221.710007,223.75,519800,218.151184
"2021-07-09",228.130005,228.990005,226.259995,227.649994,321300,221.953583
"2021-07-12",226,228.240005,225.169998,227.070007,309300,221.388123
"2021-07-13",226.699997,226.990005,222.940002,223.509995,233000,217.917191
"2021-07-14",223.550003,225.619995,223.199997,224.949997,228800,219.321152
"2021-07-15",225,226.279999,222.240005,223.619995,523800,218.024445
"2021-07-16",224.600006,225.800003,219.089996,219.800003,364500,214.300034
"2021-07-19",218.479996,218.619995,213.740005,216.369995,371300,210.955841
"2021-07-20",216.619995,224.110001,216.619995,223.259995,524300,217.673431
"2021-07-21",225.160004,227.320007,221.589996,224.029999,562100,218.424179
"2021-07-22",224.029999,226.539993,219.899994,221.580002,631900,216.035477
"2021-07-23",223.029999,227.050003,221.820007,224.589996,478500,218.970169
"2021-07-26",225.039993,226.660004,219.820007,220.130005,533400,214.621765
"2021-07-27",219.050003,221.360001,216.289993,220.440002,519100,214.923996
"2021-07-28",222.210007,223.660004,218.550003,220.289993,357400,214.777756
"2021-07-29",222.279999,222.820007,219.830002,221.029999,290000,215.499237
"2021-07-30",220.649994,222.869995,217.130005,217.979996,362600,212.525574
"2021-08-02",219.399994,223.820007,218.429993,219.220001,364200,213.734528
