"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2021-12-07",85.389999,86.959999,85.059998,86.529999,1202500,85.415558
"2021-12-08",86.75,87.5,86.349998,86.790001,1052600,85.672211
"2021-12-09",86.809998,87.239998,86.230003,86.699997,1164100,85.583374
"2021-12-10",87.050003,87.779999,86.709999,87.239998,756500,86.116417
"2021-12-13",87.290001,88.449997,87.18,87.959999,940400,86.827148
"2021-12-14",88.150002,88.339996,87.110001,87.190002,1521300,86.067062
"2021-12-15",87.639999,88.449997,87.449997,88.43,1282900,87.291092
"2021-12-16",88.269997,89.400002,88.089996,88.660004,1442800,87.518135
"2021-12-17",88.400002,88.699997,86.080002,86.410004,2589200,85.297112
"2021-12-20",85.830002,86.610001,84.870003,86.400002,1503300,85.287239
"2021-12-21",86.82,87.75,86.230003,87.18,2172300,86.057198
"2021-12-22",86.970001,87.410004,86.5,87.059998,1054800,85.938736
"2021-12-23",87.059998,87.800003,86.839996,87.019997,922200,85.899246
"2021-12-27",87.199997,87.57,86.839996,87.550003,909300,86.422424
"2021-12-28",87.440002,88.440002,87.440002,88.419998,780500,87.281219
"2021-12-29",88.050003,89.089996,88.050003,88.910004,1112800,87.764915
"2021-12-30",89.050003,89.449997,88.599998,89.059998,921200,87.912979
"2021-12-31",88.949997,89.459999,88.440002,89.010002,726100,87.863625
"2022-01-03",89.25,89.25,87.389999,88.580002,1134800,87.439163
"2022-01-04",88.559998,89.449997,88,88.110001,996900,86.975212
