"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2021-10-25",503.230011,517.02002,502.119995,508.619995,182500,505.653229
"2021-10-26",509.859985,510.269989,499.25,503.619995,227200,500.682404
"2021-10-27",503.329987,508.929993,499.059998,499.779999,150700,496.864777
"2021-10-28",501,514.119995,501,506.640015,162600,503.684784
"2021-10-29",505.200012,519.01001,505.200012,515.159973,206900,512.155029
"2021-11-01",516.01001,520.109985,510.059998,514.950012,212100,511.94635
"2021-11-02",517.890015,521.51001,512.150024,515.409973,235600,512.403564
"2021-11-03",516.940002,519,509.230011,516.429993,236300,513.417603
"2021-11-04",519.97998,524.27002,518.090027,522.169983,155500,519.124207
"2021-11-05",524.150024,528.75,516.809998,517.969971,175300,514.948669
"2021-11-08",521.630005,521.630005,515.039978,520.580017,167900,517.543457
"2021-11-09",519.960022,528.179993,515.890015,526.309998,199900,524.045349
"2021-11-10",524.340027,529.090027,519.570007,526.52002,246300,524.254456
"2021-11-11",532.72998,554.890015,532.72998,553.919983,399200,551.53656
"2021-11-12",555.169983,572.309998,550.640015,571.280029,270200,568.821899
"2021-11-15",568.679993,577.659973,567.51001,569.880005,211900,567.427856
"2021-11-16",568.27002,581.75,568.27002,573.72998,279300,571.261292
"2021-11-17",575.369995,578.929993,567.23999,573,189700,570.534485
"2021-11-18",573.909973,580.02002,573,577.849976,164000,575.363525
"2021-11-19",581.820007,582.27002,576.380005,577,203200,574.517273
"2021-11-22",577,579.130005,557.539978,559.219971,238100,556.813721
"2021-11-23",557.309998,563.210022,554.409973,561.570007,200400,559.153687
"2021-11-24",559.26001,570.130005,557.869995,568.460022,129200,566.014038
"2021-11-26",566.380005,570,557.390015,559.190002,88900,556.783875
"2021-11-29",564.380005,569.570007,555.969971,560.099976,180800,557.689941
"2021-11-30",556.97998,562.330017,545.960022,554.119995,487000,551.735657
"2021-12-01",560.01001,572.76001,551.640015,552.219971,313500,549.843811
"2021-12-02",553.179993,559.950012,550.98999,556.700012,204600,554.304626
"2021-12-03",557.72998,557.72998,538.409973,544.840027,213900,542.495667
"2021-12-06",549.02002,549.630005,537.5,547.950012,229100,545.592224
"2021-12-07",555.150024,564.169983,550.880005,563.169983,219100,560.746765
"2021-12-08",563.5,566.039978,552.530029,564.77002,158300,562.339905
"2021-12-09",564.77002,566.059998,547.640015,549.390015,166000,547.026062
"2021-12-10",552.960022,567.75,552.590027,562.669983,205000,560.248901
"2021-12-13",561.77002,566.159973,556.039978,562.200012,209200,559.780945
"2021-12-14",556.97998,561.400024,553,558.700012,287300,556.296021
"2021-12-15",559.080017,568.409973,550.590027,567.549988,424300,565.107849
"2021-12-16",570.109985,571.450012,542.02002,551.559998,348100,549.186707
"2021-12-17",551.630005,553.320007,536.25,540.640015,604900,538.31366
"2021-12-20",536.159973,540.679993,522.460022,538.27002,440800,535.953918
"2021-12-21",543.73999,547.210022,529.869995,541.460022,404300,539.130188
"2021-12-22",543.799988,549.590027,539.039978,549.130005,221200,546.767212
"2021-12-23",546.48999,558.150024,546.48999,549.650024,246600,547.284973
"2021-12-27",553,561.51001,547.960022,560.909973,327900,558.49646
"2021-12-28",562.51001,565.580017,550.109985,561.210022,264600,558.795227
"2021-12-29",563.73999,569,558.789978,567.630005,180500,565.187561
"2021-12-30",566.640015,569.460022,552.869995,560.809998,208500,558.396912
"2021-12-31",560.809998,569.210022,557.47998,566,145000,563.564575
"2022-01-03",566,566,540.23999,550.25,286000,547.882324
"2022-01-04",552.140015,555.640015,546.809998,549.890015,200800,547.523926
"2022-01-05",546.030029,551.76001,528.210022,529.380005,278400,527.102173
"2022-01-06",524.419983,532.76001,510.76001,520.52002,280900,518.280273
"2022-01-07",517.820007,519.469971,502.190002,503.170013,316000,501.004944
"2022-01-10",497.029999,497.25,485.290009,496.309998,544400,494.174438
"2022-01-11",496.309998,505.820007,488.440002,502.059998,386100,499.899689
