"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2021-12-22",89.230003,89.769997,89.010002,89.730003,366100,89.42868
"2021-12-23",90.199997,90.919998,89.849998,89.849998,520300,89.548271
"2021-12-27",89.900002,91.059998,89.370003,91.019997,430500,90.714333
"2021-12-28",90.839996,91.529999,90.800003,91.209999,314700,90.903702
"2021-12-29",91.139999,92.209999,90.849998,91.940002,395500,91.631248
"2021-12-30",92.120003,92.760002,91.639999,91.809998,337200,91.501686
"2021-12-31",91.760002,92.610001,91.360001,92.110001,391300,91.800682
"2022-01-03",92.660004,93.790001,92.220001,92.290001,755200,91.980072
"2022-01-04",93.57,98.110001,93,97.699997,1338000,97.37191
"2022-01-05",98.040001,99.169998,96.419998,96.550003,1103100,96.225769
"2022-01-06",96.080002,97.269997,95.459999,96.440002,1057900,96.116142
"2022-01-07",96.32,96.32,94.400002,95.099998,917800,94.78064
