"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2021-10-07",341.230011,347.76001,340.429993,344.089996,1139200,340.921936
"2021-10-08",344.059998,345.339996,341.429993,343.170013,1168200,340.010437
"2021-10-11",343.019989,344.040009,332.470001,332.589996,1052100,329.527832
"2021-10-12",333.320007,334.459991,329.859985,330.600006,1410000,327.556152
"2021-10-13",332.049988,332.880005,327,329,1771800,325.970856
"2021-10-14",321.529999,332.880005,320.5,329.769989,2403800,326.733795
"2021-10-15",332.950012,336,331.670013,332.76001,1435000,329.696289
"2021-10-18",330.690002,333.290009,328.640015,331.839996,1154000,328.784729
"2021-10-19",334.910004,343.839996,334.100006,343.089996,1433600,339.931122
"2021-10-20",343.649994,346.059998,341.950012,344.049988,1001900,340.882294
"2021-10-21",343.929993,345.070007,340.76001,342.929993,876400,339.772614
"2021-10-22",345.040009,346.119995,339.679993,340.709991,825700,337.57309
"2021-10-25",340.290009,353.75,339.119995,352.720001,1564800,349.472473
"2021-10-26",353.359985,353.850006,341,341.149994,1386300,338.009003
"2021-10-27",342.73999,346.079987,338.019989,338.230011,2003100,335.115906
"2021-10-28",339.279999,349.790009,338.230011,349.700012,1897900,346.480316
"2021-10-29",348.5,349.359985,340.549988,342.309998,1562500,339.158325
"2021-11-01",347.119995,365.630005,345.779999,358.75,2391200,355.44696
"2021-11-02",360.059998,360.059998,350.48999,355.299988,1371300,352.028717
"2021-11-03",346.149994,347.029999,335.450012,343.049988,2948400,339.89151
"2021-11-04",344.829987,350.859985,344.320007,350.850006,1334000,347.61972
"2021-11-05",352.799988,358.679993,351.01001,355.200012,1422900,351.929657
"2021-11-08",359,365.450012,358,360.859985,1540500,357.537537
"2021-11-09",362,363.170013,352,355.809998,1394500,352.534027
"2021-11-10",353.899994,355.589996,350.140015,352.609985,1067800,349.363464
"2021-11-11",353.070007,358.600006,352.26001,356.01001,782400,352.732208
"2021-11-12",357.220001,359.149994,353.529999,358.859985,1011100,355.555939
"2021-11-15",362.109985,363.75,359.640015,361.149994,975400,357.82486
"2021-11-16",359.880005,366.200012,358.200012,362.01001,1162200,358.676971
"2021-11-17",360,360.410004,349.200012,353.519989,1647600,350.265106
"2021-11-18",364.480011,365.720001,356.899994,357.109985,2228000,353.822052
"2021-11-19",353.730011,354.850006,345.529999,346.149994,1742000,342.962982
"2021-11-22",347.769989,354.700012,343.109985,349.160004,1707000,345.945282
"2021-11-23",348.980011,353.079987,344.899994,349.279999,1680300,346.064178
"2021-11-24",359.269989,374.640015,358.829987,367.859985,4482900,364.473053
"2021-11-26",355,361.299988,348.790009,359.299988,2308700,355.991913
