"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2021-08-04",99.160004,100.5,96.949997,97,1284500,88.467628
"2021-08-05",97.68,98.529999,96.510002,96.669998,1191900,88.166656
"2021-08-06",98.360001,100,98.360001,99.449997,1064400,90.702118
"2021-08-09",99.139999,99.900002,98.440002,99.639999,1670000,90.875412
"2021-08-10",99.860001,104.239998,99.82,103.660004,1754300,94.541801
"2021-08-11",103.980003,106.139999,103.220001,105.940002,1456700,96.621246
"2021-08-12",106.18,106.339996,103.440002,105,1177300,95.763931
"2021-08-13",104.849998,105.290001,103.660004,105.07,985600,95.827774
"2021-08-16",104.349998,104.349998,101.269997,103.419998,1676600,94.322906
"2021-08-17",102.169998,102.449997,99.970001,101.779999,1123000,92.827179
"2021-08-18",101.029999,102.290001,99.900002,100.25,1149600,91.431755
"2021-08-19",98.550003,99.050003,96.480003,97.269997,1764900,88.713875
"2021-08-20",97,98.599998,96.830002,98.209999,1301700,89.571198
"2021-08-23",99.360001,100.809998,98.860001,100.040001,1131100,91.240227
"2021-08-24",100.830002,103.389999,100.830002,102.510002,1628400,93.492966
"2021-08-25",102.050003,103.129997,100.849998,102.980003,1963300,93.921616
"2021-08-26",103,103.339996,100.959999,101.190002,1723200,92.289063
"2021-08-27",100.730003,103.510002,100.709999,102.879997,1158100,94.890053
"2021-08-30",102.900002,102.989998,101.32,101.940002,1934200,94.023064
"2021-08-31",101.389999,101.709999,100.160004,100.349998,2556000,92.556549
"2021-09-01",100.650002,101.050003,97.690002,97.800003,2812100,90.20459
"2021-09-02",97.949997,98.599998,97.040001,97.290001,2491200,89.7342
"2021-09-03",97.349998,97.839996,95.43,95.730003,2905800,88.295349
"2021-09-07",95.050003,95.889999,94.129997,94.639999,2450800,87.289993
"2021-09-08",96.129997,96.129997,92.099998,92.440002,3440100,85.260857
"2021-09-09",91.540001,93.57,91.230003,91.589996,3911800,84.476868
"2021-09-10",92.370003,93.57,91.790001,92.870003,2781300,85.657471
"2021-09-13",94.110001,94.790001,93.129997,94.419998,1978700,87.087082
"2021-09-14",95.790001,95.790001,93.519997,93.830002,2879700,86.542908
"2021-09-15",94.220001,94.860001,93.400002,94.790001,2853000,87.428352
"2021-09-16",94.379997,94.800003,93.25,93.870003,1813700,86.579803
"2021-09-17",93,93.529999,91.589996,92.150002,4605500,84.993378
"2021-09-20",89.519997,90.809998,88.209999,89.919998,2647200,82.936562
"2021-09-21",90.790001,91.199997,89.110001,89.900002,1815100,82.918121
"2021-09-22",90.959999,92.370003,90.959999,91.230003,1547500,84.144836
"2021-09-23",91.980003,94.540001,91.629997,93.339996,2325800,86.09095
"2021-09-24",93.040001,93.809998,92.050003,93.099998,1208900,85.869598
"2021-09-27",93.839996,96.949997,93.82,96.080002,1741100,88.618164
"2021-09-28",96.870003,98.459999,96.110001,96.360001,2049700,88.876419
"2021-09-29",96.370003,97.370003,95.519997,95.860001,1759100,88.415253
"2021-09-30",96.459999,96.790001,93.800003,93.849998,2129200,86.561348
"2021-10-01",93.809998,96.419998,93.739998,95.830002,1449300,88.387581
"2021-10-04",96.529999,97.110001,94.080002,94.669998,1861600,87.317665
"2021-10-05",95.5,97.580002,94.849998,96.730003,1815300,89.21769
"2021-10-06",94.940002,95.970001,93.669998,95.769997,2246400,88.332245
"2021-10-07",97.269997,99.559998,97,97.959999,2031400,90.352158
"2021-10-08",98.050003,98.970001,97.120003,97.949997,1410600,90.342934
"2021-10-11",99.150002,99.690002,97.110001,97.410004,1339100,89.844879
"2021-10-12",97.5,97.879997,96.32,96.860001,1323700,89.337585
"2021-10-13",97.43,97.43,94.559998,96.279999,1342100,88.802635
"2021-10-14",97.25,98.769997,96.529999,98.330002,1552300,90.69342
"2021-10-15",99.349998,100.279999,98.559998,99.099998,1450600,91.403625
"2021-10-18",97.57,99.089996,97.209999,98.419998,1099500,90.776428
"2021-10-19",99.089996,99.089996,98.080002,98.610001,1177500,90.951675
"2021-10-20",98.790001,100.080002,98.150002,99.459999,1347600,91.735664
"2021-10-21",98.870003,99.269997,95.529999,96.559998,2062800,89.06089
"2021-10-22",97.230003,98.349998,96.839996,97.389999,1384700,89.826424
"2021-10-25",98.290001,98.910004,97.419998,97.610001,1264300,90.029343
"2021-10-26",98.07,98.709999,96.830002,97.639999,1814200,90.057014
"2021-10-27",97.360001,97.360001,94.410004,94.449997,2193500,87.114754
"2021-10-28",94.779999,96.610001,94.779999,96.339996,1694300,88.857979
"2021-10-29",92.940002,95.440002,91.599998,92.82,4332700,85.611351
"2021-11-01",92.809998,94.690002,92.809998,94.279999,1796800,86.957954
"2021-11-02",92.860001,94.639999,92.860001,94.370003,2014600,87.040962
"2021-11-03",92.800003,94.669998,92.720001,93.57,3034700,86.303093
"2021-11-04",94.050003,94.190002,89.529999,91.080002,2842500,84.006485
"2021-11-05",92.089996,94,91.900002,92.970001,2441300,85.749695
"2021-11-08",93.650002,95.150002,93.110001,93.269997,1377000,86.026398
"2021-11-09",93,93.730003,92.470001,92.809998,1923100,85.602119
"2021-11-10",93,93.540001,92.489998,92.830002,1770100,85.620567
"2021-11-11",93.239998,95.470001,92.989998,94.690002,2337300,87.336121
"2021-11-12",95.110001,96.230003,94.650002,95.389999,1542200,87.98175
"2021-11-15",95.440002,95.959999,94.660004,95.220001,1488400,87.824951
"2021-11-16",95.220001,95.220001,92.989998,93,1582100,85.777367
"2021-11-17",92.730003,93.410004,91.699997,91.989998,1700000,84.845802
"2021-11-18",92.150002,92.260002,90.900002,91.260002,2379100,84.172501
"2021-11-19",90.800003,91.870003,88.360001,89.400002,3528900,82.456955
"2021-11-22",89.93,93.309998,89.93,92.790001,3098700,85.583679
"2021-11-23",93.650002,94.099998,92.940002,93.440002,1883600,86.183197
"2021-11-24",92.910004,93.43,91.410004,91.559998,1962900,84.449196
"2021-11-26",87.209999,89.68,86.129997,89.440002,2469400,83.524681
"2021-11-29",90.540001,91.25,88.550003,89.169998,3128700,83.27253
"2021-11-30",87.699997,88.129997,86.290001,87.129997,4955300,81.367447
"2021-12-01",89.019997,89.269997,84.519997,84.550003,3174400,78.958092
"2021-12-02",84.730003,85.989998,84.169998,85.580002,4580600,79.91996
"2021-12-03",86.160004,88.160004,86.080002,87.370003,3273500,81.591583
"2021-12-06",88.800003,89.709999,87.959999,88.919998,2785800,83.039063
"2021-12-07",89.650002,91.709999,89.599998,90.110001,2105400,84.150368
"2021-12-08",90.779999,91.839996,90.25,90.5,2227300,84.514572
"2021-12-09",89.43,90.779999,89.43,89.949997,1966100,84.000946
"2021-12-10",91.360001,91.620003,89.599998,89.910004,2037300,83.963593
"2021-12-13",89.550003,90.410004,87.410004,87.650002,3547000,81.853058
"2021-12-14",87.720001,89.410004,87.720001,89.160004,2712700,83.263199
"2021-12-15",88.889999,89.160004,85.150002,87.040001,3833400,81.283401
"2021-12-16",87.629997,90.269997,87.43,89.110001,2938500,83.216499
"2021-12-17",88.870003,89.050003,86.900002,87.760002,4430200,81.955788
"2021-12-20",86.440002,87.209999,85.040001,86.900002,2856400,81.152664
"2021-12-21",87.910004,89.75,87.910004,88.32,3131100,82.478745
"2021-12-22",88.089996,88.57,87.290001,88.019997,1481600,82.198586
"2021-12-23",88.5,91.300003,88.260002,90.550003,2118200,84.561264
"2021-12-27",90.910004,91.82,90.220001,91.669998,1096600,85.607185
"2021-12-28",92,93.199997,91.75,92.720001,1046700,86.587746
"2021-12-29",92.489998,93.220001,92.32,92.669998,885600,86.541054
"2021-12-30",92.959999,93.580002,91.940002,92.18,906900,86.083458
"2021-12-31",91.910004,92.839996,91.639999,92.230003,907100,86.13015
"2022-01-03",92.949997,94.690002,92.830002,93.160004,1815900,86.99865
"2022-01-04",93.769997,97.470001,93.739998,96.959999,2526700,90.547318
"2022-01-05",97.419998,98.540001,96.260002,96.269997,2102600,89.902954
