"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2021-06-16",50.860001,51.226665,50.646667,50.759998,1099050,48.982895
"2021-06-17",50.873333,50.873333,49.880001,49.913334,1195350,48.165874
"2021-06-18",49.240002,49.373333,48.473331,48.493332,1512900,46.795589
"2021-06-21",48.799999,49.613335,48.759998,49.566666,856500,47.831348
"2021-06-22",49.786667,49.806667,49.293331,49.493332,787650,47.760578
"2021-06-23",49.326668,49.526669,49.013332,49.086666,843750,47.368153
"2021-06-24",48.946667,49.566666,48.746666,49.286667,1207950,47.971611
"2021-06-25",49.313332,49.906666,49.173332,49.793331,1033500,48.46476
"2021-06-28",49.713333,49.713333,48.939999,49.446667,975150,48.127338
"2021-06-29",49.619999,49.713333,49.293331,49.459999,583200,48.140316
"2021-06-30",49.473331,49.733334,49.266666,49.619999,941400,48.296051
"2021-07-01",49.913334,50.853333,49.666668,50.639999,883200,49.288834
"2021-07-02",50.48,50.753334,50.34,50.646667,740700,49.295326
"2021-07-06",50.553333,50.66,49.813332,50.546665,729600,49.19799
"2021-07-07",50.213333,51.060001,50.119999,50.919998,878100,49.561363
"2021-07-08",50.299999,50.366669,49.220001,49.380001,983700,48.062458
"2021-07-09",50.213333,50.459999,49.993332,50.413334,731550,49.068214
"2021-07-12",50.013332,50.906666,49.913334,50.846668,755250,49.489994
"2021-07-13",50.566666,50.880001,49.926666,50.053333,738300,48.717819
"2021-07-14",50.093334,50.486668,49.880001,50.279999,614700,48.938438
"2021-07-15",49.833332,51.186668,49.833332,50.98,942450,49.619762
"2021-07-16",51.146667,51.446667,50.913334,51.153332,949350,49.788471
"2021-07-19",50.286667,50.48,49.066666,49.453335,923850,48.133831
"2021-07-20",49.639999,51.080002,49.613335,50.566666,1066500,49.217461
"2021-07-21",50.966667,51.779999,50.459999,51,679650,49.639225
"2021-07-22",50.753334,51.040001,50.093334,50.139999,1042500,48.802177
"2021-07-23",50.32,51.106667,49.326668,49.873333,1343400,48.542622
"2021-07-26",49.866669,50.226665,49.506668,49.700001,1030950,48.373917
"2021-07-27",49.360001,49.98,49.086666,49.513332,788250,48.19223
"2021-07-28",49.706669,49.906666,48.279999,48.626667,1243500,47.32922
"2021-07-29",49,49.220001,48.686668,49.040001,627000,47.731529
"2021-07-30",48.860001,49.18,48.626667,48.779999,1176450,47.478462
"2021-08-02",49.013332,49.253334,48.506668,48.553333,1090350,47.257843
"2021-08-03",48.686668,48.693333,47.939999,48.366669,890700,47.076164
"2021-08-04",47.926666,48.526669,47.906666,47.966667,1361550,46.686832
"2021-08-05",48.013332,48.466667,47.833332,48.439999,1129650,47.147537
"2021-08-06",48.919998,49.259998,48.779999,48.98,1037850,47.673126
"2021-08-09",49.073334,49.139999,48.673332,48.973331,928050,47.666634
"2021-08-10",48.766666,49.380001,48.673332,48.746666,823800,47.446014
"2021-08-11",48.806667,49.366669,48.720001,49.353333,886350,48.036495
"2021-08-12",49.386665,49.386665,48.926666,49.226665,700950,47.913208
"2021-08-13",49.433334,49.766666,49.200001,49.706669,763350,48.380409
"2021-08-16",49.306667,49.919998,49.206669,49.606667,657150,48.283073
"2021-08-17",49.166668,50.279999,49.119999,49.813332,761550,48.484222
"2021-08-18",49.653332,50.053333,49.366669,49.386665,592050,48.068943
"2021-08-19",50.053333,50.566666,49.426666,50.380001,1015200,49.035778
"2021-08-20",50.473331,51.273335,50.373333,50.919998,1075650,49.561363
"2021-08-23",50.973331,51.193333,50.666668,50.706669,798750,49.353729
"2021-08-24",50.746666,50.966667,50.513332,50.613335,832500,49.262882
"2021-08-25",50.653332,51.126667,50.52,50.793331,784800,49.438076
"2021-08-26",50.813332,50.880001,50.073334,50.080002,667050,48.743778
"2021-08-27",50.18,50.779999,50.133331,50.759998,741000,49.405632
"2021-08-30",50.779999,50.786667,50.080002,50.113335,469950,48.776222
"2021-08-31",50,50.626667,49.953335,50.206669,891600,48.867065
"2021-09-01",50.353333,50.386665,49.619999,50.113335,644700,48.776222
"2021-09-02",50.206669,50.279999,49.726665,50.246666,675150,48.905994
"2021-09-03",49.993332,50.139999,49.459999,49.633331,565800,48.309025
"2021-09-07",49.526669,49.68,48.866669,48.886665,1005450,47.582279
"2021-09-08",48.793331,49.546665,48.546665,49.48,960450,48.159786
"2021-09-09",49.459999,50.206669,48.693333,48.700001,910500,47.4006
"2021-09-10",48.900002,49.073334,47.799999,47.82,990450,46.544075
"2021-09-13",48.173332,48.586666,47.986668,48.32,912000,47.030735
"2021-09-14",48.313332,48.373333,47.533333,47.646667,1068450,46.458702
"2021-09-15",47.353333,47.933334,47.353333,47.793331,1075050,46.601704
"2021-09-16",47.993332,48.299999,47.68,48.113335,1219200,46.913734
"2021-09-17",47.880001,48.253334,47.799999,48.126667,2505900,46.926731
"2021-09-20",47.880001,47.906666,47.133331,47.746666,1403400,46.556202
"2021-09-21",48.073334,48.233334,47.726665,47.813332,1049700,46.621208
"2021-09-22",48.166668,48.433334,47.933334,48.193333,738000,46.991734
"2021-09-23",48.613335,49.033333,48.5,48.599998,809250,47.38826
"2021-09-24",48.48,49.053333,48.48,48.873333,826800,47.654781
"2021-09-27",49.200001,49.540001,48.966667,48.986668,591300,47.765289
"2021-09-28",48.873333,49.099998,48.299999,48.380001,981150,47.173752
"2021-09-29",48.373333,49.193333,48.200001,48.973331,829650,47.752285
"2021-09-30",49.326668,49.526669,48.779999,48.786667,1424850,47.570274
"2021-10-01",48.986668,50.006668,48.259998,49.613335,923250,48.376331
"2021-10-04",49.606667,50.293331,49.166668,49.313332,1027350,48.083809
"2021-10-05",49.459999,50.466667,49.173332,50.18,665400,48.928871
