"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2021-10-22",182.570007,183.289993,180.779999,180.800003,2630900,175.84642
"2021-10-25",180.5,182.949997,179.449997,182.399994,2705100,177.402588
"2021-10-26",181.070007,183.820007,179.169998,182.160004,3135600,177.169174
"2021-10-27",182.270004,182.339996,178.080002,178.240005,2627000,173.356567
"2021-10-28",178.25,180.009995,178.240005,179.869995,1944900,174.941895
"2021-10-29",179.710007,180.910004,178.119995,178.679993,2559500,173.7845
"2021-11-01",178.529999,179.740005,177.509995,179.580002,2010500,174.659866
"2021-11-02",179.990005,182.100006,179.610001,181.970001,2213000,176.98436
"2021-11-03",181.789993,182.619995,179.979996,182.229996,1983400,177.237244
"2021-11-04",182.470001,182.960007,180.240005,180.610001,2051400,175.661636
"2021-11-05",182.119995,183.820007,180.949997,181.800003,1814300,176.819031
"2021-11-08",182.660004,183.429993,180.270004,181.539993,1855900,176.566147
"2021-11-09",181.369995,182.570007,180.449997,181.330002,1782400,176.361908
"2021-11-10",181.330002,182.839996,180,182.419998,1712600,177.422043
"2021-11-11",183.009995,183.039993,179.509995,180.210007,1986700,175.272614
"2021-11-12",180.949997,186.300003,180.289993,183.660004,4404700,178.628067
"2021-11-15",184.089996,185.039993,182.899994,183.309998,1463400,178.287674
"2021-11-16",183.309998,184.199997,182.699997,183.369995,1975000,178.346024
"2021-11-17",183.369995,183.869995,181.630005,183.339996,2251100,178.316833
"2021-11-18",182.110001,182.539993,178.690002,178.770004,2532800,175.287048
"2021-11-19",179.440002,180.809998,178.119995,179.229996,2482600,175.738083
"2021-11-22",179.25,182.279999,178.779999,179.660004,2371900,176.159714
"2021-11-23",180.610001,181.320007,178.649994,179.460007,1944200,175.963608
"2021-11-24",178.970001,179.5,177.539993,177.630005,1488500,174.169266
"2021-11-26",174.520004,176.830002,173.399994,175.520004,1912300,172.100357
"2021-11-29",176.470001,176.830002,174.979996,176.229996,2324500,172.796524
"2021-11-30",174.699997,175.860001,169.940002,170.039993,5340500,166.727112
"2021-12-01",172.550003,174.649994,170.699997,170.729996,3255600,167.403687
"2021-12-02",171.539993,172.779999,169.869995,170.259995,3367100,166.942841
"2021-12-03",169.899994,172.910004,169.179993,172.589996,3018900,169.227432
"2021-12-06",174.520004,178.279999,174,177.199997,3418600,173.747635
"2021-12-07",177.110001,178.339996,176.179993,176.550003,2322800,173.110291
"2021-12-08",176.5,176.830002,174.429993,176.039993,1928000,172.610214
"2021-12-09",176.490005,177.399994,175.639999,175.940002,1758600,172.512177
"2021-12-10",177.940002,177.940002,176.110001,177.100006,1543600,173.649582
"2021-12-13",177,177.369995,174.410004,174.580002,2529900,171.178665
"2021-12-14",174.850006,176.600006,174.25,174.720001,2327500,171.315948
"2021-12-15",175.080002,176.220001,173.880005,175.779999,2139900,172.355301
"2021-12-16",176.710007,178.940002,174.820007,178.309998,2250000,174.835999
"2021-12-17",177.860001,178.320007,174.339996,174.75,4012700,171.345367
"2021-12-20",173.210007,173.880005,170.960007,172.639999,1981400,169.276459
"2021-12-21",173.440002,173.990005,172.220001,172.919998,1994100,169.55101
"2021-12-22",172.919998,173.229996,171.550003,172.639999,2022000,169.276459
"2021-12-23",172.990005,175.619995,172.779999,174.970001,1955700,171.561081
"2021-12-27",175.149994,176.729996,174.910004,176.699997,1183000,173.257355
