"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2021-09-15",1560.369995,1585,1552.800049,1561.150024,92000,1561.150024
"2021-09-16",1561.069946,1566.150024,1540.060059,1554.589966,59800,1554.589966
"2021-09-17",1551.380005,1559.199951,1541.97998,1545.180054,185800,1545.180054
"2021-09-20",1527.699951,1545.589966,1510.449951,1527.189941,95100,1527.189941
"2021-09-21",1542.560059,1543.829956,1516.640015,1535.380005,70600,1535.380005
"2021-09-22",1546.900024,1558.829956,1534.579956,1542.780029,67500,1542.780029
"2021-09-23",1553.01001,1578,1543.119995,1563.51001,101500,1563.51001
"2021-09-24",1549.51001,1557.680054,1530.089966,1556.839966,71200,1556.839966
"2021-09-27",1550.199951,1550.890015,1466.060059,1477.959961,109100,1477.959961
"2021-09-28",1463.339966,1463.339966,1409.339966,1421.650024,130000,1421.650024
"2021-09-29",1432.560059,1443.829956,1401.310059,1408.439941,133200,1408.439941
"2021-09-30",1419.030029,1431.589966,1374.939941,1377.359985,164900,1377.359985
"2021-10-01",1369.77002,1398.400024,1335.73999,1389.869995,115100,1389.869995
"2021-10-04",1386.569946,1400.140015,1355.050049,1372.52002,145900,1372.52002
"2021-10-05",1383.150024,1413.420044,1379.069946,1384.02002,99100,1384.02002
"2021-10-06",1377.930054,1389.560059,1367.699951,1384.5,84300,1384.5
"2021-10-07",1407.670044,1426.800049,1401.589966,1404.319946,85100,1404.319946
"2021-10-08",1405.52002,1425.300049,1384.119995,1385.300049,62900,1385.300049
"2021-10-11",1379.160034,1382.280029,1357.880005,1361.430054,65400,1361.430054
"2021-10-12",1370.160034,1370.160034,1334.859985,1355.25,88100,1355.25
"2021-10-13",1368.410034,1369.300049,1349.719971,1360.439941,57800,1360.439941
"2021-10-14",1379.160034,1404.959961,1379.160034,1399.310059,77600,1399.310059
"2021-10-15",1404.369995,1421.849976,1404.369995,1417.75,82500,1417.75
"2021-10-18",1415.709961,1425.069946,1407.800049,1420.22998,70300,1420.22998
"2021-10-19",1432.76001,1450.849976,1429.640015,1430.449951,68000,1430.449951
"2021-10-20",1442.189941,1452.150024,1425.910034,1437.339966,79300,1437.339966
"2021-10-21",1439.900024,1442.630005,1424.040039,1436.949951,69200,1436.949951
"2021-10-22",1436.900024,1472.52002,1436.900024,1469.75,70000,1469.75
"2021-10-25",1472.859985,1475.890015,1449.959961,1470.719971,58800,1470.719971
"2021-10-26",1480.569946,1480.569946,1460.23999,1470.579956,47600,1470.579956
"2021-10-27",1475.359985,1482.640015,1455.73999,1461.890015,55000,1461.890015
"2021-10-28",1466.400024,1490.369995,1463.719971,1479.150024,61000,1479.150024
"2021-10-29",1470.599976,1492.189941,1470.599976,1480.880005,87200,1480.880005
"2021-11-01",1484.109985,1485.72998,1428.26001,1444.439941,114100,1444.439941
"2021-11-02",1454.930054,1476.400024,1434.449951,1469.839966,109400,1469.839966
"2021-11-03",1470.47998,1471.660034,1438.199951,1471.25,93900,1471.25
"2021-11-04",1472.209961,1485.569946,1462.319946,1484.400024,105100,1484.400024
"2021-11-05",1511.369995,1543.819946,1459.800049,1518.530029,186500,1518.530029
"2021-11-08",1526.880005,1545.73999,1483.77002,1543,94600,1543
"2021-11-09",1553.089966,1558.329956,1528.589966,1557.51001,76500,1557.51001
"2021-11-10",1553.339966,1557.589966,1532.52002,1544.72998,96700,1544.72998
"2021-11-11",1549.119995,1549.119995,1509.890015,1521.23999,70900,1521.23999
"2021-11-12",1525,1534.98999,1521.560059,1533.589966,73100,1533.589966
"2021-11-15",1533.550049,1550.810059,1512.959961,1515.050049,58800,1515.050049
