"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2021-08-23",206.339996,211.309998,206.339996,210.630005,1739100,207.507217
"2021-08-24",212.279999,215.059998,211.830002,214.520004,1688100,211.339554
"2021-08-25",216,219.080002,215.289993,217.789993,1909100,214.56105
"2021-08-26",217.240005,223.380005,215.630005,222.240005,2331200,218.945099
"2021-08-27",222.770004,226.880005,221.990005,226.509995,1746200,223.151779
"2021-08-30",227.339996,228.720001,225.550003,227.639999,1150600,224.26503
"2021-08-31",222.25,222.25,209.800003,215.130005,5156700,211.940506
"2021-09-01",215.449997,215.860001,211.449997,211.5,2551900,208.364319
"2021-09-02",212.919998,213.229996,210.710007,211.910004,1856200,208.76825
"2021-09-03",213.089996,215.380005,212.300003,212.990005,1813700,209.83223
"2021-09-07",213.449997,213.490005,211.360001,212.860001,1822300,209.704147
"2021-09-08",211.940002,212.740005,207.25,208.119995,1740900,205.034424
"2021-09-09",209.830002,211.910004,209,210.460007,2448000,207.339752
"2021-09-10",212.940002,216.5,212,212.119995,1835500,208.975113
"2021-09-13",214.429993,216.259995,211.679993,214.770004,1416500,211.585846
"2021-09-14",216.110001,216.320007,211.149994,211.479996,1405300,208.892197
"2021-09-15",212.669998,212.699997,209.970001,212.339996,1414800,209.741684
"2021-09-16",211.029999,213.710007,208.789993,213.029999,1502900,210.423248
"2021-09-17",211.630005,212.190002,207.910004,209.330002,4877800,206.768524
"2021-09-20",204.910004,205,198.940002,202.779999,2959400,200.298645
"2021-09-21",204.660004,207.770004,203.009995,206.059998,1524200,203.538513
"2021-09-22",207.809998,213.270004,207.110001,213.080002,1734600,210.472626
"2021-09-23",214.149994,218.080002,213.009995,216.350006,1430600,213.702621
"2021-09-24",215.009995,218.020004,214.029999,216.669998,1096900,214.018692
"2021-09-27",214.199997,218.139999,212.720001,216.690002,1069800,214.038452
"2021-09-28",212.649994,214,205.949997,206.190002,2201900,203.666946
"2021-09-29",202.910004,203.789993,197.860001,198.75,1976600,196.317978
"2021-09-30",200.570007,201.490005,195.710007,195.869995,2343100,193.473221
"2021-10-01",196.330002,197.279999,191,192.889999,3381500,190.529694
"2021-10-04",193.710007,193.940002,187.910004,188.949997,2551700,186.637894
"2021-10-05",190.690002,193.589996,188.679993,191.630005,2246300,189.285095
"2021-10-06",188.669998,191.940002,188.410004,190.899994,1847300,188.564026
"2021-10-07",193.509995,197.369995,193.509995,193.850006,1514500,191.477951
"2021-10-08",194.509995,194.669998,189.990005,190.309998,1394200,187.981262
"2021-10-11",189.339996,191.160004,185.740005,185.940002,2144000,183.664734
"2021-10-12",187.149994,187.75,182.339996,183.190002,3021000,180.94838
"2021-10-13",184.419998,186.220001,182.410004,183.100006,2765500,180.859497
"2021-10-14",187,189.940002,186.759995,189.100006,2682300,186.786057
"2021-10-15",190.389999,191.729996,189.100006,189.809998,1772500,187.487381
"2021-10-18",188.210007,192.320007,187.149994,192.259995,2028200,189.907379
"2021-10-19",192.830002,197.130005,191.520004,196.949997,2100400,194.540009
"2021-10-20",196.559998,199.789993,194.789993,197.520004,2100400,195.103027
"2021-10-21",196.300003,201.520004,196,201.25,1688600,198.787399
"2021-10-22",201.580002,203.429993,199.880005,199.929993,1829500,197.483521
"2021-10-25",200.660004,202.130005,199.779999,200.289993,1390500,197.839142
"2021-10-26",201.080002,201.160004,193.770004,196.149994,2706600,193.749786
"2021-10-27",193.720001,195.179993,190.839996,192.410004,2882400,190.055557
"2021-10-28",194.339996,200.130005,194.139999,199.899994,1930900,197.453903
"2021-10-29",197.740005,201.809998,197.220001,200.860001,1604600,198.402161
"2021-11-01",202.619995,206.580002,202.009995,205.130005,3419000,202.619919
"2021-11-02",205.520004,208.470001,203.179993,206.559998,2991100,204.032394
"2021-11-03",207.490005,217.130005,206.720001,215.779999,3378900,213.139603
"2021-11-04",215.990005,219.429993,215,219.259995,2326300,216.576996
"2021-11-05",220,224.789993,219.949997,224.25,2835800,221.505936
"2021-11-08",223.660004,227.5,221.259995,223.080002,3829600,220.350266
"2021-11-09",223.240005,223.380005,218.339996,221.050003,1625200,218.345093
"2021-11-10",218.460007,220.190002,212.770004,214.220001,2262000,211.598679
"2021-11-11",223.259995,223.339996,214.149994,219.100006,4639700,216.418961
"2021-11-12",219.580002,220.539993,214.410004,217.820007,2829000,215.154633
"2021-11-15",221,221,215.190002,215.679993,2003200,213.040802
"2021-11-16",215.199997,219.970001,214.399994,219.259995,1497200,216.576996
"2021-11-17",219.259995,219.259995,215.669998,217.809998,1376500,215.144745
"2021-11-18",218.759995,220.669998,216.360001,220.580002,2494200,217.880859
"2021-11-19",220.580002,221.809998,219.639999,221.259995,2124200,218.552536
"2021-11-22",222.309998,225.660004,219.440002,221.869995,2846000,219.155075
"2021-11-23",221.410004,224.089996,215.570007,219.119995,2070000,216.438721
"2021-11-24",216.600006,221.220001,214.320007,221.029999,1630900,218.325348
"2021-11-26",213.119995,217.559998,210.25,212.449997,1776500,209.850327
"2021-11-29",216.75,224.259995,215.100006,223.940002,2412900,221.199753
"2021-11-30",222.699997,227.820007,218.300003,223.360001,5141600,220.626846
"2021-12-01",227.339996,234.679993,222.710007,223,3222500,220.27124
"2021-12-02",220.270004,225.899994,218.179993,222.729996,1934800,220.004532
"2021-12-03",225,228.460007,221.559998,227.119995,2743800,224.34082
"2021-12-06",227.800003,228.309998,217.429993,224.279999,2223600,221.535583
"2021-12-07",228.990005,239.910004,228,238.899994,2934400,235.976669
"2021-12-08",229.009995,229.800003,221.089996,228.089996,3880100,225.298965
