"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"2021-09-30",65.68,65.970001,64.010002,64.400002,1493900,62.634884
"2021-10-01",64.519997,66.129997,64.220001,65.629997,1014600,63.831169
"2021-10-04",65.459999,66.669998,64.940002,65.120003,1163800,63.335148
"2021-10-05",65.269997,66.800003,64.940002,66.650002,1912300,64.823212
"2021-10-06",66.040001,67.349998,65.660004,67.18,1362000,65.338692
"2021-10-07",68,68.739998,67.760002,67.970001,1008900,66.107033
"2021-10-08",68.230003,69.360001,68.040001,68.919998,1484100,67.030991
"2021-10-11",69.239998,69.779999,68.080002,68.120003,1022400,66.25293
"2021-10-12",68.330002,68.660004,67.440002,67.57,891800,65.717995
"2021-10-13",67.370003,67.540001,65.709999,67.019997,1179800,65.183075
"2021-10-14",67.730003,68.550003,67.349998,68.43,838900,66.55442
"2021-10-15",69.339996,69.550003,68.290001,68.650002,1093500,66.768394
"2021-10-18",68.269997,69.139999,68.07,68.610001,894700,66.729492
"2021-10-19",69.279999,69.5,68.720001,69.029999,875600,67.137978
"2021-10-20",68.910004,69.959999,68.610001,69.769997,948000,67.857697
"2021-10-21",69.43,69.849998,68.660004,69.010002,1079700,67.11853
"2021-10-22",69.360001,69.900002,68.910004,69.440002,1036200,67.536743
"2021-10-25",69.559998,70.07,69.260002,69.639999,828200,67.731262
"2021-10-26",70,70.129997,69.400002,69.510002,1007200,67.604828
"2021-10-27",69.5,69.510002,66.290001,66.470001,2320900,64.64814
"2021-10-28",66.580002,66.93,65.919998,66.910004,998100,65.07608
"2021-10-29",67.07,67.440002,66.550003,67.089996,1384800,65.251144
"2021-11-01",67.540001,68.059998,67.389999,67.839996,1287600,65.980591
"2021-11-02",67.900002,68.489998,67.57,68.279999,1089600,66.408539
"2021-11-03",67.970001,70.339996,67.879997,69.160004,1271900,67.264412
"2021-11-04",69.190002,69.190002,67.370003,68.459999,1270600,66.583595
"2021-11-05",69,69.949997,68.639999,68.949997,774600,67.060173
"2021-11-08",69.139999,69.830002,68.599998,68.769997,616200,66.885109
"2021-11-09",68.230003,68.690002,67.769997,68.309998,706300,66.437714
"2021-11-10",68.290001,69.019997,67.900002,68.459999,696000,66.583595
"2021-11-11",68.589996,69.470001,68.379997,69.209999,476700,67.313049
"2021-11-12",69.139999,69.669998,68.669998,69.589996,679200,67.682625
"2021-11-15",70.300003,71.779999,69.900002,71.690002,2870500,69.725075
"2021-11-16",72.099998,72.93,71.699997,72.110001,1808200,70.13356
"2021-11-17",71.919998,72.110001,70.75,71.589996,1699300,69.627808
"2021-11-18",71.540001,71.779999,70.709999,71.220001,1472200,69.267952
"2021-11-19",70.730003,71.300003,69.519997,70.870003,2455200,68.927551
"2021-11-22",71.120003,73.139999,70.760002,72.32,2158900,70.337814
