"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2021-08-17",110.269997,110.57,108.839996,110.099998,1074400,107.105522
"2021-08-18",109.900002,110.57,109.43,110.139999,1021000,107.14444
"2021-08-19",110.220001,112.190002,110.080002,111.790001,1622500,108.749557
"2021-08-20",111.599998,114.709999,111.019997,114.599998,1987800,111.483131
"2021-08-23",114.660004,114.879997,113.330002,114,1680600,110.89946
"2021-08-24",114.019997,114.120003,112.760002,113.739998,1999400,110.646523
"2021-08-25",113.550003,114.389999,113,113.790001,1517000,110.695168
"2021-08-26",113.690002,114.32,112.949997,113.68,1948700,110.588165
"2021-08-27",113.68,113.839996,111.339996,111.690002,2804800,108.652283
"2021-08-30",110,110.099998,107.559998,109.360001,3076500,106.385658
"2021-08-31",109.150002,110.720001,108.709999,110.610001,2853000,107.601662
"2021-09-01",111.029999,112.790001,110.559998,112.529999,1847600,109.469429
"2021-09-02",112.790001,113.730003,112.339996,113.709999,2068400,110.61734
"2021-09-03",113.279999,113.379997,112.220001,112.559998,1586700,109.498619
"2021-09-07",112.199997,112.650002,111.089996,112.5,2189100,109.440254
"2021-09-08",112.440002,115.010002,112,114.830002,1516200,111.706879
"2021-09-09",114.599998,114.989998,112.860001,112.940002,1653500,109.868286
"2021-09-10",112.940002,112.940002,111.739998,111.839996,762600,108.798203
"2021-09-13",112.870003,113.919998,112.480003,113.349998,954500,110.267128
"2021-09-14",114.050003,115.019997,113.449997,114.389999,2014500,111.278839
"2021-09-15",113.900002,114.339996,111.82,112.889999,2652400,109.819649
"2021-09-16",112.779999,113.309998,111.870003,112.410004,1161400,109.352699
"2021-09-17",112.120003,112.690002,110.790001,111.040001,2375500,108.019966
"2021-09-20",110.639999,111.349998,108.370003,109.510002,1413600,106.53157
"2021-09-21",109.610001,110.519997,107.970001,107.980003,1810100,105.04319
"2021-09-22",108.099998,108.610001,105.660004,105.989998,1614300,103.1073
"2021-09-23",105.480003,105.900002,102.510002,102.610001,2063500,99.819237
"2021-09-24",102.309998,102.959999,100.449997,100.849998,2409400,98.107101
"2021-09-27",100.510002,101.709999,99.940002,100.019997,2612100,97.299675
"2021-09-28",100,100.959999,98.5,99.260002,2023900,96.560356
"2021-09-29",99.449997,101.690002,99.07,100.739998,2021400,98.000092
"2021-09-30",100.989998,101.120003,99.239998,99.309998,1284000,96.608994
"2021-10-01",99.900002,100.580002,99.089996,99.370003,1855600,96.667358
"2021-10-04",99.43,101.760002,99.309998,101.379997,1638900,98.622688
"2021-10-05",101.459999,102.199997,101.029999,101.470001,1238800,98.710243
"2021-10-06",101.160004,103.230003,100.43,103.169998,1177400,100.364006
