"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2021-11-02",75.790001,76.610001,75.57,76.269997,4132200,74.95845
"2021-11-03",76.32,77.290001,75.959999,77.269997,3916000,75.941261
"2021-11-04",76.889999,77.529999,76.870003,77.290001,3407000,75.960922
"2021-11-05",77.550003,77.949997,77.080002,77.839996,3560300,76.501457
"2021-11-08",77.849998,77.949997,77.010002,77.739998,3335900,76.403175
"2021-11-09",77.870003,78.18,77.489998,78.050003,3854900,76.707848
"2021-11-10",77.940002,78.529999,77.589996,78.480003,3263500,77.130463
"2021-11-11",78.389999,78.43,77.839996,77.989998,2788500,76.64888
"2021-11-12",77.919998,78.459999,77.660004,78.029999,3057200,76.688194
"2021-11-15",78.25,78.349998,77.879997,78.300003,3263900,76.953552
"2021-11-16",78.5,78.779999,77.839996,77.879997,3140500,76.540764
"2021-11-17",77.769997,77.779999,77.169998,77.580002,3144600,76.245934
"2021-11-18",77.489998,77.550003,76.169998,76.389999,3416600,75.076385
"2021-11-19",76.470001,77.660004,76.470001,77.199997,3978200,75.872467
"2021-11-22",77.410004,78.309998,77.300003,77.559998,3601000,76.22628
"2021-11-23",77.690002,78.18,77.239998,77.93,2941800,76.589912
"2021-11-24",78.07,78.160004,77.370003,77.760002,2350400,76.422844
"2021-11-26",77.779999,78.599998,76.959999,77.059998,2439900,75.734871
"2021-11-29",77.080002,78.080002,76.940002,77.709999,3923000,76.373695
"2021-11-30",77.139999,77.400002,75.010002,75.019997,8702400,73.72995
"2021-12-01",75.5,76.529999,75.32,75.389999,3716700,74.09359
"2021-12-02",75.720001,76.269997,75.370003,75.480003,4665300,74.182037
"2021-12-03",76.019997,76.779999,75.440002,76.769997,5206200,75.449852
"2021-12-06",77.290001,79.080002,77.160004,78.580002,6525000,77.228737
"2021-12-07",78.25,78.82,77.669998,77.809998,3952500,76.471977
"2021-12-08",77.389999,77.970001,76.769997,77.760002,4311200,76.422844
"2021-12-09",77.669998,78.300003,77.309998,78,2928500,76.658707
"2021-12-10",78.5,79.599998,78.190002,79.470001,4294500,78.103432
"2021-12-13",79.279999,81.25,79.279999,81.139999,5950900,79.744713
"2021-12-14",81.199997,82.339996,81.07,82.129997,7682500,80.717682
"2021-12-15",81.93,83.220001,81.82,82.760002,6124500,81.336861
"2021-12-16",82.709999,84.059998,82.489998,83.949997,5237600,82.506386
"2021-12-17",83.580002,84.269997,82.239998,82.480003,10299800,81.061668
"2021-12-20",82.089996,82.849998,81.82,82.519997,5162300,81.100975
"2021-12-21",82.309998,82.739998,81.769997,82.089996,4630800,80.678375
"2021-12-22",82.18,82.550003,81.889999,82.459999,3373000,81.042015
"2021-12-23",82.470001,83.010002,82.209999,82.790001,3936400,81.366341
"2021-12-27",83,84.050003,82.889999,83.910004,3189600,82.467079
"2021-12-28",83.900002,84.669998,83.830002,84.459999,2201000,83.007614
"2021-12-29",84.589996,85.089996,84.25,84.910004,2628900,83.449883
