"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2021-04-16",104.720001,105.18,104.150002,104.32,1118400,102.466225
"2021-04-19",104.129997,104.830002,103.559998,104.669998,1130400,102.810005
"2021-04-20",104.68,105.800003,104.68,105.010002,910500,103.143959
"2021-04-21",105.5,106.190002,105,105.889999,739600,104.008324
"2021-04-22",105.800003,106.339996,105.18,105.610001,953200,103.733315
"2021-04-23",105.690002,106.650002,105.050003,106.389999,947800,104.499435
"2021-04-26",106.370003,106.370003,104.589996,104.629997,1040800,102.770714
"2021-04-27",104.650002,105.25,104,104.900002,946200,103.035912
"2021-04-28",105.370003,105.370003,104.459999,104.669998,636200,102.810005
"2021-04-29",105.199997,106.110001,104.779999,106.080002,752400,104.194954
"2021-04-30",106.160004,106.529999,105.769997,106.300003,1054900,104.411049
"2021-05-03",106.82,108.5,106.57,107.989998,974300,106.071007
"2021-05-04",107.580002,108.949997,107.580002,108.699997,1264800,106.768387
"2021-05-05",108.720001,109.57,108.209999,109.360001,1525100,107.416664
"2021-05-06",110,112.129997,109.93,110.769997,1536600,108.801598
"2021-05-07",110.620003,111.199997,110.209999,110.879997,1148500,108.909645
"2021-05-10",111.440002,113.279999,111.18,112.050003,1117800,110.058868
"2021-05-11",111.779999,112.220001,109.199997,109.900002,1692100,107.947067
"2021-05-12",109.669998,110.040001,107.809998,107.849998,1277800,105.933495
"2021-05-13",108.239998,110.699997,107.860001,110.260002,739400,108.300667
"2021-05-14",110.660004,111.580002,110.239998,111.099998,910900,109.12574
"2021-05-17",110.980003,111.57,109.529999,110.029999,1294700,108.074745
"2021-05-18",109.839996,110.120003,109.129997,109.220001,986300,107.279152
"2021-05-19",108.919998,109.089996,107.129997,108.190002,1231400,106.267448
"2021-05-20",108.449997,109.800003,107.699997,109.43,1323600,107.485428
"2021-05-21",109.629997,110.480003,108.93,109.5,1238000,107.554176
