"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2021-04-20",102.139999,104.730003,102,104.589996,798200,101.248314
"2021-04-21",104.599998,104.989998,103.370003,103.389999,1141100,100.08667
"2021-04-22",103.389999,103.940002,103.139999,103.400002,475000,100.096344
"2021-04-23",103.769997,104.260002,103.129997,103.349998,374900,100.047935
"2021-04-26",103.550003,103.550003,101.919998,102.410004,591200,99.137978
"2021-04-27",102.5,102.5,101.300003,101.480003,530700,98.237686
"2021-04-28",101.589996,102.029999,100.239998,100.300003,851800,97.09539
"2021-04-29",101.199997,102.260002,100.650002,102.18,1108900,98.915321
"2021-04-30",102.410004,103.709999,102.040001,103.589996,863700,100.280273
"2021-05-03",103.589996,104.790001,103.43,103.790001,777900,100.473885
"2021-05-04",103.959999,104.260002,102.709999,103.550003,650700,100.241547
"2021-05-05",102.839996,103,101.080002,102.529999,597000,99.254143
"2021-05-06",102.68,104.230003,102.370003,103.349998,745400,100.047935
"2021-05-07",103,103.75,102.730003,103,696700,99.709114
"2021-05-10",103.559998,104.760002,103.029999,103.510002,1023100,100.202835
"2021-05-11",103.919998,104.18,100.68,101.309998,718700,98.07312
"2021-05-12",101.709999,101.730003,99.150002,99.25,835200,96.078934
"2021-05-13",98.739998,101.18,98.32,100.610001,549600,97.395477
"2021-05-14",100.849998,101.639999,100.169998,100.459999,668700,97.250275
"2021-05-17",100.32,100.559998,98.489998,98.510002,849400,95.362579
"2021-05-18",97.93,99.57,97.419998,99.139999,938300,95.972443
"2021-05-19",99.190002,99.290001,97.599998,98.110001,655000,94.975365
"2021-05-20",97.879997,99,97.82,98.32,530300,95.17865
"2021-05-21",98.089996,98.730003,96.839996,98.18,1834100,95.651154
"2021-05-24",98.370003,99.019997,98.279999,98.43,632500,95.894722
"2021-05-25",98.32,98.32,97.169998,98.290001,547600,95.758324
"2021-05-26",98.32,99.019997,97.779999,98.620003,737900,96.079826
"2021-05-27",98.769997,99.730003,98.660004,99.160004,3236800,96.605927
"2021-05-28",99.440002,99.769997,98.889999,99.169998,636000,96.615654
"2021-06-01",99.419998,99.489998,98.790001,99.440002,625100,96.8787
"2021-06-02",99.75,101.379997,99.470001,100.470001,792700,97.882179
"2021-06-03",100.25,101.529999,100.190002,101.190002,611000,98.583633
"2021-06-04",101.510002,101.669998,100.540001,100.709999,565100,98.115997
"2021-06-07",100.919998,101.120003,100.419998,100.970001,619300,98.369293
"2021-06-08",101.150002,101.220001,99.910004,100.290001,612000,97.706818
"2021-06-09",100.470001,101.220001,99.800003,101.150002,644400,98.544662
"2021-06-10",101.269997,101.699997,100.970001,101.220001,523500,98.612862
"2021-06-11",101.349998,101.790001,100.730003,101.790001,575200,99.168167
"2021-06-14",101.760002,101.839996,100.699997,101.099998,755500,98.495941
"2021-06-15",100.93,101.559998,100.669998,100.959999,696600,98.359543
"2021-06-16",101.190002,101.510002,100.099998,100.57,887300,97.979599
"2021-06-17",100.650002,101.349998,100.010002,100.300003,688500,97.716553
"2021-06-18",99.610001,99.669998,97.669998,97.879997,2081000,95.358887
"2021-06-21",98.379997,99.510002,98.129997,99.040001,895100,96.489006
"2021-06-22",98.660004,99.269997,98.139999,98.410004,873300,95.875237
"2021-06-23",98.410004,98.410004,97.239998,97.349998,839900,94.842537
"2021-06-24",97.07,97.589996,96.739998,97.459999,623500,94.949699
"2021-06-25",97.239998,98.93,97.120003,98.93,575500,96.381836
"2021-06-28",99.029999,99.059998,98.300003,98.75,422300,96.206467
"2021-06-29",98.43,98.650002,96.169998,96.410004,553300,93.92675
"2021-06-30",96.190002,96.790001,95.669998,96.110001,617600,93.634468
"2021-07-01",96.349998,97.470001,95.599998,96.980003,616900,94.482071
"2021-07-02",96.980003,97.279999,96.389999,97.110001,487000,94.608711
"2021-07-06",97,97.25,95.209999,97.080002,653200,94.579491
"2021-07-07",96.800003,98.010002,96.510002,97.949997,591800,95.427078
"2021-07-08",97.5,98.370003,97.169998,97.660004,427100,95.144547
"2021-07-09",98.220001,98.629997,97.150002,98.529999,764700,95.992142
"2021-07-12",98.18,99.519997,97.889999,99.440002,591700,96.8787
"2021-07-13",99.360001,99.839996,98.650002,98.800003,584000,96.255196
"2021-07-14",98.68,99.709999,98.279999,99.449997,407400,96.888443
"2021-07-15",99.209999,100.970001,99.139999,100.82,573200,98.223152
"2021-07-16",101.160004,101.760002,100.68,101.239998,627900,98.632332
"2021-07-19",101.099998,101.330002,97.5,98.949997,1053000,96.401321
"2021-07-20",99.32,100.269997,98.669998,99.489998,928900,96.927406
"2021-07-21",99.639999,100.169998,98.169998,98.25,729400,95.71936
"2021-07-22",97.870003,98.650002,97.5,97.660004,475100,95.144547
"2021-07-23",98,99.550003,97.739998,99.449997,447900,96.888443
"2021-07-26",99.260002,99.730003,99.07,99.519997,490500,96.956642
"2021-07-27",99.440002,101.400002,99.089996,101.099998,400300,98.495941
"2021-07-28",101.239998,101.260002,99.449997,100.349998,494600,97.765259
"2021-07-29",100.519997,100.650002,99.110001,100.190002,392900,97.609383
"2021-07-30",100.309998,100.849998,98.220001,98.589996,1208500,96.050598
"2021-08-02",98.75,100.010002,98.589996,99.540001,502700,96.976128
"2021-08-03",99.480003,100.160004,99.150002,99.68,532600,97.112518
"2021-08-04",99.110001,99.550003,98.07,99.389999,583900,96.829994
"2021-08-05",99.889999,101.330002,99.269997,101.309998,635700,98.700531
"2021-08-06",101.5,101.900002,100.779999,100.889999,595200,98.291351
"2021-08-09",101,101.419998,100.150002,101.120003,642700,98.515434
"2021-08-10",101.230003,101.449997,100.379997,100.889999,471400,98.291351
"2021-08-11",101.040001,101.400002,100.550003,101.139999,382300,98.534912
"2021-08-12",101.25,101.370003,100.150002,100.57,461900,97.979599
"2021-08-13",100.580002,101.779999,100.169998,101.470001,538300,98.856415
"2021-08-16",101.489998,102.279999,100.709999,101.07,724000,98.466721
"2021-08-17",100.690002,101.360001,100.190002,100.949997,820600,98.3498
"2021-08-18",101.080002,101.330002,98.550003,98.989998,701500,96.440285
"2021-08-19",99.120003,99.720001,98.330002,98.639999,721800,96.099312
"2021-08-20",97.639999,99.07,97.150002,98.769997,995500,96.839546
"2021-08-23",98.940002,99.110001,97.660004,97.82,629300,95.908112
