"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2021-10-21",72.910004,73.980003,72.599998,73.93,2084000,72.674095
"2021-10-22",74.25,74.669998,73.779999,73.870003,2635100,72.61512
"2021-10-25",73.879997,74.449997,72.93,73.949997,3452600,72.693748
"2021-10-26",74.269997,74.269997,73.040001,73.07,2313000,71.828712
"2021-10-27",73.080002,73.620003,71.699997,71.730003,3366000,70.511467
"2021-10-28",72.269997,73.540001,72.139999,73.43,3898800,72.182587
"2021-10-29",72.970001,73.82,72.910004,73.370003,3216000,72.123619
"2021-11-01",73.300003,74.059998,72.93,73.580002,3431000,72.33004
"2021-11-02",73.889999,74.730003,73.639999,74.230003,3597600,72.968994
"2021-11-03",73.830002,73.830002,71.910004,72.459999,3336200,71.229065
"2021-11-04",72.690002,73.830002,72.529999,73.800003,3280100,72.54631
"2021-11-05",74.379997,74.809998,73.040001,74.629997,4185500,73.362206
"2021-11-08",75.57,75.889999,74.220001,74.470001,3055000,73.204926
"2021-11-09",74.510002,76.529999,74.510002,76.410004,3781100,75.111969
"2021-11-10",75.900002,76.790001,75.18,76.150002,2487200,74.856392
"2021-11-11",76.190002,76.440002,75.82,76.18,1689100,74.885872
"2021-11-12",76.690002,78.279999,76.370003,78.199997,2629500,76.871552
"2021-11-15",77.839996,79.120003,77.839996,78.330002,4272600,76.999352
"2021-11-16",78.309998,80.019997,78.309998,79.690002,3468300,78.33625
"2021-11-17",79.730003,80.040001,78.949997,79.589996,3713300,78.237938
"2021-11-18",79.949997,80.419998,79.339996,80.339996,3970200,78.975204
"2021-11-19",80.279999,81.150002,80.059998,80.849998,3192600,79.47654
"2021-11-22",81.110001,81.139999,79.57,79.650002,4999700,78.296936
"2021-11-23",79.370003,80.059998,78.550003,79.199997,2889900,77.854568
"2021-11-24",78.639999,79.400002,78.410004,78.889999,2158200,77.549843
"2021-11-26",77.620003,78.25,76.949997,77.419998,1885200,76.104805
"2021-11-29",78.239998,78.800003,77.779999,78.360001,2855700,77.028839
"2021-11-30",77.900002,77.900002,74.57,74.760002,7478700,73.490005
"2021-12-01",76.389999,77.93,74.93,74.970001,3693500,73.696426
"2021-12-02",75.470001,77.110001,75.470001,76.660004,3390900,75.357727
"2021-12-03",77.099998,78.150002,76.589996,77.949997,4115500,76.625801
"2021-12-06",78.870003,79.050003,78.190002,78.190002,3186500,76.861732
"2021-12-07",79.199997,79.980003,78.400002,79.150002,2483100,77.80542
"2021-12-08",79.32,79.860001,78.919998,79.540001,2506500,78.188789
"2021-12-09",79.349998,79.970001,78.910004,78.980003,2389500,77.638306
"2021-12-10",79.139999,79.480003,78.629997,79.32,2350400,77.972527
"2021-12-13",79.470001,79.720001,78.5,78.900002,2781600,77.559669
"2021-12-14",78.440002,79.279999,77.080002,77.779999,2807400,76.458694
"2021-12-15",77.910004,78.769997,76.900002,78.639999,3444700,77.304085
"2021-12-16",79.110001,79.849998,78.629997,79.099998,2731400,77.756264
"2021-12-17",78.860001,78.959999,76.809998,77.050003,6034900,76.068062
"2021-12-20",76.190002,76.389999,74.360001,75.940002,3261700,74.972206
"2021-12-21",76.599998,77.43,75.959999,77.169998,2333000,76.186523
"2021-12-22",77.160004,77.849998,77.019997,77.669998,3738500,76.680161
"2021-12-23",78.050003,78.779999,78.010002,78.110001,1772300,77.114555
"2021-12-27",78.669998,79.760002,78.300003,79.739998,1406300,78.723778
"2021-12-28",79.739998,80.610001,79.739998,80.389999,1778100,79.365494
"2021-12-29",80.519997,81.050003,80.489998,80.989998,2728800,79.957848
"2021-12-30",81.220001,81.690002,80.879997,81,1558700,79.96772
"2021-12-31",81.080002,81.769997,80.93,81.309998,2005700,80.273773
"2022-01-03",81.18,81.449997,78.720001,79.349998,3598900,78.338745
"2022-01-04",79.949997,81.440002,79.639999,80.339996,2941500,79.316132
"2022-01-05",80.349998,80.860001,78.949997,79.029999,2944100,78.022827
"2022-01-06",79.349998,81,79.07,80.379997,2925200,79.355614
"2022-01-07",80.25,80.5,79.239998,79.269997,2759900,78.259766
"2022-01-10",78.260002,78.82,76.360001,78.410004,2832400,77.410728
"2022-01-11",78.660004,79.629997,77.610001,79.559998,2518500,78.546066
"2022-01-12",80.419998,81,79.629997,80.029999,2467900,79.010078
"2022-01-13",79.769997,80.459999,78.150002,78.43,2653300,77.430473
"2022-01-14",77.379997,77.82,75.730003,76.559998,3376400,75.584305
"2022-01-18",75.970001,75.970001,74.050003,74.739998,4331600,73.787498
