"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2021-08-10",72.139999,73.779999,72.050003,73.239998,1142200,73.157448
"2021-08-11",73.290001,74.510002,72.470001,74.459999,1218200,74.376083
"2021-08-12",74.25,74.730003,73.669998,74.32,720500,74.236237
"2021-08-13",74.529999,74.800003,73.660004,73.830002,714500,73.746788
"2021-08-16",73.389999,74.440002,72.599998,73.589996,703600,73.50705
"2021-08-17",73,73.349998,71.330002,72.150002,794200,72.068687
"2021-08-18",71.75,72.5,71.309998,71.419998,621800,71.3395
"2021-08-19",70.57,71.419998,69.57,69.839996,1261600,69.761276
"2021-08-20",69.860001,71.029999,69.5,70.959999,1270000,70.88002
"2021-08-23",71.739998,72.300003,71.309998,71.480003,781900,71.399445
"2021-08-24",71.57,73.029999,71.57,72.610001,736500,72.52816
"2021-08-25",72.779999,73.809998,72.230003,73.5,886900,73.417152
"2021-08-26",73.32,73.5,71.699997,71.739998,879900,71.659142
"2021-08-27",72.300003,73.379997,72.040001,72.889999,1430300,72.807846
"2021-08-30",73.07,73.07,71.919998,71.940002,852200,71.858925
"2021-08-31",73.779999,73.779999,72.279999,72.669998,2249200,72.588089
"2021-09-01",72.699997,72.970001,71.449997,71.940002,946600,71.858925
"2021-09-02",72.040001,73.580002,72.040001,73.379997,1053900,73.297295
"2021-09-03",73.010002,73.160004,72.370003,72.550003,658500,72.468239
"2021-09-07",72,72.75,71.209999,71.269997,825900,71.189674
"2021-09-08",71.010002,71.489998,70.5,71.199997,1215200,71.119751
"2021-09-09",70.800003,72.169998,70.739998,71.349998,1655500,71.289604
"2021-09-10",71.889999,71.970001,70.510002,70.550003,1349100,70.490288
"2021-09-13",71.339996,71.870003,70.169998,70.870003,1064100,70.81002
"2021-09-14",71.160004,71.330002,69.629997,69.839996,1243000,69.780884
"2021-09-15",69.849998,70.459999,69.199997,70.459999,1341700,70.40036
"2021-09-16",70.610001,70.800003,68.610001,68.629997,1010400,68.571907
"2021-09-17",68.5,68.970001,68.059998,68.459999,2211500,68.402054
"2021-09-20",66.669998,68.690002,66.400002,68.599998,1754800,68.541931
"2021-09-21",68.889999,69.160004,67.209999,67.75,1112700,67.692657
"2021-09-22",68.470001,70.300003,68.470001,69.660004,1087400,69.601036
"2021-09-23",70.059998,71.93,70,71.260002,1015600,71.199692
"2021-09-24",70.910004,71.760002,70.910004,71.080002,990400,71.019836
"2021-09-27",71.389999,73.300003,71.389999,72.709999,1434300,72.64846
"2021-09-28",72.779999,73.400002,71.660004,72.300003,974300,72.238808
"2021-09-29",72.889999,72.959999,71.349998,71.599998,1102200,71.539398
"2021-09-30",71.980003,72.379997,69.769997,69.809998,1231400,69.750916
"2021-10-01",70.580002,71.650002,69.610001,71.029999,1904700,70.969879
"2021-10-04",70.709999,71.949997,69.720001,70.040001,1145600,69.980721
"2021-10-05",70.32,71.330002,69.18,70.589996,1525800,70.530251
"2021-10-06",69.660004,71.860001,68.919998,71.739998,1124300,71.679283
"2021-10-07",72.32,73.690002,72.220001,73.300003,1138700,73.237961
"2021-10-08",72.529999,73.410004,71.879997,72.010002,835900,71.949051
"2021-10-11",72.230003,72.830002,71.080002,71.150002,502800,71.089783
"2021-10-12",71.110001,72.239998,70.709999,71.32,814000,71.259628
"2021-10-13",71.169998,71.620003,69.720001,71.540001,916900,71.479454
"2021-10-14",72.209999,73.32,71.75,73.169998,832500,73.10807
"2021-10-15",73.839996,74.620003,73.669998,73.949997,1273200,73.887413
"2021-10-18",73.449997,73.580002,72.5,73.209999,999600,73.148041
"2021-10-19",73.580002,73.650002,72.720001,73.339996,598100,73.277924
"2021-10-20",73.349998,74.470001,72.82,74.459999,827800,74.39698
"2021-10-21",74.150002,75.120003,73.830002,74.860001,1127200,74.796646
"2021-10-22",74.849998,75.589996,74.309998,74.620003,682000,74.556847
"2021-10-25",74.639999,74.900002,73.739998,74.260002,977500,74.197151
"2021-10-26",73.93,74.129997,72.43,72.459999,1127800,72.398674
"2021-10-27",72.459999,72.459999,70.720001,70.739998,1492900,70.68013
"2021-10-28",71.089996,73.68,71.010002,72.769997,1726300,72.708405
"2021-10-29",72.089996,74.239998,72.089996,73.849998,1087700,73.787498
"2021-11-01",74,74.599998,73.57,74.599998,1494900,74.536858
"2021-11-02",74.370003,75.550003,74,75.330002,1109200,75.266243
"2021-11-03",75.230003,77.349998,74.769997,77.18,2282300,77.114677
"2021-11-04",77,77.599998,75.959999,76.019997,1225500,75.95565
"2021-11-05",77.169998,78,76.769997,77.440002,1197500,77.374458
"2021-11-08",77.93,78.129997,75.720001,76.059998,1471600,75.995621
"2021-11-09",75.980003,76.5,75.529999,76.43,1154000,76.365311
"2021-11-10",76.290001,76.82,75.169998,75.32,976000,75.256256
"2021-11-11",75.389999,76.93,75.389999,76.870003,1171600,76.804947
"2021-11-12",76.809998,77.269997,76.639999,77.029999,626900,76.964806
"2021-11-15",77.459999,77.599998,76.25,76.57,606800,76.505196
"2021-11-16",76.5,76.75,75.68,75.730003,759000,75.665909
"2021-11-17",75.629997,75.980003,75.120003,75.419998,714300,75.356163
"2021-11-18",75.75,75.75,74.349998,75.25,718000,75.186302
"2021-11-19",74.970001,75.709999,73.739998,75.339996,1083700,75.27623
"2021-11-22",75.68,77.669998,75.449997,76.68,1160800,76.615097
"2021-11-23",77.019997,77.669998,76.010002,76.089996,823300,76.025597
"2021-11-24",75.510002,75.860001,75.239998,75.309998,773500,75.246254
"2021-11-26",72,73.019997,70.419998,72.730003,1021000,72.668442
"2021-11-29",73.610001,73.669998,71.300003,72.790001,1141200,72.728386
"2021-11-30",72.230003,72.769997,70.480003,70.800003,1869900,70.740082
"2021-12-01",72.370003,72.480003,69.110001,69.150002,1722000,69.091469
"2021-12-02",70.25,73.07,69.800003,72.720001,1417700,72.658455
"2021-12-03",72.5,73.040001,71.529999,72.25,1067200,72.188843
"2021-12-06",73.279999,74.779999,72.93,73.800003,1056900,73.737534
"2021-12-07",74.57,76.18,74.050003,75.230003,717100,75.166328
"2021-12-08",75.540001,76.269997,74.989998,75.099998,906800,75.036438
"2021-12-09",74.470001,75.32,73.779999,74.480003,937700,74.436783
"2021-12-10",75.050003,75.610001,74.75,75.410004,906500,75.366249
"2021-12-13",74.830002,75.330002,72.879997,73.129997,1171400,73.08757
"2021-12-14",73.059998,74.139999,72.650002,73.139999,1268600,73.097557
"2021-12-15",73.400002,75.230003,72.860001,75.150002,2125900,75.1064
"2021-12-16",75.510002,76.080002,74.519997,74.639999,1162100,74.596687
"2021-12-17",74.790001,75.080002,73.199997,74.080002,2539500,74.037018
"2021-12-20",72.849998,72.940002,70.940002,72.25,1398700,72.208084
"2021-12-21",73.300003,75.519997,73.089996,75.019997,981500,74.976471
"2021-12-22",75.019997,75.699997,74.690002,75,680300,74.956482
"2021-12-23",75.360001,76.25,75.010002,75.910004,752400,75.865959
"2021-12-27",75.919998,77.050003,75.449997,76.989998,728700,76.945328
"2021-12-28",76.870003,77.769997,76.720001,77.190002,611900,77.145218
"2021-12-29",76.970001,77.580002,76.529999,77.489998,955400,77.445038
"2021-12-30",77.660004,78.190002,77.129997,77.169998,540700,77.125229
"2021-12-31",77.110001,77.559998,76.830002,77.199997,680100,77.155197
"2022-01-03",77.519997,77.970001,75.830002,76.339996,1267700,76.295708
"2022-01-04",77.040001,77.839996,76.580002,77.690002,1446900,77.64492
"2022-01-05",78.25,78.849998,76.010002,76.32,1535100,76.275711
"2022-01-06",77.169998,77.360001,76.209999,76.779999,1026900,76.735451
"2022-01-07",77.040001,79.449997,76.690002,78.25,1698400,78.204597
"2022-01-10",78,78.239998,75.870003,76.75,1206500,76.705467
"2022-01-11",77.010002,77.150002,75.540001,76.5,897200,76.455612
"2022-01-12",77.25,77.540001,75.910004,76.879997,698500,76.835388
"2022-01-13",77.029999,78.139999,76.739998,77.110001,748200,77.065262
"2022-01-14",75.970001,76.849998,75.339996,76.660004,763100,76.615524
"2022-01-18",76.080002,76.169998,74.209999,75.209999,1469400,75.166359
"2022-01-19",75.440002,76.150002,74.610001,74.809998,879400,74.766594
"2022-01-20",75,75.809998,73.110001,73.239998,982600,73.197502
