"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2021-11-03",247.190002,250,245.509995,250,1171700,248.206589
"2021-11-04",250,252.660004,245.080002,247.410004,1184300,245.635162
"2021-11-05",244.979996,253.160004,244.970001,248.270004,1824600,246.489014
"2021-11-08",249.539993,249.949997,244.919998,247.630005,1233800,245.853592
"2021-11-09",248.110001,250.240005,245.539993,246.139999,1006100,244.374268
"2021-11-10",245.029999,247.800003,244,245.270004,881300,243.510513
"2021-11-11",245.300003,246.619995,240.710007,243.990005,1105800,242.2397
"2021-11-12",244.649994,247.580002,244,245.270004,734100,243.510513
"2021-11-15",245.720001,246.229996,242.360001,242.559998,983800,240.819962
"2021-11-16",243.160004,244.419998,241.559998,241.720001,1093300,239.985992
"2021-11-17",243.300003,247.169998,241.729996,243.860001,1176900,242.110641
"2021-11-18",243.699997,243.860001,241.270004,243.25,878300,241.505005
"2021-11-19",242.559998,244.479996,238.100006,239.059998,1096400,237.345078
"2021-11-22",240.059998,243.550003,239.380005,240.429993,1251300,238.705231
"2021-11-23",240.869995,242.929993,238.419998,241.669998,1037500,239.936325
"2021-11-24",241.070007,243.449997,239.529999,239.850006,1049700,238.129395
"2021-11-26",235.009995,236.649994,229.630005,231,1329800,229.342896
"2021-11-29",233.289993,235.940002,229.320007,229.919998,1612400,228.270645
"2021-11-30",228.839996,230.669998,224.720001,225.589996,3375900,223.971695
"2021-12-01",229.589996,234.410004,225.520004,225.610001,1761500,223.991562
"2021-12-02",227.179993,234.25,227.179993,232.059998,1731600,230.395294
"2021-12-03",233.949997,233.949997,228.580002,230.029999,1404200,228.379852
"2021-12-06",231.5,235.589996,230.259995,233.770004,1559900,232.093033
"2021-12-07",236.479996,241.5,235.419998,238.600006,1237600,236.888367
"2021-12-08",239.649994,241.240005,237.339996,240.509995,1103900,238.784668
"2021-12-09",239.639999,243.059998,238.399994,241.440002,1001700,239.707993
"2021-12-10",242.820007,245.360001,240.619995,243.550003,1296500,241.802856
"2021-12-13",243.100006,245.479996,242.470001,244.100006,1188200,242.827499
"2021-12-14",241.919998,246.350006,240.25,245.110001,2054300,243.832214
"2021-12-15",245.389999,253.850006,245.389999,253.830002,1747600,252.50676
"2021-12-16",255,256.779999,253,253.979996,1729000,252.65596
