"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2021-09-22",79.199997,81.970001,79.099998,80.790001,6067400,80.790001
"2021-09-23",81.330002,84.379997,80.830002,83.830002,6526500,83.830002
"2021-09-24",83.129997,86,82.190002,82.879997,8009100,82.879997
"2021-09-27",81.660004,86.889999,81.629997,85.379997,6511000,85.379997
"2021-09-28",84.879997,86.75,84.010002,84.309998,4644800,84.309998
"2021-09-29",84.839996,84.93,83.209999,83.629997,4111200,83.629997
"2021-09-30",84,85.449997,82.82,84.75,4163000,84.75
"2021-10-01",85.779999,87.5,85.040001,87.209999,4605500,87.209999
"2021-10-04",87,88.440002,83.290001,83.559998,4623800,83.559998
"2021-10-05",83.970001,86.349998,83.120003,85.050003,3642500,85.050003
"2021-10-06",84,84.900002,82.699997,84.25,3065200,84.25
"2021-10-07",85.150002,86.360001,84.080002,85.489998,2737900,85.489998
"2021-10-08",85.919998,86.970001,85.010002,86.059998,2380000,86.059998
"2021-10-11",86.139999,90.489998,86.010002,88.980003,8301500,88.980003
"2021-10-12",89.690002,92.559998,89.050003,91.440002,4933200,91.440002
"2021-10-13",91.139999,92.489998,90.230003,92.440002,3645700,92.440002
"2021-10-14",93.150002,93.849998,90.620003,91.639999,3753100,91.639999
"2021-10-15",92.629997,93.400002,90.580002,90.709999,2600700,90.709999
"2021-10-18",90.830002,92.269997,89.849998,90.800003,2066100,90.800003
"2021-10-19",91.25,91.849998,90.620003,91.620003,1879500,91.620003
"2021-10-20",91.900002,92.449997,90.050003,90.940002,2256100,90.940002
"2021-10-21",89.800003,91.470001,89.720001,91.080002,2083500,91.080002
"2021-10-22",90.790001,90.919998,88.75,89.099998,2754800,89.099998
"2021-10-25",89.440002,90.830002,88.410004,90.419998,2668000,90.419998
"2021-10-26",91.889999,94.379997,91.449997,92.160004,2915000,92.160004
"2021-10-27",92.199997,93.669998,91.629997,91.790001,2520800,91.790001
"2021-10-28",92,92.029999,90.050003,90.779999,2186300,90.779999
"2021-10-29",90.650002,91.449997,88.769997,89.800003,2958200,89.800003
"2021-11-01",90,93.919998,89.050003,93.690002,3062400,93.690002
"2021-11-02",93.440002,93.540001,90.57,91.550003,2423900,91.550003
"2021-11-03",91.089996,94.169998,90.129997,93.480003,2534800,93.480003
"2021-11-04",94.220001,94.769997,90.970001,91.099998,2876300,91.099998
"2021-11-05",93.529999,97.93,93.529999,96.919998,5371700,96.919998
"2021-11-08",98.599998,98.599998,94.589996,94.849998,3136600,94.849998
"2021-11-09",95.279999,96.379997,92.07,94.120003,4844300,94.120003
"2021-11-10",92.860001,98.360001,91.190002,92.019997,8679800,92.019997
"2021-11-11",92.18,95.419998,91.330002,94.379997,3748700,94.379997
"2021-11-12",94.25,95,92.129997,93.949997,3899900,93.949997
"2021-11-15",94.610001,98.849998,94.559998,98.050003,4317700,98.050003
"2021-11-16",98.830002,99,96.260002,97.68,2820700,97.68
"2021-11-17",97.5,98.540001,94.830002,95,2413600,95
"2021-11-18",95.150002,95.330002,89.550003,90.480003,4363300,90.480003
"2021-11-19",90.660004,92.290001,89.449997,90.709999,2608500,90.709999
"2021-11-22",92.379997,95.699997,91.690002,94.339996,4284900,94.339996
"2021-11-23",95.190002,95.5,91.309998,91.690002,3132300,91.690002
"2021-11-24",90.75,92.779999,89.940002,91.199997,1831600,91.199997
"2021-11-26",84.220001,86.389999,82.650002,85.690002,5818400,85.690002
"2021-11-29",85.779999,85.989998,82.220001,83,5145100,83
"2021-11-30",81.790001,83.879997,78.449997,81.010002,5603600,81.010002
"2021-12-01",82,83.379997,76.029999,76.059998,6859200,76.059998
"2021-12-02",78.120003,82.75,76.839996,82.290001,8029100,82.290001
"2021-12-03",81.660004,82.360001,79,80.099998,5199900,80.099998
"2021-12-06",80.919998,87.019997,80.75,84.910004,5055500,84.910004
"2021-12-07",87.769997,89.5,85.809998,86.440002,3617100,86.440002
"2021-12-08",87.989998,90.300003,87.129997,88.169998,2836200,88.169998
"2021-12-09",86.279999,88.910004,86.230003,87.529999,2068000,87.529999
"2021-12-10",87.489998,88.669998,86.360001,87.580002,1697000,87.580002
"2021-12-13",86,86.900002,83.089996,84.769997,2610200,84.769997
"2021-12-14",83,84.5,82.309998,83.32,2908600,83.32
"2021-12-15",83.110001,83.160004,79.720001,82.709999,3157600,82.709999
"2021-12-16",83.489998,83.970001,80.169998,80.559998,2985500,80.559998
"2021-12-17",79.5,82.550003,77.879997,82.269997,4516400,82.269997
"2021-12-20",80.050003,82.379997,79.410004,80.790001,2831000,80.790001
"2021-12-21",81.889999,86.730003,81.75,86.32,3648600,86.32
"2021-12-22",85.900002,87.080002,84.900002,85.870003,2241800,85.870003
"2021-12-23",90.199997,90.489998,87.269997,88.879997,3336200,88.879997
"2021-12-27",87.959999,88,85.900002,87.580002,2212800,87.580002
"2021-12-28",86.599998,88.489998,86.150002,86.459999,1758900,86.459999
"2021-12-29",86.080002,86.309998,84.32,84.980003,2440100,84.980003
"2021-12-30",84.68,87.970001,84.540001,86.150002,2457700,86.150002
"2021-12-31",85.510002,86.839996,84.889999,85.040001,2406200,85.040001
"2022-01-03",86.07,89.150002,85.980003,87.769997,2437800,87.769997
"2022-01-04",88.849998,89.199997,86.449997,87.489998,2292300,87.489998
"2022-01-05",86.639999,87.769997,83.739998,84.25,3439900,84.25
"2022-01-06",85.260002,86.099998,83.220001,84.639999,2583200,84.639999
"2022-01-07",84.580002,86.379997,84.489998,84.550003,1720400,84.550003
