"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2021-05-28",282.100006,283.049988,280.640015,282.480011,1507500,263.176483
"2021-06-01",283.359985,285.679993,281.640015,285.559998,515700,266.04599
"2021-06-02",287.119995,289.720001,285.209991,287.98999,1002500,268.309937
"2021-06-03",287.850006,289.380005,286.709991,288.850006,8e+05,269.111206
"2021-06-04",290.529999,291,287.670013,288.709991,828200,268.980743
"2021-06-07",289.690002,293.070007,288.540009,291.220001,783300,271.319214
"2021-06-08",292.100006,294.140015,291.459991,293.399994,592000,273.350281
"2021-06-09",294,295.230011,293.23999,293.839996,476500,273.760193
"2021-06-10",293.390015,295.920013,293.279999,295.470001,483800,275.278839
"2021-06-11",294.959991,296.109985,293.329987,295.809998,575000,275.595551
"2021-06-14",294,294.790009,292.040009,294.630005,528500,276.364777
"2021-06-15",294.089996,294.690002,292.23999,293.190002,451400,275.014008
"2021-06-16",293.679993,295.540009,292.100006,292.209991,744900,274.094757
"2021-06-17",292.170013,295.679993,290.410004,295.640015,625000,277.312134
"2021-06-18",296.570007,299.670013,295.869995,298.359985,2007000,279.863464
"2021-06-21",299.390015,304.48999,298.359985,303.549988,734200,284.73175
"2021-06-22",303.480011,305.589996,302.329987,302.450012,495600,283.699951
"2021-06-23",301.209991,304.929993,300.570007,303.76001,640500,284.928711
"2021-06-24",303.51001,304.670013,300.619995,301.839996,643300,283.127747
"2021-06-25",301.940002,305.049988,300.980011,304.75,718500,285.85733
"2021-06-28",305.01001,305.149994,302.540009,304.5,475100,285.622864
"2021-06-29",304.459991,305.630005,303.26001,303.480011,624100,284.666107
"2021-06-30",303.109985,305.850006,300.170013,300.690002,716000,282.049042
"2021-07-01",300.540009,302.829987,299.380005,300.339996,689700,281.720764
"2021-07-02",301.170013,303.359985,299.630005,302.720001,945200,283.953186
"2021-07-06",302.279999,308.519989,300.570007,307.940002,735500,288.849609
"2021-07-07",308.100006,309.73999,305,308.200012,1021000,289.093475
"2021-07-08",306.820007,309.98999,306.350006,307.179993,684800,288.136719
"2021-07-09",307.649994,312.029999,306.459991,311.679993,517300,292.357727
"2021-07-12",311.679993,314.579987,311.579987,313.73999,693400,294.290009
"2021-07-13",313.820007,314.320007,309.790009,310.279999,622700,291.044556
"2021-07-14",310,314.640015,310,312.980011,630100,293.577179
"2021-07-15",313.459991,314.549988,311.73999,313.480011,687900,294.046143
"2021-07-16",314.309998,315.929993,313.269989,313.940002,689200,294.477661
"2021-07-19",313.140015,313.559998,305.820007,308.519989,867800,289.393646
"2021-07-20",310.809998,313.98999,310.809998,312.190002,756400,292.836121
"2021-07-21",311.390015,311.970001,308.109985,308.290009,751000,289.177887
"2021-07-22",307.98999,310.130005,307.519989,309.25,741100,290.0784
"2021-07-23",310.200012,314.359985,309.230011,313.799988,549400,294.346283
"2021-07-26",312.73999,314.100006,310.660004,313.660004,607200,294.214996
"2021-07-27",313.929993,315.170013,311.809998,313.899994,698900,294.440063
"2021-07-28",314.440002,315.899994,311.890015,313,609000,293.595947
"2021-07-29",313.290009,314.98999,311.609985,311.809998,491400,292.479675
"2021-07-30",313.209991,316.950012,312.420013,312.480011,1041500,293.108154
"2021-08-02",314.059998,315.01001,310.920013,311.01001,770800,291.729279
"2021-08-03",311.929993,313.040009,307.140015,309.579987,1425800,290.387878
"2021-08-04",310.700012,313.619995,304.609985,306.51001,1487300,287.50824
"2021-08-05",307.799988,308.910004,304.459991,308.910004,1163500,289.75946
"2021-08-06",308.720001,311.029999,304.670013,304.730011,596800,285.838623
"2021-08-09",304.589996,310.350006,304.130005,309.779999,744300,290.5755
"2021-08-10",311.809998,314.859985,309.959991,311,835500,291.71991
"2021-08-11",311.649994,313.730011,310.359985,312,505700,292.657898
"2021-08-12",313.25,315.5,311.470001,315,578500,295.471924
"2021-08-13",315.450012,316.279999,313.220001,314.670013,560600,295.162384
"2021-08-16",315.709991,318.579987,314.149994,318.109985,688300,298.38913
"2021-08-17",317.720001,320.109985,316.290009,319.51001,706600,299.702301
"2021-08-18",318.160004,321.119995,317.839996,320.220001,1087900,300.368317
"2021-08-19",320.170013,323.709991,319.920013,322.470001,574800,302.478821
"2021-08-20",322.029999,326.440002,320.320007,324.279999,645700,304.176636
"2021-08-23",324.25,325.549988,320.980011,321.230011,633100,301.315735
"2021-08-24",321.059998,321.420013,314.859985,317.829987,749300,298.126495
"2021-08-25",316.940002,318.5,315.820007,316.380005,643600,296.766388
"2021-08-26",317.429993,319.279999,316.220001,316.269989,627300,296.663177
"2021-08-27",317.480011,318.619995,315.540009,317.690002,473600,297.995148
"2021-08-30",317.130005,320.730011,317.130005,320.549988,696500,300.677826
"2021-08-31",319.519989,324.369995,316.880005,323.609985,832500,303.548126
"2021-09-01",323.76001,330.320007,322.329987,329.690002,630300,309.251282
"2021-09-02",329.869995,331.290009,327.269989,331.040009,572900,310.517548
"2021-09-03",330.200012,331.029999,325.630005,330.76001,431100,310.254883
"2021-09-07",331.019989,331.679993,324.179993,326.700012,520200,306.446564
"2021-09-08",325.829987,332.950012,325.829987,330.529999,524600,310.039154
"2021-09-09",330.880005,330.880005,323.690002,324.170013,573500,304.073456
"2021-09-10",324.410004,326.980011,322.51001,323.230011,524700,303.191742
"2021-09-13",324.579987,326.920013,321.040009,321.200012,601700,301.287567
"2021-09-14",320.290009,320.290009,314.940002,317.420013,543500,299.607452
