"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"2021-08-25",131.380005,131.919998,130.130005,130.770004,394600,130.770004
"2021-08-26",130.789993,130.789993,129.270004,129.960007,435700,129.960007
"2021-08-27",129.949997,131.660004,129.630005,130.809998,571100,130.809998
"2021-08-30",130.710007,132.130005,130.009995,131.139999,322200,131.139999
"2021-08-31",130.610001,132.089996,130.270004,130.770004,634300,130.770004
"2021-09-01",130.970001,131.119995,128.080002,130.770004,393800,130.770004
"2021-09-02",131.389999,133.570007,130.889999,133.520004,488000,133.520004
"2021-09-03",133.520004,133.880005,132.009995,132.169998,438000,132.169998
"2021-09-07",131.169998,132.25,130.440002,130.990005,473500,130.990005
"2021-09-08",130.410004,131.119995,128.860001,129.070007,661800,129.070007
"2021-09-09",129.210007,130.470001,129,129.089996,467000,129.089996
"2021-09-10",128.740005,128.770004,123.040001,123.050003,634600,123.050003
"2021-09-13",123.660004,124.720001,122.650002,124.599998,565000,124.599998
"2021-09-14",125.18,125.18,122.080002,122.330002,619500,122.330002
"2021-09-15",122.220001,122.910004,121,121.93,823700,121.93
"2021-09-16",122.57,123.089996,120.800003,121.260002,790700,121.260002
"2021-09-17",121.040001,122.349998,121,121.550003,1703000,121.550003
"2021-09-20",120.419998,120.639999,118.019997,119.949997,851800,119.949997
"2021-09-21",120.889999,121.699997,119.43,119.849998,803900,119.849998
"2021-09-22",120.449997,122.470001,120,121.110001,649100,121.110001
"2021-09-23",121.139999,122.910004,121.139999,122.099998,758800,122.099998
"2021-09-24",121.919998,123.080002,120.769997,121,585000,121
"2021-09-27",120.480003,122.279999,120.480003,120.68,489600,120.68
"2021-09-28",119.980003,122.300003,119.980003,121.43,725200,121.43
"2021-09-29",121.370003,122.629997,119.639999,121.190002,696300,121.190002
"2021-09-30",121.889999,121.980003,116.190002,116.260002,1113300,116.260002
"2021-10-01",116.830002,117.699997,114.830002,116.949997,618600,116.949997
"2021-10-04",117.120003,118.43,115.050003,115.699997,692200,115.699997
"2021-10-05",115.690002,117,114.900002,114.989998,813500,114.989998
"2021-10-06",114.330002,114.760002,112.07,114.129997,754400,114.129997
"2021-10-07",114.580002,115.75,114.32,114.470001,603800,114.470001
"2021-10-08",114.57,115.230003,113.080002,113.220001,622100,113.220001
"2021-10-11",113.139999,114.519997,111.449997,111.540001,529900,111.540001
"2021-10-12",111.519997,112.540001,110.309998,110.739998,786900,110.739998
"2021-10-13",110.5,110.910004,109.440002,109.959999,730500,109.959999
"2021-10-14",110.650002,112.419998,108.650002,111.470001,802700,111.470001
"2021-10-15",111.800003,112.760002,111.410004,112.209999,682500,112.209999
"2021-10-18",111.940002,112.669998,110.019997,111.839996,560600,111.839996
"2021-10-19",112.559998,113.849998,111.860001,112.900002,643300,112.900002
"2021-10-20",113.709999,115.639999,113.639999,114.110001,711100,114.110001
"2021-10-21",114.330002,115.5,113.260002,115.410004,506800,115.410004
"2021-10-22",115.269997,115.849998,114.449997,115.610001,371800,115.610001
"2021-10-25",115.5,115.919998,113.510002,113.860001,498100,113.860001
"2021-10-26",113.739998,113.739998,110.389999,112.110001,653800,112.110001
"2021-10-27",112.120003,112.120003,110.510002,110.919998,562200,110.919998
"2021-10-28",111.330002,114.75,110.980003,114.099998,1124200,114.099998
"2021-10-29",106.629997,106.629997,102.080002,103.239998,2082300,103.239998
"2021-11-01",103.010002,106.360001,103,105.32,853400,105.32
"2021-11-02",105.849998,106.290001,103.589996,104.059998,915300,104.059998
"2021-11-03",103.440002,105.18,100.919998,105.150002,1118200,105.150002
"2021-11-04",105.190002,106.099998,103.75,104.260002,828200,104.260002
"2021-11-05",104.790001,112.75,104.410004,109.360001,1270500,109.360001
"2021-11-08",108.779999,109.589996,107.660004,109.379997,563900,109.379997
"2021-11-09",108.779999,109.510002,106.75,106.809998,833200,106.809998
"2021-11-10",107.050003,108.269997,105.559998,106.400002,788100,106.400002
"2021-11-11",105.980003,106.480003,104.760002,106.129997,704400,106.129997
"2021-11-12",106.82,108.459999,105.43,105.809998,560400,105.809998
"2021-11-15",106.230003,106.980003,105.529999,106.470001,804500,106.470001
"2021-11-16",106.489998,106.629997,101.43,101.559998,1078500,101.559998
"2021-11-17",100.959999,101.970001,99.019997,100.589996,1074800,100.589996
"2021-11-18",100.57,102.309998,99.839996,101.660004,840400,101.660004
"2021-11-19",101.57,101.900002,99.489998,99.550003,1150300,99.550003
"2021-11-22",99.660004,103.379997,99.43,102.669998,1273500,102.669998
"2021-11-23",102.860001,104.639999,102.190002,103.68,964100,103.68
"2021-11-24",103.019997,103.349998,101.470001,102,883700,102
"2021-11-26",101,101.720001,96.980003,97.290001,828400,97.290001
"2021-11-29",98.07,99.589996,96.75,96.910004,1041500,96.910004
"2021-11-30",96.07,97.410004,94.379997,94.5,1534900,94.5
"2021-12-01",96.169998,98.199997,94.699997,94.75,1038600,94.75
"2021-12-02",95.379997,99.120003,95.139999,98.360001,1053100,98.360001
"2021-12-03",98.639999,99.709999,97.790001,98.839996,1178300,98.839996
"2021-12-06",100.209999,103.540001,99.669998,102.099998,1036100,102.099998
"2021-12-07",102.379997,104.510002,101.849998,103.120003,1256500,103.120003
"2021-12-08",102.760002,105.580002,102.32,105.040001,1025800,105.040001
"2021-12-09",104.419998,106.019997,103.620003,105.07,725600,105.07
"2021-12-10",105.449997,106.760002,104.959999,105.809998,748500,105.809998
"2021-12-13",105.790001,106.540001,105.379997,105.639999,863000,105.639999
"2021-12-14",105.089996,107.739998,104.669998,105.07,804200,105.07
"2021-12-15",105.769997,105.82,103.82,105.160004,840000,105.160004
"2021-12-16",105.5,106.529999,105.190002,105.389999,894300,105.389999
"2021-12-17",105.760002,106.150002,103.760002,104.870003,1972800,104.870003
"2021-12-20",104.639999,106.989998,104.059998,106.93,1202200,106.93
"2021-12-21",107.93,110.220001,107.730003,108.860001,779800,108.860001
"2021-12-22",108.860001,110.410004,108.82,109.68,490900,109.68
"2021-12-23",109.639999,112.099998,109.580002,111.419998,682000,111.419998
"2021-12-27",111.419998,111.989998,110.150002,111.169998,531100,111.169998
"2021-12-28",111.080002,112.800003,111.080002,112.559998,463100,112.559998
"2021-12-29",112.379997,114.269997,112.379997,113.43,570700,113.43
"2021-12-30",113.339996,114.860001,113.199997,113.279999,465000,113.279999
"2021-12-31",113.5,114.709999,113.5,113.760002,610900,113.760002
"2022-01-03",114.07,115.589996,113.099998,115.43,630600,115.43
"2022-01-04",115.669998,116.519997,114.980003,115.389999,562800,115.389999
"2022-01-05",115.75,117.900002,113.900002,114,750000,114
"2022-01-06",114.110001,114.209999,111.059998,111.279999,663300,111.279999
"2022-01-07",110.769997,112.629997,110.410004,111.589996,689500,111.589996
"2022-01-10",112,114.010002,111.410004,113.730003,644300,113.730003
"2022-01-11",114.029999,114.519997,112.160004,114.440002,594800,114.440002
"2022-01-12",113.940002,114.790001,113.349998,113.68,374500,113.68
"2022-01-13",113.220001,115.970001,111.480003,115.290001,438800,115.290001
"2022-01-14",115.089996,116.379997,114.839996,116.32,386700,116.32
"2022-01-18",116.410004,116.959999,111.519997,111.849998,623000,111.849998
"2022-01-19",111.830002,113.120003,109.540001,109.620003,561100,109.620003
"2022-01-20",109.690002,112.040001,109.169998,109.389999,405000,109.389999
"2022-01-21",109.440002,110.889999,108.889999,109.389999,521700,109.389999
"2022-01-24",108.57,111.040001,107.239998,110.730003,663000,110.730003
"2022-01-25",111.089996,111.099998,106.010002,109.459999,708600,109.459999
"2022-01-26",109.779999,111.629997,108.419998,109.489998,585800,109.489998
"2022-01-27",109.620003,110.160004,107.739998,108.75,569000,108.75
"2022-01-28",108.139999,110.290001,107.970001,110.209999,702800,110.209999
"2022-01-31",109.529999,109.550003,105.480003,108.370003,1698400,108.370003
"2022-02-01",109.059998,110,108.379997,109.099998,644200,109.099998
"2022-02-02",108.779999,112,108.510002,111.300003,550400,111.300003
"2022-02-03",111.489998,112.209999,109.620003,109.93,543600,109.93
"2022-02-04",108.800003,110.269997,107.800003,109.339996,576900,109.339996
"2022-02-07",109.550003,110.129997,108.339996,109.010002,524100,109.010002
"2022-02-08",109.160004,111.419998,108.599998,111.260002,853200,111.260002
"2022-02-09",111.550003,112.959999,111.360001,112.93,808100,112.93
"2022-02-10",112.230003,112.889999,111.089996,111.459999,634900,111.459999
"2022-02-11",111.239998,114.080002,110.800003,111.620003,1372400,111.620003
"2022-02-14",112.120003,114.5,111.949997,113.650002,857100,113.650002
"2022-02-15",114.910004,117.110001,114.709999,116.900002,859800,116.900002
"2022-02-16",116.699997,120.32,116.129997,120,743600,120
"2022-02-17",119.120003,119.220001,117.07,117.32,710300,117.32
"2022-02-18",117.309998,118.480003,115.349998,115.489998,482600,115.489998
"2022-02-22",115,116,113.169998,114.080002,480400,114.080002
"2022-02-23",114.669998,115.019997,112.07,112.540001,512700,112.540001
"2022-02-24",110.120003,112.150002,108.82,111.889999,695800,111.889999
"2022-02-25",112.580002,115.239998,111.629997,114.599998,434800,114.599998
"2022-02-28",112.330002,113.410004,111.25,112.769997,934500,112.769997
"2022-03-01",112.040001,113.860001,109.699997,111.010002,604200,111.010002
"2022-03-02",111.730003,114.959999,111.309998,112.790001,653300,112.790001
"2022-03-03",113.089996,113.110001,111.18,112.309998,549600,112.309998
"2022-03-04",110.459999,111.529999,108.989998,110.059998,547400,110.059998
"2022-03-07",110.050003,111.129997,109.089996,109.470001,889400,109.470001
"2022-03-08",110.57,114.510002,110,111.940002,734900,111.940002
"2022-03-09",114.559998,115.099998,112.050003,112.5,644100,112.5
"2022-03-10",111.300003,112.360001,110.459999,111.419998,544700,111.419998
"2022-03-11",112.010002,112.480003,109.900002,109.970001,778200,109.970001
"2022-03-14",110.970001,111.480003,108.239998,108.699997,886100,108.699997
"2022-03-15",109.239998,110.860001,108.599998,110.629997,902700,110.629997
"2022-03-16",111.400002,112.620003,110,112.339996,644000,112.339996
