"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2021-06-08",163.949997,165.929993,163.259995,165.490005,474400,164.215027
"2021-06-09",165.080002,166.729996,163.300003,165.580002,1047200,164.304321
"2021-06-10",165.880005,167.460007,163.460007,164.199997,573900,162.934967
"2021-06-11",164.460007,165.690002,164.070007,165.25,427400,163.976868
"2021-06-14",165.410004,165.669998,163.679993,164.610001,481000,163.341812
"2021-06-15",164.600006,167.779999,163.199997,166.779999,759800,165.495087
"2021-06-16",166.949997,167.160004,164.289993,164.509995,483800,163.242554
"2021-06-17",164.919998,165.240005,157.679993,158.630005,647300,157.407883
"2021-06-18",156.610001,157.440002,155.110001,155.889999,1361000,154.68898
"2021-06-21",157.300003,160.600006,157.300003,159.690002,447900,158.459717
"2021-06-22",159.529999,161.139999,158.440002,160.350006,388900,159.114624
"2021-06-23",160.610001,161.130005,159.149994,159.240005,347300,158.013184
"2021-06-24",159.169998,160.690002,158.220001,160.490005,570500,159.253555
"2021-06-25",160.220001,162.699997,159.240005,162,1702600,160.751907
"2021-06-28",162.009995,162.320007,160.470001,161.779999,603900,160.533615
"2021-06-29",161.419998,162.259995,159.789993,161.660004,661300,160.414536
"2021-06-30",161.600006,163.389999,161.139999,162.949997,682300,161.69458
"2021-07-01",164.050003,167.529999,162.990005,166.940002,939200,165.653854
"2021-07-02",166.25,167.009995,164.639999,165.309998,527100,164.036407
"2021-07-06",165.679993,166.039993,160.190002,163.020004,650900,161.764069
"2021-07-07",163.080002,167.070007,163.080002,166.940002,611300,165.653854
"2021-07-08",165.130005,166.070007,161.509995,162.309998,658600,161.059525
"2021-07-09",164.75,166.029999,163.110001,165.779999,587000,164.502777
"2021-07-12",164.639999,166.729996,164.139999,165.449997,602100,164.175339
"2021-07-13",165.360001,167.190002,164.039993,166.910004,719800,165.6241
"2021-07-14",167.850006,172.089996,167.369995,169.630005,988100,168.323135
"2021-07-15",168.589996,170.710007,167.320007,167.759995,894700,166.467529
"2021-07-16",167.75,168.339996,162.669998,164.949997,1599300,163.679169
