"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2021-07-29",167.839996,168.080002,165.660004,167.429993,1676000,164.691238
"2021-07-30",168.850006,170.050003,168.039993,168.740005,2158300,165.979813
"2021-08-02",169.880005,172.660004,169.169998,170.350006,2584000,167.563477
"2021-08-03",170.910004,173.210007,168.899994,172.619995,2076800,169.796341
"2021-08-04",170.580002,173.300003,170.440002,172.089996,1835400,169.275009
"2021-08-05",173.210007,174.479996,169.309998,172.520004,2524800,169.697983
"2021-08-06",174.130005,175.580002,173.660004,174.970001,1802200,172.107895
"2021-08-09",175,176.360001,173.470001,175.770004,1630800,172.894821
"2021-08-10",175.600006,178.289993,175.259995,178.100006,1810700,175.186691
"2021-08-11",178.610001,181.699997,177.789993,181.080002,2283600,178.117966
"2021-08-12",181.25,182.770004,180.729996,181.679993,1576800,178.70813
"2021-08-13",181.479996,183,181.240005,182.729996,1456900,179.740967
"2021-08-16",182.369995,184.529999,181.199997,184.229996,1988200,181.216431
"2021-08-17",183.380005,186.160004,183.100006,184.710007,1914700,181.688583
"2021-08-18",183.800003,186.589996,182.929993,184.470001,2178100,181.452499
"2021-08-19",183.309998,186.039993,182.929993,185.440002,2462100,182.406631
"2021-08-20",185,186.75,184.169998,186.210007,1792700,183.164047
"2021-08-23",186.929993,187.899994,185.360001,185.490005,1687400,182.455826
"2021-08-24",185.800003,186.699997,185.160004,185.339996,1708900,182.308273
"2021-08-25",185.899994,187.660004,185.160004,186.679993,2028100,183.626343
"2021-08-26",187.059998,187.440002,184.289993,184.309998,1672300,181.29512
"2021-08-27",184.660004,186.470001,184.179993,186.320007,1561500,183.272247
"2021-08-30",186.580002,186.580002,183.809998,183.850006,837400,180.842636
"2021-08-31",183.559998,185.25,183.279999,183.919998,2077500,180.911499
"2021-09-01",183.839996,184.279999,182,183.020004,2154700,180.02623
"2021-09-02",183.289993,183.289993,181.800003,183.020004,1644900,180.02623
"2021-09-03",182.5,184.100006,181.309998,183.460007,1755400,180.45903
"2021-09-07",182.970001,183.039993,180.139999,181.770004,1673800,178.796692
"2021-09-08",181.100006,182.800003,180.630005,182.429993,1450000,179.445862
"2021-09-09",182.429993,184.070007,180.899994,181.080002,1572500,178.117966
"2021-09-10",182.300003,182.899994,179.940002,180.240005,1121200,177.291702
"2021-09-13",181.949997,183.399994,181.139999,183.339996,1386900,180.340988
"2021-09-14",183.720001,184.839996,180.839996,181.279999,1614200,178.314682
"2021-09-15",181.220001,183.789993,180.970001,182.759995,1450100,179.770477
"2021-09-16",182.389999,183.050003,180,181.139999,1340600,178.960342
"2021-09-17",183.75,184.559998,180,180.550003,5419100,178.377441
"2021-09-20",177.759995,178.570007,175.300003,177.889999,2129800,175.749451
"2021-09-21",179.050003,179.5,175.279999,175.800003,1504000,173.684601
"2021-09-22",177.660004,178.289993,176.300003,176.929993,1576100,174.800995
"2021-09-23",177.75,179.619995,177.309998,177.490005,1107600,175.354279
"2021-09-24",177.270004,178.199997,176.529999,176.75,1089700,174.623169
"2021-09-27",177.850006,179.570007,176.850006,178.429993,1018300,176.282944
"2021-09-28",177.830002,179.259995,174.820007,175.470001,1666400,173.358566
"2021-09-29",175.559998,177.289993,174.990005,176.389999,964700,174.267502
"2021-09-30",177.380005,177.710007,173.470001,173.479996,1478200,171.392502
"2021-10-01",174.050003,176.539993,172.990005,175.410004,1038500,173.299301
"2021-10-04",174.880005,177.119995,173.220001,173.610001,1648100,171.52095
"2021-10-05",174.679993,175.970001,172.75,175.149994,1960400,173.042419
"2021-10-06",173.740005,177.009995,171.960007,176.720001,1399200,174.593521
"2021-10-07",177.899994,180.289993,177.5,178.320007,1189300,176.174271
"2021-10-08",180.619995,183.059998,180.039993,182.779999,2123100,180.580612
"2021-10-11",183.089996,185.630005,182.520004,182.759995,1294000,180.560837
"2021-10-12",183.449997,183.850006,181.350006,181.630005,1031000,179.444443
"2021-10-13",181.020004,182.360001,178.080002,182.240005,1289900,180.047104
"2021-10-14",183.720001,184.809998,182.839996,183.960007,1377000,181.746414
"2021-10-15",185.669998,186.110001,181.199997,181.309998,1600000,179.128281
"2021-10-18",180.240005,180.710007,176.869995,177.699997,1295700,175.561737
"2021-10-19",179.669998,182.399994,179.419998,182.190002,1685300,179.997711
"2021-10-20",182.190002,186.179993,181.940002,185.479996,1522700,183.248108
"2021-10-21",184.899994,186.639999,184.710007,186.220001,1142100,183.979218
"2021-10-22",187.149994,188.589996,185.820007,188.110001,1387600,185.846466
"2021-10-25",188.240005,188.449997,185.669998,188.070007,1533900,185.806961
"2021-10-26",188.630005,188.630005,186.779999,187.229996,1326200,184.977051
"2021-10-27",194.240005,196.289993,189.610001,190.270004,2155200,187.980484
"2021-10-28",191.25,196.880005,191.25,196.089996,2509300,193.730438
"2021-10-29",196,197.240005,195.009995,195.380005,2636800,193.028992
"2021-11-01",196.899994,197.919998,190.770004,192.309998,1763100,189.995926
"2021-11-02",192.75,192.789993,189.869995,190.529999,2220900,188.23735
"2021-11-03",189.990005,193.919998,189.490005,192.199997,1701100,189.887253
"2021-11-04",191.529999,192.860001,189.809998,190,1753500,187.713715
"2021-11-05",191.610001,193.710007,190.210007,193.190002,1970800,190.865341
"2021-11-08",193.860001,194.600006,191.100006,191.899994,1600100,189.590866
"2021-11-09",191.419998,193.559998,191.190002,193.520004,1392500,191.191376
"2021-11-10",193.619995,195.740005,193.029999,193.050003,1633700,190.727036
"2021-11-11",192.710007,193.580002,191.649994,193.100006,1005900,190.776428
"2021-11-12",192.970001,193.509995,191.580002,192.839996,1313100,190.519547
"2021-11-15",193.350006,194.149994,192.199997,193.160004,1065400,190.835724
"2021-11-16",193.520004,194.5,192.710007,193.149994,1160900,190.825806
"2021-11-17",192.369995,193.139999,191.25,191.779999,1325700,189.472305
"2021-11-18",191.940002,193.710007,191.440002,191.929993,1745800,189.620499
"2021-11-19",191.949997,192.080002,188.229996,188.25,2076300,185.984787
"2021-11-22",189.039993,192.75,187.600006,190.759995,2074400,188.464584
"2021-11-23",192.050003,194.789993,192,192.949997,2254800,190.62822
"2021-11-24",192.330002,192.330002,190.070007,190.419998,1474600,188.128677
"2021-11-26",185.720001,187.029999,183.580002,184.550003,2271400,182.329315
"2021-11-29",186.240005,186.679993,184.100006,185.039993,2364800,182.8134
"2021-11-30",183.050003,183.880005,179.179993,179.470001,3638700,177.31044
"2021-12-01",182.449997,183.210007,175.130005,175.139999,3138300,173.032532
"2021-12-02",177.029999,182.949997,177.029999,182.360001,2531900,180.165665
"2021-12-03",181.779999,182.970001,179.509995,181.460007,2476500,179.276489
"2021-12-06",184.149994,189.339996,183.490005,187.529999,1691300,185.273438
