"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2021-07-20",103.360001,107.080002,103.209999,106.580002,2783500,106.580002
"2021-07-21",107.279999,107.32,105.300003,106.050003,2109700,106.050003
"2021-07-22",106.309998,107.099998,105.589996,107.059998,1195100,107.059998
"2021-07-23",108.080002,109.669998,107.440002,109.400002,2527900,109.400002
"2021-07-26",109.010002,109.150002,107.879997,108.889999,2576000,108.889999
"2021-07-27",109.010002,110.139999,108.800003,109.900002,1781700,109.900002
"2021-07-28",110,110.779999,109.389999,110.059998,1592800,110.059998
"2021-07-29",110.330002,111.959999,109.959999,111.620003,3439000,111.620003
"2021-07-30",113.379997,114.230003,109.830002,112.269997,3518100,112.269997
"2021-08-02",112.419998,113.839996,112.080002,113.279999,2274800,113.279999
"2021-08-03",113.32,114.739998,113.050003,114.699997,2088100,114.699997
"2021-08-04",114.669998,114.989998,113.540001,114.459999,2079300,114.459999
"2021-08-05",115,115.599998,113.18,114.779999,1652600,114.779999
"2021-08-06",114.5,115.400002,113.959999,115.209999,1594100,115.209999
"2021-08-09",115.540001,115.830002,113.800003,114.330002,1594900,114.330002
"2021-08-10",114.389999,114.660004,111.760002,111.949997,2390400,111.949997
"2021-08-11",112.110001,112.279999,110.82,111.139999,1805500,111.139999
"2021-08-12",111.209999,112.25,110.970001,111.769997,1313400,111.769997
"2021-08-13",111.790001,113.18,111.309998,113.150002,1958900,113.150002
"2021-08-16",113.050003,114.419998,112.730003,114.360001,1996000,114.360001
"2021-08-17",113.900002,117.410004,113.75,117.260002,2689200,117.260002
"2021-08-18",117.510002,118.18,116.18,116.260002,2000400,116.260002
"2021-08-19",115.519997,118.309998,115.309998,117.949997,1258800,117.949997
"2021-08-20",118.019997,119.330002,117.309998,118.949997,1470400,118.949997
"2021-08-23",119.540001,119.940002,116.900002,116.959999,2315800,116.959999
"2021-08-24",116.449997,118.709999,115.669998,118.089996,2086400,118.089996
"2021-08-25",117.830002,118,116.349998,117.019997,1958400,117.019997
"2021-08-26",116.790001,117.110001,116.089996,116.959999,1645300,116.959999
"2021-08-27",117.559998,117.709999,116.089996,116.389999,1611300,116.389999
"2021-08-30",116.870003,118.480003,116.540001,118.040001,1429900,118.040001
"2021-08-31",118,118.720001,116.370003,117.18,2322800,117.18
"2021-09-01",117.5,119.589996,116.839996,119.43,1795000,119.43
"2021-09-02",120,120.940002,119.699997,120.610001,1913000,120.610001
"2021-09-03",120.260002,121.370003,119.940002,121.07,1280800,121.07
"2021-09-07",120.82,122.120003,119.699997,121.989998,1907200,121.989998
"2021-09-08",121.260002,123.269997,120.910004,122.75,1678000,122.75
"2021-09-09",122.879997,123,121.860001,122.080002,1553900,122.080002
"2021-09-10",122.589996,123,120.580002,120.889999,1869800,120.889999
"2021-09-13",121.580002,121.800003,117.849998,119.349998,1537900,119.349998
"2021-09-14",120.449997,121.339996,119.410004,120.940002,1589700,120.940002
"2021-09-15",120.629997,121.889999,119.93,121.019997,1864600,121.019997
"2021-09-16",121.480003,121.599998,119.519997,120.690002,1906600,120.690002
"2021-09-17",116.849998,119.669998,116.849998,119.419998,3695300,119.419998
"2021-09-20",118.169998,118.93,116.360001,117.989998,2448400,117.989998
"2021-09-21",118.949997,120.150002,118.419998,118.5,1360200,118.5
"2021-09-22",118.639999,120.410004,118.029999,119.660004,1579200,119.660004
"2021-09-23",120.360001,121.790001,119.650002,121.019997,1518400,121.019997
"2021-09-24",120.459999,120.900002,119.099998,120.07,1672500,120.07
"2021-09-27",119.309998,119.830002,115.760002,117.07,1804700,117.07
"2021-09-28",115.709999,115.790001,112.959999,113.860001,2422900,113.860001
"2021-09-29",114.230003,115.400002,113.290001,113.519997,2934400,113.519997
"2021-09-30",114,115.489998,113.169998,113.209999,2987300,113.209999
"2021-10-01",113.32,113.580002,110.639999,112.279999,4396100,112.279999
"2021-10-04",111.720001,111.959999,105.660004,106.370003,5127900,106.370003
"2021-10-05",106.959999,110.580002,106.830002,108.830002,2851800,108.830002
"2021-10-06",107.910004,109.599998,107.540001,109.480003,2250600,109.480003
"2021-10-07",110.769997,112.519997,110.709999,110.889999,2289600,110.889999
"2021-10-08",110.910004,111.18,108.620003,108.730003,1962400,108.730003
"2021-10-11",108,109.360001,107.699997,108.489998,1762900,108.489998
"2021-10-12",109.330002,109.849998,108.18,108.809998,1534100,108.809998
"2021-10-13",109.32,110.610001,109.019997,109.099998,2151600,109.099998
"2021-10-14",111.080002,113,110.690002,111.57,1656000,111.57
"2021-10-15",111.959999,112.489998,111.540001,112.160004,1666900,112.160004
"2021-10-18",110.910004,111.529999,109.639999,111.089996,1813900,111.089996
"2021-10-19",112.050003,115.690002,111.940002,115,2154200,115
"2021-10-20",115.75,116.260002,114.339996,115.599998,2026600,115.599998
"2021-10-21",115.540001,116.080002,114.75,115.739998,1764600,115.739998
"2021-10-22",115.93,116.970001,115.510002,116.589996,1963300,116.589996
"2021-10-25",116.93,118.07,115.589996,117.300003,1876900,117.300003
"2021-10-26",117.699997,117.839996,116.360001,116.989998,1661700,116.989998
"2021-10-27",116.599998,116.900002,114.690002,116.07,1785600,116.07
"2021-10-28",110,116.839996,110,116.510002,4373900,116.510002
"2021-10-29",115.769997,120.110001,114.379997,119.82,3340900,119.82
"2021-11-01",120.410004,120.620003,115.239998,115.559998,3219700,115.559998
"2021-11-02",115.889999,117.25,114.889999,116.940002,2822500,116.940002
"2021-11-03",117.099998,117.860001,115.349998,117.25,2166900,117.25
"2021-11-04",117.730003,118.32,116.529999,117.370003,1724200,117.370003
"2021-11-05",116.629997,119.089996,116.400002,118.650002,2214500,118.650002
"2021-11-08",119.400002,119.800003,118.540001,119.540001,1449800,119.540001
"2021-11-09",119.230003,120.489998,118.919998,120.040001,1553400,120.040001
"2021-11-10",119.790001,120.790001,118.379997,118.769997,1665300,118.769997
"2021-11-11",119,119.160004,114.040001,114.309998,2471200,114.309998
"2021-11-12",114.889999,116.529999,114.610001,116,1772100,116
"2021-11-15",116.349998,117.139999,115.610001,116.690002,1704000,116.690002
"2021-11-16",116.809998,119.540001,116.129997,119.040001,2285700,119.040001
"2021-11-17",119.080002,119.5,117.239998,118.349998,2062300,118.349998
"2021-11-18",118.879997,118.879997,116.379997,117.029999,1741500,117.029999
"2021-11-19",117.620003,117.82,116.010002,117.029999,2438300,117.029999
"2021-11-22",117.389999,117.75,114.790001,114.839996,1848300,114.839996
"2021-11-23",114.139999,115,111.300003,112.629997,2391800,112.629997
"2021-11-24",112.230003,114.870003,112.230003,114.489998,2147900,114.489998
"2021-11-26",114.139999,114.860001,109.25,109.519997,2249400,109.519997
"2021-11-29",110.580002,112.879997,110.199997,110.709999,3791100,110.709999
"2021-11-30",110.059998,111.559998,107.120003,107.309998,6271400,107.309998
"2021-12-01",108.410004,109.949997,107.260002,107.43,3497900,107.43
"2021-12-02",107.629997,110.300003,107.120003,109.82,2527300,109.82
"2021-12-03",110.690002,111.440002,107.150002,108.480003,3146800,108.480003
"2021-12-06",110.5,113.099998,108.790001,111.959999,2643600,111.959999
"2021-12-07",113.769997,116.43,113.370003,115.519997,2727000,115.519997
"2021-12-08",116.040001,119.620003,115.699997,119.459999,3381100,119.459999
"2021-12-09",120,121.919998,119.489998,120.339996,2841200,120.339996
"2021-12-10",121.489998,122.339996,120.550003,121.839996,2227600,121.839996
"2021-12-13",121.830002,122.029999,120.269997,120.739998,1757900,120.739998
"2021-12-14",119.489998,119.489998,115.739998,116.900002,2275200,116.900002
"2021-12-15",118.779999,120.389999,117.059998,119.910004,2531000,119.910004
"2021-12-16",120.629997,122.5,118.879997,119.57,2866600,119.57
"2021-12-17",121.239998,123.559998,120.419998,122.120003,6488800,122.120003
"2021-12-20",120.440002,120.959999,117.879997,120.029999,3263500,120.029999
"2021-12-21",121.07,124.559998,120.870003,124.400002,2223600,124.400002
"2021-12-22",124.199997,128.020004,124.199997,127.830002,2185700,127.830002
"2021-12-23",128,129.119995,127.650002,128.570007,1732200,128.570007
"2021-12-27",129.070007,130.600006,128.179993,130.580002,1254000,130.580002
"2021-12-28",130.830002,130.899994,128.979996,129.350006,1298100,129.350006
"2021-12-29",129.669998,131.190002,129.600006,130.639999,1137400,130.639999
"2021-12-30",130.820007,131.729996,130.389999,130.679993,1112400,130.679993
"2021-12-31",130.309998,130.940002,129.270004,129.550003,1193700,129.550003
"2022-01-03",129.070007,129.509995,126.43,128.339996,1765700,128.339996
"2022-01-04",128.369995,129.529999,126.940002,127.889999,2020300,127.889999
"2022-01-05",127.550003,128.360001,123.919998,123.919998,2201700,123.919998
"2022-01-06",124.349998,125.400002,122.970001,123.230003,2602100,123.230003
"2022-01-07",122.160004,123.809998,121.019997,122.300003,2172000,122.300003
"2022-01-10",120.529999,121.220001,117.720001,120.120003,2652600,120.120003
"2022-01-11",120.599998,122.190002,118.540001,121.940002,2389400,121.940002
"2022-01-12",121.190002,123.769997,121.190002,122.260002,2006900,122.260002
"2022-01-13",122.57,122.900002,120.050003,120.459999,1696000,120.459999
"2022-01-14",119.440002,120.209999,116.699997,118.260002,2112800,118.260002
"2022-01-18",115,116.519997,114.169998,115.830002,2601200,115.830002
"2022-01-19",116.25,118.150002,115.970001,116.160004,2245300,116.160004
"2022-01-20",117.199997,119.559998,115.339996,115.559998,1825500,115.559998
"2022-01-21",115.519997,115.550003,112.230003,112.650002,3144900,112.650002
"2022-01-24",110.300003,110.75,105.139999,110.599998,4692000,110.599998
"2022-01-25",107.940002,111.120003,106.529999,109.489998,3211900,109.489998
"2022-01-26",111.050003,112.160004,107.370003,108.629997,3144300,108.629997
"2022-01-27",100,106.040001,99.620003,101.959999,6876000,101.959999
"2022-01-28",102.370003,105.019997,96.389999,104.870003,3828600,104.870003
"2022-01-31",105.32,109.410004,105,109.199997,3398300,109.199997
"2022-02-01",109.589996,110.540001,107.019997,108.370003,3731900,108.370003
"2022-02-02",111.790001,112.989998,109.769997,112.839996,3385300,112.839996
"2022-02-03",110.800003,113.910004,110.589996,111.589996,2655300,111.589996
"2022-02-04",110.599998,113.209999,110.260002,112.18,2303700,112.18
"2022-02-07",111.599998,113.339996,110.610001,111.129997,1833500,111.129997
"2022-02-08",110.349998,111.809998,108.830002,111.419998,3798300,111.419998
"2022-02-09",113.040001,114.120003,111.959999,112.589996,3025500,112.589996
"2022-02-10",110.160004,112.769997,110.059998,110.639999,2338200,110.639999
"2022-02-11",110.800003,112,108.82,109,2797300,109
"2022-02-14",108.339996,109.480003,106.419998,107.730003,2405100,107.730003
"2022-02-15",108.550003,110.970001,108.550003,110.93,3034700,110.93
"2022-02-16",110.209999,111.110001,108.5,110.660004,2823700,110.660004
"2022-02-17",109.639999,109.800003,106.699997,106.879997,2269000,106.879997
"2022-02-18",106.660004,107.269997,104.910004,105.620003,2525600,105.620003
"2022-02-22",104.989998,107.269997,104.809998,105.940002,2074600,105.940002
"2022-02-23",106.459999,107.599998,105.07,105.330002,2235000,105.330002
"2022-02-24",103.260002,110.040001,102.57,109.639999,3112000,109.639999
"2022-02-25",109.580002,113.110001,108.550003,113.029999,2157300,113.029999
"2022-02-28",111.07,113.139999,110.290001,112.370003,3072400,112.370003
"2022-03-01",112.349998,112.970001,110.550003,111.610001,2001300,111.610001
"2022-03-02",112.510002,112.82,110.830002,111.379997,2486500,111.379997
"2022-03-03",112.309998,113.400002,110.32,111.980003,2405400,111.980003
"2022-03-04",111.360001,111.459999,108.470001,110.639999,2280400,110.639999
"2022-03-07",110.330002,110.809998,107.220001,108.349998,1887500,108.349998
"2022-03-08",107.599998,107.769997,101.839996,102,3553200,102
"2022-03-09",104.910004,106.379997,103.230003,105.910004,3320800,105.910004
"2022-03-10",104.089996,106,104.07,105.699997,2091400,105.699997
"2022-03-11",106.809998,106.980003,103.400002,103.449997,2030400,103.449997
"2022-03-14",104.209999,105.150002,100.970001,102.25,2391300,102.25
"2022-03-15",104.709999,106.220001,103.830002,106.150002,2251100,106.150002
"2022-03-16",108.419998,109.839996,106.620003,109.790001,2144500,109.790001
"2022-03-17",109.120003,112.610001,109.050003,112.540001,1952000,112.540001
"2022-03-18",113.010002,113.230003,111.080002,112.769997,3975600,112.769997
"2022-03-21",112,113.419998,110.480003,111.550003,1683200,111.550003
"2022-03-22",110.25,113.5,109.269997,112.949997,3011300,112.949997
"2022-03-23",110.389999,111.599998,106.779999,107.199997,2827300,107.199997
"2022-03-24",108.519997,109.5,107.169998,109.459999,1833000,109.459999
"2022-03-25",110.309998,112.449997,109.830002,112.370003,1689900,112.370003
"2022-03-28",112.489998,114.160004,111.5,114.129997,1926700,114.129997
"2022-03-29",115.309998,116.800003,114.940002,116.75,2249300,116.75
"2022-03-30",116.449997,118.419998,116.050003,117.089996,2099100,117.089996
"2022-03-31",118,120.43,117.300003,117.720001,3721700,117.720001
"2022-04-01",119.5,123.57,118.75,123.07,4770500,123.07
"2022-04-04",122.199997,123.199997,118.839996,120.279999,2310300,120.279999
"2022-04-05",120.089996,122.32,119.559998,120.220001,2225900,120.220001
"2022-04-06",119.309998,120.690002,117.150002,120.360001,2049200,120.360001
"2022-04-07",120.300003,124.300003,119.669998,123.739998,2981200,123.739998
"2022-04-08",123.07,125.110001,122.360001,123.919998,2829400,123.919998
"2022-04-11",122.959999,123.400002,119.739998,121.5,2501100,121.5
"2022-04-12",122.290001,123.989998,120.059998,120.839996,1970300,120.839996
"2022-04-13",121.330002,122.32,119.910004,121.910004,1674100,121.910004
"2022-04-14",122.279999,122.5,119.589996,120.019997,2361300,120.019997
"2022-04-18",119.93,120.730003,118.57,119.279999,1541100,119.279999
"2022-04-19",119.43,124.93,119.43,124.519997,3020600,124.519997
"2022-04-20",125.089996,129.330002,124.720001,128.270004,3256700,128.270004
"2022-04-21",129.070007,131.100006,125.440002,125.610001,3814300,125.610001
"2022-04-22",124.010002,124.190002,118.080002,118.379997,3237100,118.379997
"2022-04-25",118,119.900002,116.639999,119.800003,2830300,119.800003
"2022-04-26",118.669998,119.889999,116.010002,116.269997,3479200,116.269997
"2022-04-27",114,115.690002,109.669998,109.800003,6463100,109.800003
"2022-04-28",110.160004,110.790001,107.199997,109.769997,3281500,109.769997
"2022-04-29",108.669998,110.099998,105.389999,105.779999,3274700,105.779999
