"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2021-08-31",73.68,74.620003,73.32,73.699997,14807400,73.274933
"2021-09-01",74.32,74.32,73.019997,73.720001,14007100,73.29483
"2021-09-02",73.209999,74.010002,72.309998,73.989998,14803300,73.563271
"2021-09-03",74,74.720001,73.599998,73.809998,9222500,73.3843
"2021-09-07",73.760002,74.489998,73.160004,73.639999,12028400,73.215279
"2021-09-08",73.199997,73.239998,71.110001,72.269997,17375500,71.85318
"2021-09-09",71.629997,73.269997,71.419998,72.870003,14638100,72.449722
"2021-09-10",73.769997,75.629997,73.459999,73.5,18240600,73.076088
"2021-09-13",74.559998,75.220001,73.519997,74.349998,15796700,73.921196
"2021-09-14",73.790001,74.120003,72.910004,73.489998,13945100,73.066154
"2021-09-15",72.949997,73.93,71.760002,73.82,15258800,73.394249
"2021-09-16",73.300003,74.959999,72.779999,74.629997,12867700,74.199577
"2021-09-17",74.410004,74.5,73.32,74.300003,20449600,73.87149
"2021-09-20",72.599998,72.760002,71.190002,72.370003,23228300,71.952606
"2021-09-21",72.919998,73.129997,71.660004,72.139999,16026800,71.72393
"2021-09-22",73.040001,74.580002,72.639999,73.970001,16996100,73.543388
"2021-09-23",73.610001,74.790001,73.25,74.040001,17304500,73.612976
"2021-09-24",73.300003,74.5,73.07,74.050003,14804300,73.622932
"2021-09-27",73.650002,75.879997,73.510002,75.18,18435200,74.746399
"2021-09-28",74.5,74.989998,73.059998,73.099998,27311500,72.678398
"2021-09-29",71.160004,73.32,70.220001,71.639999,38169200,71.226814
"2021-09-30",72.199997,72.599998,70.860001,70.980003,16923300,70.669273
"2021-10-01",71.339996,71.57,70.099998,70.989998,17813800,70.67923
"2021-10-04",70.599998,71.57,70.360001,70.620003,19525700,70.310852
"2021-10-05",71.209999,71.209999,69.610001,70.5,14512100,70.191376
"2021-10-06",69.800003,70.379997,69.029999,69.940002,17899300,69.633827
"2021-10-07",70.400002,71.669998,70.120003,70.540001,15236100,70.231209
"2021-10-08",70.93,70.940002,69.699997,70.120003,13666200,69.813042
"2021-10-11",69.900002,70.360001,69.18,69.220001,12700200,68.916977
"2021-10-12",69.389999,69.43,65.669998,66.720001,36911700,66.427925
"2021-10-13",66.739998,67.419998,66.230003,66.379997,17532400,66.089409
"2021-10-14",67.279999,68.080002,66.809998,67.800003,15541600,67.503197
"2021-10-15",68.089996,68.459999,67.480003,67.68,11786100,67.38372
"2021-10-18",67.010002,67.629997,66.290001,67.260002,11849300,66.965561
"2021-10-19",67.370003,67.889999,66.639999,67.57,16930300,67.2742
"2021-10-20",67.199997,69.199997,67.010002,68.269997,19457800,67.97113
"2021-10-21",67.949997,68.699997,67.669998,68.639999,11140700,68.339523
"2021-10-22",68.510002,69.089996,67.080002,67.510002,17892100,67.214462
"2021-10-25",69.620003,71.120003,68.540001,68.760002,23341300,68.458992
"2021-10-26",69.370003,69.82,68.470001,68.940002,14267900,68.638206
"2021-10-27",68.519997,68.690002,67.449997,68.239998,13541900,67.941269
"2021-10-28",69.290001,70.349998,69.18,69.580002,16966000,69.275406
"2021-10-29",68.389999,69.550003,68.040001,69.099998,11440900,68.797508
"2021-11-01",68.970001,70.970001,68.940002,70.699997,11988400,70.390495
"2021-11-02",70.489998,70.849998,70.040001,70.760002,9761100,70.450241
"2021-11-03",70.720001,71.330002,70.260002,71.25,10266900,70.938087
"2021-11-04",72.370003,72.480003,71.040001,72.239998,15936600,71.923759
"2021-11-05",73,73.739998,72.360001,72.919998,13019300,72.600777
"2021-11-08",73.32,75.029999,73.120003,74.559998,18742300,74.233597
"2021-11-09",75.099998,76.269997,74.559998,75.589996,20127300,75.259094
"2021-11-10",74.160004,75.150002,73.199997,73.410004,15228300,73.088638
"2021-11-11",74.019997,74.959999,73.620003,74.550003,12192600,74.223656
"2021-11-12",75.019997,78.019997,74.949997,77.300003,26553200,76.961609
"2021-11-15",77.760002,78.279999,76.599998,76.779999,12650700,76.443878
"2021-11-16",76.559998,77.150002,75.779999,76.809998,11807600,76.473747
"2021-11-17",76.480003,76.57,75.190002,75.459999,11600500,75.129662
"2021-11-18",76.900002,77.5,75.75,77.019997,16848200,76.682831
"2021-11-19",78.93,83.860001,78.93,83.029999,47216100,82.666519
"2021-11-22",83.660004,87.669998,83.660004,83.860001,34775200,83.492889
"2021-11-23",85.040001,87.709999,84.330002,85.410004,31823300,85.03611
"2021-11-24",84.75,87.160004,84.610001,86.209999,21666100,85.832596
"2021-11-26",83.129997,84.050003,81.980003,83.419998,16487200,83.05481
"2021-11-29",84.379997,86.269997,84.160004,86.139999,18889800,85.762909
"2021-11-30",85.580002,86.919998,83.949997,84,27301000,83.632271
"2021-12-01",86.550003,89.050003,85,85.150002,31633400,84.777245
"2021-12-02",82.629997,83.589996,81.349998,82.879997,22994500,82.517174
"2021-12-03",83.709999,84.43,80.639999,81.620003,19167200,81.262703
"2021-12-06",81.830002,83.230003,80.529999,82.449997,15094900,82.089058
"2021-12-07",84.419998,87.040001,84.330002,85.830002,21716900,85.454269
"2021-12-08",85.440002,86.339996,84.029999,86.019997,12908500,85.643425
"2021-12-09",85.300003,86.540001,84.629997,84.93,11964300,84.558212
"2021-12-10",84.339996,85.68,84.129997,85.540001,11955900,85.165535
"2021-12-13",86.610001,87.379997,84.199997,84.349998,13054400,83.980743
"2021-12-14",83.220001,84.769997,82.910004,83.290001,12082500,82.925385
"2021-12-15",83.480003,85.790001,82.059998,85.660004,13971500,85.285011
"2021-12-16",85.879997,86.32,82.129997,82.690002,16503200,82.328011
