"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2021-06-15",165.229996,165.860001,164.389999,164.490005,5062900,160.387436
"2021-06-16",164.800003,165.75,163.479996,164.429993,6988500,160.328903
"2021-06-17",164.190002,165.699997,163.5,165.220001,5874700,161.099213
"2021-06-18",163.270004,164.190002,161.789993,161.979996,12993000,157.940002
"2021-06-21",162.770004,164.259995,162.25,163.839996,6592300,159.753632
"2021-06-22",163.710007,164.039993,163.279999,163.619995,5627800,159.539124
"2021-06-23",163.690002,163.690002,162.479996,162.630005,4493400,158.573807
"2021-06-24",163.270004,164.199997,162.800003,163.369995,4549200,159.295334
"2021-06-25",162.940002,164.779999,162.889999,164.210007,10963800,160.114395
"2021-06-28",164.440002,165.070007,163.520004,164.020004,5604000,159.929153
"2021-06-29",164,164.639999,163.410004,164.029999,3749500,159.938904
"2021-06-30",164,164.970001,163.669998,164.740005,6151700,160.63118
"2021-07-01",164.740005,166.009995,164.630005,165.960007,6320200,161.82077
"2021-07-02",166.020004,169.300003,165.639999,168.979996,9059900,164.765427
"2021-07-06",167.910004,168.860001,166.990005,167.970001,6098500,163.780624
"2021-07-07",167.479996,169.5,167.479996,169.410004,6293500,165.184708
"2021-07-08",168.699997,169.460007,167.580002,169.080002,5755500,164.862946
"2021-07-09",169.369995,170.369995,169.240005,169.75,6120900,165.516235
"2021-07-12",169.729996,171.179993,168.539993,169.479996,7840500,165.252945
"2021-07-13",168.970001,169.759995,168.669998,169.270004,4691200,165.048203
"2021-07-14",170,170.830002,169.039993,170.419998,6162900,166.16951
"2021-07-15",169.300003,169.899994,167.720001,168.369995,6656900,164.170654
"2021-07-16",168.339996,169.089996,167.949997,168.100006,5834900,163.907379
"2021-07-19",166.479996,168.190002,165.320007,166.880005,8219700,162.717804
"2021-07-20",166.899994,170.809998,166.839996,168.449997,9902800,164.248642
"2021-07-21",169.300003,169.690002,167.479996,169.490005,7585200,165.262726
"2021-07-22",169.360001,171.070007,168.649994,169.979996,5281900,165.740479
"2021-07-23",171,172.179993,170.380005,171.789993,5014900,167.505325
"2021-07-26",171.820007,172.139999,170.860001,171.869995,4484900,167.583344
"2021-07-27",171.800003,172.720001,170.669998,172.660004,7089300,168.353653
"2021-07-28",172.729996,173.380005,172.080002,172.179993,5750700,167.885605
"2021-07-29",172.740005,173.339996,171.089996,172.179993,4214100,167.885605
"2021-07-30",172.539993,172.979996,171.839996,172.199997,5346400,167.905121
"2021-08-02",172.470001,172.839996,171.300003,172.270004,3721500,167.973389
"2021-08-03",172.729996,174.5,172.440002,174.389999,6033000,170.040497
"2021-08-04",174.199997,174.589996,173.259995,173.360001,4793100,169.036194
"2021-08-05",173.850006,173.850006,172.419998,173.690002,4291000,169.357956
"2021-08-06",173.940002,173.940002,172.449997,173.110001,4581100,168.792419
"2021-08-09",173.720001,174.25,172.929993,173.710007,3950200,169.377457
"2021-08-10",173.259995,174.110001,172.779999,173.770004,3678300,169.435959
"2021-08-11",174.25,174.470001,173.559998,173.800003,4221300,169.465225
"2021-08-12",173.820007,175.289993,173.589996,175.199997,4300400,170.830292
"2021-08-13",175.289993,176.289993,175.119995,176.25,5882100,171.854111
"2021-08-16",176.550003,177.889999,175.949997,177.839996,4782800,173.404449
"2021-08-17",177.309998,179.509995,177.309998,179.470001,6041900,174.993805
"2021-08-18",179.5,179.5,177.130005,177.190002,7134100,172.770676
"2021-08-19",176.619995,179.330002,176.070007,178.570007,5615000,174.116272
"2021-08-20",178.889999,179.919998,178.070007,179.440002,5428700,174.964539
"2021-08-23",178.389999,178.929993,177.539993,177.610001,6461700,174.209274
"2021-08-24",176.990005,177.210007,175.279999,175.389999,5734800,172.031784
"2021-08-25",175.690002,175.899994,173.889999,174.229996,5700300,170.893997
"2021-08-26",173.949997,174.720001,173.050003,173.300003,5031600,169.981812
"2021-08-27",174.279999,174.279999,172.75,172.929993,7046100,169.618881
"2021-08-30",172.789993,174.279999,172.779999,173.660004,3252700,170.33493
"2021-08-31",173.490005,174.490005,172.479996,173.130005,7106800,169.815079
"2021-09-01",172.899994,173.740005,172.059998,173.740005,5327400,170.413406
"2021-09-02",174.339996,175.190002,173.910004,174.929993,4544300,171.580582
"2021-09-03",175.100006,175.220001,173.809998,175.039993,4096900,171.688492
"2021-09-07",174.350006,175.029999,171.669998,172.320007,6859900,169.020569
"2021-09-08",171.619995,172.979996,171.080002,171.899994,4661700,168.608612
"2021-09-09",171.190002,171.479996,167.699997,168.070007,7114600,164.851959
"2021-09-10",168.550003,169.089996,166.869995,166.970001,6699300,163.77301
"2021-09-13",167.919998,168.119995,165.130005,165.800003,6273500,162.625427
"2021-09-14",166.399994,166.539993,164.509995,164.800003,5259600,161.644562
"2021-09-15",165,165.960007,164.309998,165.419998,7935300,162.252686
"2021-09-16",165.649994,166.460007,164.190002,165.220001,5665400,162.056519
"2021-09-17",164.300003,164.910004,163.559998,164.75,13419800,161.59552
"2021-09-20",163.479996,165.169998,162.169998,163.809998,7270800,160.673523
"2021-09-21",164.610001,165.979996,164.240005,164.529999,6663600,161.379715
"2021-09-22",165.350006,165.949997,163.630005,163.929993,5657100,160.791214
"2021-09-23",164.399994,165.770004,164.149994,164.860001,4697900,161.703415
"2021-09-24",164.75,165.649994,163.889999,164.360001,4399300,161.212982
"2021-09-27",164,164.360001,162.850006,163.169998,5775500,160.045761
"2021-09-28",163.100006,163.910004,161.770004,162.809998,7610400,159.692673
"2021-09-29",163,164.660004,162.779999,164.020004,5124100,160.879501
"2021-09-30",164.639999,165.399994,161.410004,161.5,6972300,158.407761
"2021-10-01",161.529999,161.899994,158.619995,160.470001,8568300,157.397461
"2021-10-04",159.990005,161,157.669998,159.220001,8620700,156.171402
"2021-10-05",159.860001,161.110001,159.149994,159.580002,5129000,156.524506
"2021-10-06",159.869995,159.949997,157.839996,159.910004,7312600,156.84819
"2021-10-07",160.020004,162.610001,160.020004,161.339996,5309200,158.250809
"2021-10-08",161.320007,161.610001,160.25,160.929993,4343200,157.848648
"2021-10-11",160.860001,161.850006,159.940002,160.25,4101600,157.181686
"2021-10-12",160,160.179993,157.339996,157.690002,6686400,154.6707
"2021-10-13",157.820007,160.080002,157.75,159.199997,6901100,156.151794
"2021-10-14",159.710007,161.139999,159.600006,160.110001,4579200,157.044357
"2021-10-15",161.029999,161.809998,160.410004,161.300003,6918400,158.211578
"2021-10-18",160.25,160.889999,159.199997,160.119995,7465500,157.054169
"2021-10-19",160.899994,165.149994,160.729996,163.869995,10081300,160.732361
"2021-10-20",163.979996,164.75,163.259995,163.779999,6003200,160.644089
"2021-10-21",164.300003,164.389999,162.279999,163.399994,4524100,160.271362
"2021-10-22",163.059998,164.059998,162.960007,163.720001,4304300,160.585251
"2021-10-25",163.720001,164.309998,161.710007,164.080002,6715400,160.938339
"2021-10-26",164.559998,166.029999,164.050003,165.75,6939100,162.57637
"2021-10-27",165.679993,165.759995,163.309998,163.740005,7018800,160.604843
"2021-10-28",163.770004,165.199997,162.320007,162.850006,6278800,159.731903
"2021-10-29",162.350006,163.25,160.610001,162.880005,8526800,159.761337
"2021-11-01",163.160004,163.979996,159.399994,163.020004,5846400,159.898636
"2021-11-02",163.699997,166.979996,162.979996,165.589996,8450600,162.419418
"2021-11-03",165.039993,165.770004,163.429993,165.059998,6717800,161.899567
"2021-11-04",164.940002,164.990005,162.669998,164.600006,8224400,161.448395
"2021-11-05",162.479996,164.600006,162.199997,163.429993,6215900,160.300781
"2021-11-08",163.679993,164.169998,162.009995,162.869995,5578800,159.751511
"2021-11-09",162.610001,163.589996,162.020004,162.509995,6112800,159.398407
"2021-11-10",162.529999,164.839996,162.350006,164.270004,6225100,161.12471
"2021-11-11",163.490005,163.809998,162.490005,163.059998,4118800,159.937866
"2021-11-12",167.429993,167.619995,164.610001,165.009995,18995200,161.85054
"2021-11-15",165,165.460007,163.220001,163.520004,7496200,160.389069
"2021-11-16",163.179993,164.350006,162.619995,162.669998,7594700,159.555344
"2021-11-17",162.869995,163.860001,161.789993,163.279999,5414500,160.153656
"2021-11-18",163.449997,164.470001,162.130005,162.399994,6358700,159.290512
"2021-11-19",163.039993,163.190002,161.779999,162.889999,7620700,159.771133
"2021-11-22",161.029999,162.639999,159.649994,159.699997,7634500,157.668228
"2021-11-23",159.520004,161,158.779999,160.690002,7734000,158.645645
"2021-11-24",160.139999,160.619995,159.380005,160.240005,5230900,158.20137
"2021-11-26",160.600006,161.160004,158.660004,159.199997,8523100,157.174591
"2021-11-29",159.5,160.419998,158.419998,159.75,9188500,157.71759
"2021-11-30",158.509995,159,155.850006,155.929993,14981700,153.946198
"2021-12-01",156.880005,160.080002,156.25,158.080002,9835800,156.068848
"2021-12-02",157.259995,159.289993,156.75,157.089996,11334700,155.091431
"2021-12-03",157.910004,159.669998,157.589996,159.380005,8750500,157.35231
"2021-12-06",160.190002,163.520004,159.830002,162.940002,9692000,160.867004
"2021-12-07",164,164.270004,162.410004,163.360001,8311300,161.281662
"2021-12-08",163.470001,164.570007,162.639999,164.339996,6216400,162.249191
"2021-12-09",164.179993,165.979996,163.490005,165.899994,8574200,163.789337
"2021-12-10",165.570007,166.690002,164.649994,165.490005,6572200,163.384583
"2021-12-13",164.75,169.199997,163.800003,168.449997,11142300,166.3069
"2021-12-14",168.330002,170.970001,167.160004,170.289993,10482400,168.123489
