"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2021-11-01",125.540001,127.07,125.339996,126.529999,1239900,124.829239
"2021-11-02",126.629997,127,124.110001,124.419998,1296700,122.747604
"2021-11-03",123.919998,125.139999,123.059998,124.050003,1486700,122.382584
"2021-11-04",124.349998,125.93,124.099998,125.400002,1146800,123.714439
"2021-11-05",126.589996,127.849998,125.970001,126.68,1187800,124.977226
"2021-11-08",126.43,127.330002,125.970001,126.220001,839600,124.523422
"2021-11-09",126.059998,127.339996,125.629997,126.190002,706600,124.49382
"2021-11-10",125.839996,126.190002,125.360001,125.800003,996100,124.109062
"2021-11-11",125.830002,125.830002,123.019997,124.419998,1168000,122.747604
"2021-11-12",124.580002,125.809998,124.269997,125.220001,813900,123.536858
"2021-11-15",125.900002,127.57,125.669998,126.589996,1033400,124.888435
"2021-11-16",126.459999,127.769997,126.32,127.07,866400,125.361977
"2021-11-17",127.230003,127.839996,127.18,127.550003,1032200,125.835533
"2021-11-18",127.629997,128,126.330002,127.010002,1202500,125.302795
"2021-11-19",127.18,127.410004,126.139999,126.959999,1001200,125.253456
"2021-11-22",127.199997,128.869995,126.419998,126.470001,1225500,124.77005
"2021-11-23",126.620003,127.010002,125.150002,126.589996,999800,124.888435
"2021-11-24",125.68,127.690002,125.309998,126.879997,853500,125.670906
"2021-11-26",124.510002,124.959999,123.900002,124.199997,1141400,123.016449
"2021-11-29",125.360001,126.290001,124.059998,125.25,1249100,124.056442
"2021-11-30",124.339996,124.82,122.379997,122.839996,3374000,121.669403
"2021-12-01",124.370003,126.849998,123.089996,123.220001,1939500,122.045792
"2021-12-02",123.970001,127.699997,123.889999,126.529999,1788400,125.324242
"2021-12-03",127.519997,127.989998,123.790001,124.830002,2028900,123.64045
"2021-12-06",126.129997,130.600006,126.040001,128.869995,2007500,127.641945
"2021-12-07",129.940002,131.699997,129.009995,131.300003,1240800,130.048798
"2021-12-08",132.050003,133.869995,131.589996,131.740005,1708900,130.484604
"2021-12-09",132.059998,134.220001,131.699997,133.119995,1368800,131.85144
"2021-12-10",133.509995,134.75,133.199997,133.869995,1283300,132.594299
"2021-12-13",133.050003,133.300003,131.070007,132.139999,1393700,130.880783
"2021-12-14",131.559998,133,131.5,131.990005,1434500,130.732224
"2021-12-15",132.009995,132.880005,131.160004,132.419998,1226000,131.158127
"2021-12-16",132.929993,134,132.729996,133.589996,1022400,132.316956
"2021-12-17",133.410004,133.839996,131.830002,131.929993,2491600,130.672775
"2021-12-20",130.690002,131.720001,130.119995,131.570007,1155400,130.316223
"2021-12-21",132.389999,134.490005,132.190002,133.369995,1202400,132.09906
"2021-12-22",133.619995,135.139999,133.5,134.630005,940100,133.347061
"2021-12-23",135.490005,135.830002,134.979996,135.339996,958200,134.050293
"2021-12-27",135.179993,138.029999,135.179993,138.009995,1095400,136.694839
"2021-12-28",137.759995,138.539993,137.580002,137.979996,662000,136.665131
"2021-12-29",137.850006,139.850006,137.809998,138.660004,1139300,137.338654
"2021-12-30",138.699997,139.149994,138.199997,138.389999,538500,137.071228
"2021-12-31",138.410004,139.630005,138.190002,138.860001,757800,137.536743
