"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2021-03-16",107.169998,107.25,104.25,106.410004,684800,103.553627
"2021-03-17",107.459999,107.459999,105.370003,106.300003,820500,103.446579
"2021-03-18",107.300003,108.889999,105.650002,107.790001,1252000,104.896584
"2021-03-19",106.610001,108.25,105.269997,107,4507200,104.127785
"2021-03-22",107.150002,107.709999,105.330002,105.860001,562100,103.018387
"2021-03-23",104.900002,105.970001,104.019997,104.639999,650700,101.831131
"2021-03-24",105.68,106.589996,104.559998,104.620003,589000,101.811676
"2021-03-25",104.959999,106.269997,103.239998,106.080002,526000,103.232483
"2021-03-26",106.419998,106.860001,104.419998,105.790001,837700,102.950264
"2021-03-29",104.779999,105.690002,102.800003,104.040001,850800,101.247238
"2021-03-30",104.040001,105.5,104.040001,105.080002,717500,102.259315
"2021-03-31",104.620003,104.650002,103.040001,103.089996,691100,100.322739
"2021-04-01",102.889999,104.949997,102.18,104.139999,719900,101.344551
"2021-04-05",104.800003,105.870003,104.529999,105.589996,698400,102.75563
"2021-04-06",105.360001,106.019997,104.510002,105.949997,499400,103.105965
"2021-04-07",106,106.18,104.379997,105.25,487400,102.424759
"2021-04-08",105.110001,105.290001,104.339996,104.519997,518200,101.714348
"2021-04-09",105.220001,105.360001,103.800003,105.089996,902100,102.269051
"2021-04-12",105.449997,106.580002,105.339996,106.470001,588600,103.612007
"2021-04-13",106.379997,106.650002,105.389999,105.449997,663100,102.619392
"2021-04-14",105.849998,106.620003,105.620003,106,533600,103.154625
"2021-04-15",106.120003,106.690002,105.559998,106.5,643600,103.641205
"2021-04-16",106.839996,107.550003,105.839996,106.410004,690500,103.553627
"2021-04-19",106.900002,107.349998,105.639999,107.220001,623200,104.341873
"2021-04-20",107.610001,108.43,106.370003,106.970001,427600,104.098595
"2021-04-21",107.239998,110,106.690002,109.839996,729200,106.891548
"2021-04-22",109.370003,110.300003,108.550003,108.839996,494600,105.918388
"2021-04-23",109.650002,110.279999,108.809998,109.360001,528100,106.424438
"2021-04-26",109.809998,111,108.370003,109.019997,640600,106.093552
"2021-04-27",108.709999,109.910004,108.190002,108.43,726100,105.519394
