"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2021-10-05",226.440002,232.559998,226.169998,230.929993,2802000,228.455841
"2021-10-06",230.559998,230.850006,226.050003,227.850006,2462700,225.408844
"2021-10-07",229.119995,234.110001,229,233.179993,2001800,230.681732
"2021-10-08",233.419998,235.809998,231.550003,233.940002,2563000,231.433594
"2021-10-11",236.699997,237.990005,233.600006,233.669998,1892300,231.166504
"2021-10-12",234.699997,235.070007,231.979996,232.779999,1719200,230.286026
"2021-10-13",234.070007,237.919998,232.800003,236.440002,2105700,233.90683
"2021-10-14",237.009995,238.440002,234.110001,236.690002,1824700,234.154144
"2021-10-15",237.419998,239.300003,235.820007,237.880005,2598300,235.331406
"2021-10-18",237.949997,242.660004,236.699997,238.979996,2546000,236.419601
"2021-10-19",239.059998,242.550003,239.059998,242.309998,1573200,239.713928
"2021-10-20",243.729996,245.899994,243.039993,243.720001,1537500,241.108826
"2021-10-21",244.949997,244.949997,239.830002,241.169998,1717700,238.586136
"2021-10-22",240.960007,244.039993,239.559998,243.75,1960700,241.138489
"2021-10-25",244.660004,246.270004,240.520004,245.050003,2763100,242.424561
"2021-10-26",244.5,248.919998,237.089996,248.440002,4533000,245.778259
"2021-10-27",248.610001,254.460007,248.320007,250.169998,3181300,247.489716
"2021-10-28",250.160004,256.75,250.080002,253.350006,3386500,250.635651
"2021-10-29",253.779999,256.470001,251.770004,254.759995,3152000,252.030533
"2021-11-01",255.110001,256.480011,248.050003,249.309998,2735800,246.638947
"2021-11-02",251.25,259.299988,249.399994,256.850006,3987800,254.098145
"2021-11-03",257.769989,266.790009,257.76001,266.26001,4382900,263.407349
"2021-11-04",265.480011,271.109985,265.269989,271,4133400,268.096527
"2021-11-05",268.98999,269.48999,258.559998,265,3745700,262.160858
"2021-11-08",263.98999,266.910004,259.149994,260.529999,2386100,257.738708
"2021-11-09",260.529999,262.160004,258.390015,262.019989,1963800,259.212738
"2021-11-10",262,266,261.600006,264.649994,2215100,261.814575
"2021-11-11",262.320007,264.320007,261.950012,262.630005,1739400,259.816223
"2021-11-12",261.779999,262.519989,258.929993,259.649994,1964000,257.702179
"2021-11-15",259.390015,259.609985,257.160004,258.429993,1903200,256.491333
"2021-11-16",256.959991,260.350006,255.990005,257.720001,2565700,255.786667
"2021-11-17",256.809998,264.549988,256.070007,261.179993,2873600,259.220703
"2021-11-18",262,263.799988,259.820007,261.329987,1689200,259.369568
"2021-11-19",266.429993,270.799988,260.299988,260.700012,2786800,258.744324
"2021-11-22",262.220001,263.98999,259.130005,260.440002,1995400,258.486298
"2021-11-23",259.470001,262.76001,259.25,261.959991,1986200,259.994873
"2021-11-24",262.769989,264.940002,260.049988,262,2518500,260.034576
"2021-11-26",261.799988,265.880005,259.029999,260.369995,1495500,258.416779
"2021-11-29",260.019989,262.320007,254.5,254.830002,4041700,252.918365
"2021-11-30",253.270004,254,246.479996,248.039993,8265900,246.179291
"2021-12-01",249.440002,255.300003,247.889999,249.130005,3241400,247.261124
"2021-12-02",246.520004,249.979996,245.119995,247.880005,3817700,246.020493
"2021-12-03",252.130005,253.479996,243.080002,245.580002,4169700,243.737747
"2021-12-06",245.919998,246.940002,241.529999,246.330002,3491200,244.482132
"2021-12-07",244.240005,245.440002,241.449997,245.110001,4035800,243.271271
"2021-12-08",246.610001,248.179993,239.470001,244.320007,3636200,242.487198
"2021-12-09",244.490005,245.910004,242.75,242.899994,2291100,241.07785
"2021-12-10",241.199997,244.589996,241.199997,244.139999,2380800,242.308548
"2021-12-13",245.509995,250.699997,245.460007,248.529999,3016700,246.665619
"2021-12-14",247.740005,250.009995,246.389999,249.380005,3424000,247.509247
"2021-12-15",262.070007,275.540009,257.209991,275.279999,10016700,273.214935
"2021-12-16",275.670013,283.899994,272.049988,279.040009,5546400,276.946747
"2021-12-17",276.670013,276.670013,265.329987,267.420013,7582900,265.41394
"2021-12-20",269.230011,270.01001,260.350006,263.480011,3479400,261.503479
"2021-12-21",264,265.950012,260.570007,264.880005,2702500,262.892975
"2021-12-22",264.73999,266.559998,262.850006,266.5,2721000,264.500793
"2021-12-23",269.049988,275.269989,266.679993,273.100006,2632200,271.0513
"2021-12-27",275.040009,280.299988,274.720001,278.410004,1677100,276.321472
