"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2021-11-30",258.220001,258.940002,252.660004,253.179993,1747200,250.540436
"2021-12-01",256.570007,258.179993,245.559998,245.949997,1065900,243.385803
"2021-12-02",246.059998,254.660004,246.059998,252.520004,878600,249.887314
"2021-12-03",253.110001,256,245.669998,248,775500,245.414429
"2021-12-06",250.529999,255.229996,249.320007,250.610001,1063500,247.997223
"2021-12-07",253.570007,256.059998,252.949997,254.970001,635600,252.311783
"2021-12-08",255.5,256,252.710007,253.690002,586500,251.04512
"2021-12-09",254.100006,260.980011,254.100006,259.179993,787600,256.477875
"2021-12-10",260.220001,265.470001,259.75,264.920013,720000,262.158051
"2021-12-13",264.970001,265.630005,261.709991,263.290009,476100,260.545044
"2021-12-14",261.290009,262.839996,257.429993,259.529999,617900,257.597168
"2021-12-15",260.220001,262.899994,257.959991,262.630005,632000,260.674072
"2021-12-16",263.329987,266.859985,260.329987,261.76001,806900,259.810547
"2021-12-17",259.230011,261.700012,256.209991,259.119995,1117800,257.190186
"2021-12-20",256.269989,258.059998,252.169998,255.899994,707800,253.994186
"2021-12-21",257.950012,261.790009,256.209991,261.609985,789800,259.661652
"2021-12-22",261.880005,265.170013,259.799988,264.589996,472100,262.619446
"2021-12-23",264.779999,266.350006,261.359985,262.899994,565800,260.942047
"2021-12-27",263.880005,269.049988,262.579987,268.920013,472500,266.917236
"2021-12-28",268.410004,270.059998,267.5,269.809998,498700,267.800598
"2021-12-29",271.820007,273.51001,269.630005,272.730011,791900,270.698853
"2021-12-30",273.160004,273.649994,270.970001,271.089996,323300,269.071045
"2021-12-31",270.970001,273.130005,270.480011,271.700012,303500,269.676544
"2022-01-03",271.299988,271.380005,265.209991,267.429993,675200,265.438324
"2022-01-04",267,267.600006,263.049988,264.799988,588700,262.827911
"2022-01-05",263.549988,265.220001,258.940002,259.109985,521800,257.180267
