"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2021-12-21",67.349998,67.5,66.269997,66.389999,6802800,65.110497
"2021-12-22",66.260002,66.739998,66.260002,66.650002,2349700,65.365486
"2021-12-23",66.800003,67.050003,66.519997,66.540001,2126500,65.257614
"2021-12-27",66.699997,66.980003,66.370003,66.959999,1888800,65.66951
"2021-12-28",67.150002,67.739998,67,67.730003,2152800,66.424675
"2021-12-29",67.75,68.120003,67.660004,68.07,2321300,66.758125
"2021-12-30",68.220001,68.43,67.769997,68.360001,3203800,67.042534
"2021-12-31",68.260002,68.879997,68.160004,68.580002,3609700,67.258293
"2022-01-03",68.5,68.540001,67.360001,68.169998,3616600,66.856186
"2022-01-04",68.019997,69.120003,67.93,68.169998,5259900,66.856186
"2022-01-05",67.650002,68.970001,67.650002,68.25,4542900,66.934647
