"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2021-11-02",65.07,65.220001,63.98,64.089996,1715700,63.217079
"2021-11-03",64.029999,64.580002,63.720001,64.160004,1383800,63.286137
"2021-11-04",64.230003,65.160004,64.160004,64.669998,1283500,63.789181
"2021-11-05",64.970001,65.5,64.050003,64.169998,1721400,63.295994
"2021-11-08",64.879997,65,63.599998,64.050003,2121600,63.177631
"2021-11-09",64.300003,65.730003,64.059998,65.720001,1176600,64.824883
"2021-11-10",65.290001,65.650002,64.230003,64.440002,1345700,63.790421
"2021-11-11",64.470001,64.82,64.290001,64.580002,697800,63.929012
"2021-11-12",64.870003,67.010002,64.589996,66.709999,1917600,66.037537
"2021-11-15",66.5,67.809998,66.150002,67.239998,1580300,66.562195
"2021-11-16",67.459999,68.889999,67.239998,68.480003,2727900,67.789696
"2021-11-17",68.559998,68.610001,67.690002,68.089996,1567500,67.403618
"2021-11-18",68.25,68.25,67.389999,67.75,1280500,67.067055
"2021-11-19",67.949997,68.419998,67.550003,67.599998,1352700,66.918564
"2021-11-22",67.989998,69.029999,67.849998,68.279999,1538500,67.591713
"2021-11-23",68.18,68.620003,67.699997,68.220001,1251800,67.532318
"2021-11-24",68.129997,68.629997,67.849998,68.379997,1016000,67.690697
"2021-11-26",67.559998,67.870003,66.629997,67.080002,856100,66.403809
"2021-11-29",67.660004,67.660004,66.660004,67.339996,1285200,66.661186
"2021-11-30",66.860001,67.339996,65.690002,65.900002,3170900,65.23571
"2021-12-01",66.809998,67.540001,65.639999,65.669998,1402400,65.008018
"2021-12-02",66.019997,67.910004,66.019997,67.540001,1691300,66.859177
"2021-12-03",67.860001,69.160004,67.82,68.760002,2775400,68.066879
"2021-12-06",69.43,69.669998,68.360001,68.489998,1252800,67.799591
"2021-12-07",69.059998,69.459999,68.489998,68.599998,1454900,67.908478
"2021-12-08",68.900002,69.089996,68.419998,68.849998,1131300,68.155968
"2021-12-09",68.800003,69.099998,67.949997,68.440002,1033300,67.750099
"2021-12-10",68.699997,69.129997,68.199997,68.709999,1296500,68.017372
"2021-12-13",68.389999,68.660004,67.610001,68.290001,2324900,67.601608
"2021-12-14",68.029999,68.389999,67.510002,68.139999,1552700,67.453125
"2021-12-15",69,69.339996,68.019997,69.300003,1981800,68.601433
"2021-12-16",69.209999,69.620003,68.279999,68.75,2361200,68.056976
"2021-12-17",68.32,68.709999,66.389999,66.470001,6380800,65.799957
"2021-12-20",65.93,65.940002,64.309998,64.739998,1999400,64.087395
"2021-12-21",65.230003,66.519997,64.989998,66.379997,1708300,65.710861
"2021-12-22",66.349998,67.669998,66.160004,67.449997,1614200,66.770081
"2021-12-23",67.720001,68.610001,67.720001,68,840600,67.314529
"2021-12-27",68.32,69.220001,68.080002,69.220001,886400,68.522232
"2021-12-28",69.139999,69.690002,69.139999,69.57,632200,68.868706
"2021-12-29",69.5,70.389999,69.5,70.230003,705600,69.522057
"2021-12-30",70.419998,70.82,69.550003,69.68,1041600,68.9776
"2021-12-31",69.68,70.550003,69.370003,70.220001,838300,69.512154
"2022-01-03",70.199997,70.199997,68.309998,69.419998,2827700,68.720215
"2022-01-04",69.82,71.059998,69.540001,70.209999,1843900,69.502258
"2022-01-05",69.809998,70.190002,67.080002,68.32,3987900,67.63131
